summary_id,type,mean,standard_deviation,exposure_value
1,1,1234.783179,2664.552542,62000.000000
2,1,1318.560071,2899.810242,66020.000000
3,1,6394.957129,13544.364598,415543.937500
4,1,2124.191479,4498.985624,138156.718750
5,1,3311.275537,7013.181508,219837.000000
6,1,428.810663,929.095237,26947.970703
7,1,952.205054,2061.629247,87186.000000
8,1,572.851489,1241.185525,36000.000000
12,1,4213.740112,9249.849589,349701.968750
13,1,2024.072180,4442.720618,159591.421875
14,1,946.184634,2176.238134,236585.000000
15,1,2424.058862,5559.792180,476871.031250
16,1,2748.845703,6189.278358,352756.000000
17,1,1354.101721,3048.930583,174428.609375
18,1,7207.638867,16889.352761,929730.000000
19,1,65.131055,142.219284,7500.000000
20,1,2823.323340,6144.245066,575000.000000
1,2,1414.783918,5231.752821,62000.000000
2,2,1300.920833,5355.264315,66020.000000
3,2,6395.130380,16109.050691,415543.937500
4,2,2470.584685,7780.464313,138156.718750
5,2,3329.445250,11750.695311,219837.000000
6,2,536.685697,2194.240477,26947.970703
7,2,1055.837544,3479.974462,87186.000000
8,2,642.662730,2528.911174,36000.000000
12,2,4602.474426,13758.603528,349701.968750
13,2,2139.050198,6217.047399,159591.421875
14,2,986.799619,6156.815141,236585.000000
15,2,2374.442978,12308.003329,476871.031250
16,2,2769.614249,10855.696300,352756.000000
17,2,1250.931419,5033.643018,174428.609375
18,2,7339.630768,23782.621795,929730.000000
19,2,57.513064,392.611755,7500.000000
20,2,2446.704836,20292.177486,575000.000000
