summary_id,type,mean,standard_deviation,exposure_value
1,1,1468.357471,2646.599823,62000.000000
2,1,1806.517603,3059.435285,66020.000000
3,1,9101.285547,14772.686668,415543.937500
4,1,3023.160596,4907.016366,138156.718750
5,1,4713.230371,7650.056071,219837.000000
6,1,517.578333,925.973608,26947.970703
7,1,1146.212231,2053.334273,87186.000000
8,1,691.436865,1237.015297,36000.000000
12,1,5786.082178,9775.434071,349701.968750
13,1,2779.663940,4695.567117,159591.421875
14,1,1238.558820,2230.713694,236585.000000
15,1,3181.350195,5706.734239,476871.031250
16,1,3662.847510,6409.207247,352756.000000
17,1,1804.318188,3157.241403,174428.609375
18,1,9524.426953,17372.891802,929730.000000
19,1,80.747964,142.845649,7500.000000
20,1,3463.560352,6150.926883,575000.000000
1,2,1610.059271,5446.341943,62000.000000
2,2,1676.426131,5967.192564,66020.000000
3,2,9097.974024,18320.049158,415543.937500
4,2,3515.755313,8779.837055,138156.718750
5,2,4842.974902,13643.146681,219837.000000
6,2,686.220642,2429.176251,26947.970703
7,2,1283.635674,3724.507050,87186.000000
8,2,765.223496,2686.765502,36000.000000
12,2,6498.725957,15897.624170,349701.968750
13,2,2933.707791,6983.569915,159591.421875
14,2,1336.568195,7019.233767,236585.000000
15,2,3424.946509,14155.975641,476871.031250
16,2,3661.497978,11940.726873,352756.000000
17,2,1605.562055,5612.494722,174428.609375
18,2,9200.799360,25669.757608,929730.000000
19,2,69.289139,420.012184,7500.000000
20,2,2829.300219,21391.335750,575000.000000
