"summary_id", "type", "mean", "mean_squared", "max_exposure_value"
1, 1, 7303.221436, 30131537.791161, 62000.000000
2, 1, 5494.118286, 21095106.592919, 66020.000000
3, 1, 29117.608398, 453339387.765878, 415543.937500
4, 1, 9671.918213, 50018781.593068, 138156.718750
5, 1, 15077.657715, 121529370.631382, 219837.000000
6, 1, 2576.857361, 3641301.233844, 26947.970703
7, 1, 5704.839600, 17937355.256812, 87186.000000
8, 1, 3442.443359, 6498445.760615, 36000.000000
9, 1, 0.000000, 0.000000, 180684.000000
10, 1, 0.000000, 0.000000, 171182.406250
11, 1, 0.000000, 0.000000, 137875.000000
12, 1, 17777.688232, 216494114.950308, 349701.968750
13, 1, 8539.430298, 49918147.766782, 159591.421875
14, 1, 4408.136383, 16387742.822586, 236585.000000
15, 1, 11307.084717, 106178527.626902, 476871.031250
16, 1, 11711.273926, 111034896.502562, 352756.000000
17, 1, 5769.051880, 26946428.991270, 174428.609375
18, 1, 28510.802734, 812865872.558445, 929730.000000
19, 1, 403.228088, 85426.931915, 7500.000000
20, 1, 17284.830078, 159418277.918863, 575000.000000
1, 2, 955516.796875, 18804865536.000000, 62000.000000
2, 2, 698314.179688, 17042779392.000000, 66020.000000
3, 2, 2964226.937500, 87602366464.000000, 415543.937500
4, 2, 1019279.718750, 18619302400.000000, 138156.718750
5, 2, 1816483.125000, 67509321728.000000, 219837.000000
6, 2, 349608.000000, 2986093696.000000, 26947.970703
7, 2, 638196.453125, 6853190912.000000, 87186.000000
8, 2, 364970.828125, 3509008960.000000, 36000.000000
9, 2, 0.000000, 0.000000, 180684.000000
10, 2, 0.000000, 0.000000, 171182.406250
11, 2, 0.000000, 0.000000, 137875.000000
12, 2, 1967992.750000, 68409757696.000000, 349701.968750
13, 2, 819837.125000, 11665966336.000000, 159591.421875
14, 2, 346218.144409, 13795089456.859375, 236585.000000
15, 2, 991630.187500, 46023077888.000000, 476871.031250
16, 2, 1193407.570312, 45608643328.000000, 352756.000000
17, 2, 571502.316406, 11107497008.000000, 174428.609375
18, 2, 3586665.000000, 275789479936.000000, 929730.000000
19, 2, 47616.970703, 120964844.000000, 7500.000000
20, 2, 1326063.750000, 249067405312.000000, 575000.000000
