summary_id,type,mean,standard_deviation,exposure_value
1,1,6173.915894,524.846408,62000.000000
2,1,6592.800354,500.281292,66020.000000
3,1,31974.785645,2288.094717,415543.937500
4,1,10620.957397,760.026711,138156.718750
5,1,16556.377686,1184.688302,219837.000000
6,1,2144.053314,180.420168,26947.970703
7,1,4761.025269,401.348902,87186.000000
8,1,2864.257446,241.024712,36000.000000
9,1,0.000000,0.000000,180684.000000
10,1,0.000000,0.000000,171182.406250
11,1,0.000000,0.000000,137875.000000
12,1,21068.700562,1591.942232,349701.968750
13,1,10120.360901,764.578798,159591.421875
14,1,4730.923172,379.836289,236585.000000
15,1,12120.294312,969.077323,476871.031250
16,1,13744.228516,1079.075994,352756.000000
17,1,6770.508606,531.572811,174428.609375
18,1,36038.194336,2956.729756,929730.000000
19,1,325.655273,26.979502,7500.000000
20,1,14116.616699,1176.188025,575000.000000
1,2,7073.919609,9289.433530,62000.000000
2,2,6504.603711,10169.371850,66020.000000
3,2,31975.652813,-nan,415543.937500
4,2,12352.923594,10407.819803,138156.718750
5,2,16647.224687,16988.130320,219837.000000
6,2,2683.428203,3874.574204,26947.970703
7,2,5279.187578,5637.989616,87186.000000
8,2,3213.313516,4581.096532,36000.000000
9,2,0.000000,0.000000,180684.000000
10,2,0.000000,0.000000,171182.406250
11,2,0.000000,0.000000,137875.000000
12,2,23012.375000,17470.519708,349701.968750
13,2,10695.250313,6922.117638,159591.421875
14,2,4933.998378,12581.630796,236585.000000
15,2,11872.214531,20794.922068,476871.031250
16,2,13848.070664,18109.139395,352756.000000
17,2,6254.657520,8858.104567,174428.609375
18,2,36698.152500,34273.924854,929730.000000
19,2,287.565313,806.839090,7500.000000
20,2,12233.523750,44122.673636,575000.000000
