event_id,areaperil_id,vulnerability_id,bin_index,prob_to,bin_mean
26,1000001,100009,1,0.909477,0.000000
26,1000001,100009,2,0.910644,0.005000
26,1000001,100009,3,0.912166,0.015000
26,1000001,100009,4,0.914062,0.025000
26,1000001,100009,5,0.916297,0.035000
26,1000001,100009,6,0.918785,0.045000
26,1000001,100009,7,0.921426,0.055000
26,1000001,100009,8,0.924144,0.065000
26,1000001,100009,9,0.926909,0.075000
26,1000001,100009,10,0.929731,0.085000
26,1000001,100009,11,0.932641,0.095000
26,1000001,100009,12,0.935665,0.105000
26,1000001,100009,13,0.938813,0.115000
26,1000001,100009,14,0.942073,0.125000
26,1000001,100009,15,0.945422,0.135000
26,1000001,100009,16,0.948829,0.145000
26,1000001,100009,17,0.952259,0.155000
26,1000001,100009,18,0.955678,0.165000
26,1000001,100009,19,0.959054,0.175000
26,1000001,100009,20,0.962357,0.185000
26,1000001,100009,21,0.965561,0.195000
26,1000001,100009,22,0.968643,0.205000
26,1000001,100009,23,0.971587,0.215000
26,1000001,100009,24,0.974377,0.225000
26,1000001,100009,25,0.977002,0.235000
26,1000001,100009,26,0.979456,0.245000
26,1000001,100009,27,0.981735,0.255000
26,1000001,100009,28,0.983837,0.265000
26,1000001,100009,29,0.985765,0.275000
26,1000001,100009,30,0.987522,0.285000
26,1000001,100009,31,0.989113,0.295000
26,1000001,100009,32,0.990545,0.305000
26,1000001,100009,33,0.991827,0.315000
26,1000001,100009,34,0.992969,0.325000
26,1000001,100009,35,0.993979,0.335000
26,1000001,100009,36,0.994869,0.345000
26,1000001,100009,37,0.995647,0.355000
26,1000001,100009,38,0.996325,0.365000
26,1000001,100009,39,0.996913,0.375000
26,1000001,100009,40,0.997419,0.385000
26,1000001,100009,41,0.997852,0.395000
26,1000001,100009,42,0.998222,0.405000
26,1000001,100009,43,0.998535,0.415000
26,1000001,100009,44,0.998799,0.425000
26,1000001,100009,45,0.999020,0.435000
26,1000001,100009,46,0.999205,0.445000
26,1000001,100009,47,0.999359,0.455000
26,1000001,100009,48,0.999485,0.465000
26,1000001,100009,49,0.999589,0.475000
26,1000001,100009,50,0.999673,0.485000
26,1000001,100009,51,0.999742,0.495000
26,1000001,100009,52,0.999797,0.505000
26,1000001,100009,53,0.999842,0.515000
26,1000001,100009,54,0.999877,0.525000
26,1000001,100009,55,0.999905,0.535000
26,1000001,100009,56,0.999927,0.545000
26,1000001,100009,57,0.999944,0.555000
26,1000001,100009,58,0.999958,0.565000
26,1000001,100009,59,0.999968,0.575000
26,1000001,100009,60,0.999976,0.585000
26,1000001,100009,61,0.999982,0.595000
26,1000001,100009,62,0.999987,0.605000
26,1000001,100009,63,0.999990,0.615000
26,1000001,100009,64,0.999993,0.625000
26,1000001,100009,65,0.999995,0.635000
26,1000001,100009,66,0.999996,0.645000
26,1000001,100009,67,0.999997,0.655000
26,1000001,100009,68,0.999998,0.665000
26,1000001,100009,69,0.999999,0.675000
26,1000001,100009,70,0.999999,0.685000
26,1000001,100009,71,0.999999,0.695000
26,1000001,100009,72,1.000000,0.705000
26,1000001,100009,73,1.000000,0.715000
26,1000001,100009,74,1.000000,0.725000
26,1000001,100009,75,1.000000,0.735000
26,1000001,100009,76,1.000000,0.745000
26,1000001,100009,77,1.000000,0.755000
26,1000001,100009,78,1.000000,0.765000
26,1000001,3000001,1,0.916608,0.000000
26,1000001,3000001,2,0.918093,0.005000
26,1000001,3000001,3,0.919726,0.015000
26,1000001,3000001,4,0.921507,0.025000
26,1000001,3000001,5,0.923422,0.035000
26,1000001,3000001,6,0.925459,0.045000
26,1000001,3000001,7,0.927650,0.055000
26,1000001,3000001,8,0.930108,0.065000
26,1000001,3000001,9,0.932814,0.075000
26,1000001,3000001,10,0.935435,0.085000
26,1000001,3000001,11,0.937751,0.095000
26,1000001,3000001,12,0.939865,0.105000
26,1000001,3000001,13,0.941921,0.115000
26,1000001,3000001,14,0.943996,0.125000
26,1000001,3000001,15,0.946149,0.135000
26,1000001,3000001,16,0.948433,0.145000
26,1000001,3000001,17,0.950897,0.155000
26,1000001,3000001,18,0.953579,0.165000
26,1000001,3000001,19,0.956489,0.175000
26,1000001,3000001,20,0.959609,0.185000
26,1000001,3000001,21,0.962899,0.195000
26,1000001,3000001,22,0.966304,0.205000
26,1000001,3000001,23,0.969762,0.215000
26,1000001,3000001,24,0.973202,0.225000
26,1000001,3000001,25,0.976551,0.235000
26,1000001,3000001,26,0.979735,0.245000
26,1000001,3000001,27,0.982695,0.255000
26,1000001,3000001,28,0.985387,0.265000
26,1000001,3000001,29,0.987790,0.275000
26,1000001,3000001,30,0.989897,0.285000
26,1000001,3000001,31,0.991717,0.295000
26,1000001,3000001,32,0.993264,0.305000
26,1000001,3000001,33,0.994559,0.315000
26,1000001,3000001,34,0.995630,0.325000
26,1000001,3000001,35,0.996503,0.335000
26,1000001,3000001,36,0.997208,0.345000
26,1000001,3000001,37,0.997772,0.355000
26,1000001,3000001,38,0.998220,0.365000
26,1000001,3000001,39,0.998576,0.375000
26,1000001,3000001,40,0.998859,0.385000
26,1000001,3000001,41,0.999083,0.395000
26,1000001,3000001,42,0.999262,0.405000
26,1000001,3000001,43,0.999404,0.415000
26,1000001,3000001,44,0.999519,0.425000
26,1000001,3000001,45,0.999610,0.435000
26,1000001,3000001,46,0.999683,0.445000
26,1000001,3000001,47,0.999742,0.455000
26,1000001,3000001,48,0.999790,0.465000
26,1000001,3000001,49,0.999829,0.475000
26,1000001,3000001,50,0.999860,0.485000
26,1000001,3000001,51,0.999885,0.495000
26,1000001,3000001,52,0.999905,0.505000
26,1000001,3000001,53,0.999922,0.515000
26,1000001,3000001,54,0.999936,0.525000
26,1000001,3000001,55,0.999947,0.535000
26,1000001,3000001,56,0.999956,0.545000
26,1000001,3000001,57,0.999964,0.555000
26,1000001,3000001,58,0.999970,0.565000
26,1000001,3000001,59,0.999975,0.575000
26,1000001,3000001,60,0.999979,0.585000
26,1000001,3000001,61,0.999983,0.595000
26,1000001,3000001,62,0.999986,0.605000
26,1000001,3000001,63,0.999988,0.615000
26,1000001,3000001,64,0.999990,0.625000
26,1000001,3000001,65,0.999992,0.635000
26,1000001,3000001,66,0.999993,0.645000
26,1000001,3000001,67,0.999994,0.655000
26,1000001,3000001,68,0.999995,0.665000
26,1000001,3000001,69,0.999996,0.675000
26,1000001,3000001,70,0.999997,0.685000
26,1000001,3000001,71,0.999997,0.695000
26,1000001,3000001,72,0.999998,0.705000
26,1000001,3000001,73,0.999998,0.715000
26,1000001,3000001,74,0.999999,0.725000
26,1000001,3000001,75,0.999999,0.735000
26,1000001,3000001,76,0.999999,0.745000
26,1000001,3000001,77,0.999999,0.755000
26,1000001,3000001,78,0.999999,0.765000
26,1000001,3000001,79,0.999999,0.775000
26,1000001,3000001,80,1.000000,0.785000
26,1000001,3000001,81,1.000000,0.795000
26,1000001,3000001,82,1.000000,0.805000
26,1000001,3000001,83,1.000000,0.815000
26,1000001,3000001,84,1.000000,0.825000
26,1000001,3000001,85,1.000000,0.835000
26,1000001,3000001,86,1.000000,0.845000
26,1000001,3000001,87,1.000000,0.855000
26,1000001,3000001,88,1.000000,0.865000
26,1000001,3000001,89,1.000000,0.875000
26,2,100009,1,0.932317,0.000000
26,2,100009,2,0.932896,0.005000
26,2,100009,3,0.933588,0.015000
26,2,100009,4,0.934408,0.025000
26,2,100009,5,0.935365,0.035000
26,2,100009,6,0.936472,0.045000
26,2,100009,7,0.937736,0.055000
26,2,100009,8,0.939161,0.065000
26,2,100009,9,0.940750,0.075000
26,2,100009,10,0.942499,0.085000
26,2,100009,11,0.944402,0.095000
26,2,100009,12,0.946450,0.105000
26,2,100009,13,0.948629,0.115000
26,2,100009,14,0.950923,0.125000
26,2,100009,15,0.953312,0.135000
