summary_id,type,return_period,loss
1,1,5.000000,5044.610352
1,1,3.000000,0.000000
2,1,5.000000,3826.563477
2,1,3.000000,0.000000
3,1,5.000000,18492.001953
3,1,3.000000,0.000000
4,1,5.000000,6142.337402
4,1,3.000000,0.000000
5,1,5.000000,9571.767578
5,1,3.000000,0.000000
6,1,5.000000,1711.249268
6,1,3.000000,0.000000
7,1,5.000000,3817.210938
7,1,3.000000,0.000000
8,1,5.000000,2286.071533
8,1,3.000000,0.000000
12,1,5.000000,12118.149414
12,1,3.000000,0.000000
13,1,5.000000,5821.133301
13,1,3.000000,0.000000
14,1,5.000000,2507.576660
14,1,3.000000,0.000000
15,1,5.000000,6417.751465
15,1,3.000000,0.000000
16,1,5.000000,7885.312012
16,1,3.000000,0.000000
17,1,5.000000,3884.365234
17,1,3.000000,0.000000
18,1,5.000000,20397.705078
18,1,3.000000,0.000000
19,1,5.000000,248.082458
19,1,3.000000,0.000000
20,1,5.000000,10948.403320
20,1,3.000000,0.000000
1,2,500.000000,37384.074219
1,2,250.000000,24913.939453
1,2,200.000000,24264.980469
1,2,100.000000,22394.574219
1,2,75.000000,21538.277344
1,2,50.000000,19248.386719
1,2,30.000000,14857.612305
1,2,10.000000,0.000000
1,2,7.000000,0.000000
1,2,5.000000,0.000000
1,2,3.000000,0.000000
2,2,500.000000,34452.796875
2,2,250.000000,32185.212891
2,2,200.000000,32179.750000
2,2,100.000000,26931.367188
2,2,75.000000,25126.095703
2,2,50.000000,17406.720703
2,2,30.000000,11652.164062
2,2,10.000000,0.000000
2,2,7.000000,0.000000
2,2,5.000000,0.000000
2,2,3.000000,0.000000
3,2,500.000000,72620.828125
3,2,250.000000,60806.542969
3,2,200.000000,54059.460938
3,2,100.000000,45562.527344
3,2,75.000000,42697.539062
3,2,50.000000,39576.093750
3,2,30.000000,35909.496094
3,2,10.000000,20297.425781
3,2,7.000000,13601.389648
3,2,5.000000,0.000000
3,2,3.000000,0.000000
4,2,500.000000,45587.648438
4,2,250.000000,45184.117188
4,2,200.000000,44099.128906
4,2,100.000000,29065.292969
4,2,75.000000,28216.189453
4,2,50.000000,24960.716797
4,2,30.000000,22771.789062
4,2,10.000000,8267.462891
4,2,7.000000,0.000000
4,2,5.000000,0.000000
4,2,3.000000,0.000000
5,2,500.000000,61367.230469
5,2,250.000000,53082.867188
5,2,200.000000,46498.281250
5,2,100.000000,36853.289062
5,2,75.000000,34817.750000
5,2,50.000000,31753.656250
5,2,30.000000,29372.693359
5,2,10.000000,9770.955078
5,2,7.000000,0.000000
5,2,5.000000,0.000000
5,2,3.000000,0.000000
6,2,500.000000,12521.994141
6,2,250.000000,12232.781250
6,2,200.000000,11481.738281
6,2,100.000000,10507.279297
6,2,75.000000,10179.044922
6,2,50.000000,9777.612305
6,2,30.000000,8039.174316
6,2,10.000000,0.000000
6,2,7.000000,0.000000
6,2,5.000000,0.000000
6,2,3.000000,0.000000
7,2,500.000000,25923.119141
7,2,250.000000,23559.833984
7,2,200.000000,21130.617188
7,2,100.000000,17205.371094
7,2,75.000000,16009.981445
7,2,50.000000,13365.125977
7,2,30.000000,11744.074219
7,2,10.000000,5972.858398
7,2,7.000000,0.000000
7,2,5.000000,0.000000
7,2,3.000000,0.000000
8,2,500.000000,16996.113281
8,2,250.000000,15484.086914
8,2,200.000000,13888.491211
8,2,100.000000,12169.600586
8,2,75.000000,11803.335938
8,2,50.000000,10926.243164
8,2,30.000000,9536.767578
8,2,10.000000,0.000000
8,2,7.000000,0.000000
8,2,5.000000,0.000000
8,2,3.000000,0.000000
12,2,500.000000,84853.968750
12,2,250.000000,65520.683594
12,2,200.000000,60237.945312
12,2,100.000000,50931.710938
12,2,75.000000,46551.156250
12,2,50.000000,39620.347656
12,2,30.000000,30847.185547
12,2,10.000000,15734.246094
12,2,7.000000,0.000000
12,2,5.000000,0.000000
12,2,3.000000,0.000000
13,2,500.000000,28928.396484
13,2,250.000000,27828.050781
13,2,200.000000,26336.015625
13,2,100.000000,22319.855469
13,2,75.000000,20507.718750
13,2,50.000000,16968.720703
13,2,30.000000,15317.265625
13,2,10.000000,6828.224609
13,2,7.000000,0.000000
13,2,5.000000,0.000000
13,2,3.000000,0.000000
14,2,500.000000,53176.691406
14,2,250.000000,46243.882812
14,2,200.000000,40626.542969
14,2,100.000000,31146.935547
14,2,75.000000,24182.181641
14,2,50.000000,2627.810303
14,2,30.000000,0.000000
14,2,10.000000,0.000000
14,2,7.000000,0.000000
14,2,5.000000,0.000000
14,2,3.000000,0.000000
15,2,500.000000,99178.156250
15,2,250.000000,64755.960938
15,2,200.000000,56694.214844
15,2,100.000000,42753.644531
15,2,75.000000,39441.800781
15,2,50.000000,33298.171875
15,2,30.000000,0.000000
15,2,10.000000,0.000000
15,2,7.000000,0.000000
15,2,5.000000,0.000000
15,2,3.000000,0.000000
16,2,500.000000,58309.003906
16,2,250.000000,56112.734375
16,2,200.000000,55075.726562
16,2,100.000000,53889.660156
16,2,75.000000,43750.406250
16,2,50.000000,34713.019531
16,2,30.000000,21990.128906
16,2,10.000000,0.000000
16,2,7.000000,0.000000
16,2,5.000000,0.000000
16,2,3.000000,0.000000
17,2,500.000000,23710.914062
17,2,250.000000,22828.257812
17,2,200.000000,21672.246094
17,2,100.000000,20106.453125
17,2,75.000000,19803.308594
17,2,50.000000,18290.121094
17,2,30.000000,11472.109375
17,2,10.000000,0.000000
17,2,7.000000,0.000000
17,2,5.000000,0.000000
17,2,3.000000,0.000000
18,2,500.000000,108197.367188
18,2,250.000000,104544.437500
18,2,200.000000,93401.234375
18,2,100.000000,79647.007812
18,2,75.000000,61685.433594
18,2,50.000000,56322.371094
18,2,30.000000,46652.761719
18,2,10.000000,0.000000
18,2,7.000000,0.000000
18,2,5.000000,0.000000
18,2,3.000000,0.000000
19,2,500.000000,3123.254395
19,2,250.000000,2400.317383
19,2,200.000000,2399.776367
19,2,100.000000,2036.124390
19,2,75.000000,1943.076172
19,2,50.000000,0.000000
19,2,30.000000,0.000000
19,2,10.000000,0.000000
19,2,7.000000,0.000000
19,2,5.000000,0.000000
19,2,3.000000,0.000000
20,2,500.000000,239236.984375
20,2,250.000000,185789.000000
20,2,200.000000,183336.593750
20,2,100.000000,128050.648438
20,2,75.000000,105486.085938
20,2,50.000000,68440.570312
20,2,30.000000,0.000000
20,2,10.000000,0.000000
20,2,7.000000,0.000000
20,2,5.000000,0.000000
20,2,3.000000,0.000000
