"summary_id", "type", "mean", "mean_squared", "max_exposure_value"
1, 1, 274861.571177, 1336246362.458131, 62000.000000
2, 1, 324631.865063, 1167626123.013157, 66020.000000
3, 1, 1114220.232567, 18160936430.898178, 415543.937500
4, 1, 370107.960295, 2003776717.852893, 138156.718750
5, 1, 576982.854876, 4868947595.359492, 219837.000000
6, 1, 92899.802133, 147435372.721656, 26947.970703
7, 1, 206798.500076, 734129211.645703, 87186.000000
8, 1, 124105.564739, 263120464.582051, 36000.000000
9, 1, 471382.413311, 5547508244.735036, 180684.000000
10, 1, 432369.665684, 4667451137.553331, 171182.406250
11, 1, 353089.892593, 3112662944.695008, 137875.000000
12, 1, 1040095.376587, 11878723219.529617, 349701.968750
13, 1, 499688.306482, 2740587498.441658, 159591.421875
14, 1, 239567.898388, 673145972.843194, 236585.000000
15, 1, 615283.901505, 4397511473.900247, 476871.031250
16, 1, 707040.074253, 5639091404.294695, 352756.000000
17, 1, 348288.505690, 1368424310.556374, 174428.609375
18, 1, 1513663.451912, 32170844258.441715, 929730.000000
19, 1, 15962.064095, 3479647.766669, 7500.000000
20, 1, 681072.884014, 6445662126.445140, 575000.000000
1, 2, 270908.300415, 1359821607.609522, 62000.000000
2, 2, 328080.050412, 1246826317.963495, 66020.000000
3, 2, 1126996.649754, 18595061050.571564, 415543.937500
4, 2, 372184.697266, 2062258718.977753, 138156.718750
5, 2, 577141.301338, 5085073971.422852, 219837.000000
6, 2, 93562.212670, 154396902.644714, 26947.970703
7, 2, 210068.336430, 769479307.277649, 87186.000000
8, 2, 125911.622529, 273027458.257980, 36000.000000
9, 2, 469231.454720, 5474576623.401367, 180684.000000
10, 2, 447953.415585, 5200208255.190063, 171182.406250
11, 2, 353330.165634, 3128073429.419922, 137875.000000
12, 2, 1047986.796173, 12338248180.691406, 349701.968750
13, 2, 508967.280964, 2919343358.621826, 159591.421875
14, 2, 231705.301113, 725993923.346251, 236585.000000
15, 2, 610024.062431, 4360826080.711914, 476871.031250
16, 2, 714748.366184, 5909434113.129639, 352756.000000
17, 2, 355566.599346, 1442846329.243332, 174428.609375
18, 2, 1566223.320496, 35286793099.273438, 929730.000000
19, 2, 16032.855832, 3893062.665638, 7500.000000
20, 2, 715733.604996, 8069164008.486328, 575000.000000
