event_id,output_id,sidx,loss
1,1,-3,28108806.00
1,1,-1,0.00
1,1,1,28108806.00
1,2,-3,4533678.00
1,2,-1,0.00
1,2,1,4533678.00
1,3,-3,90673.57
1,3,-1,0.00
1,3,1,90673.57
1,4,-3,17046630.00
1,4,-1,0.00
1,4,1,17046630.00
1,5,-3,4715025.50
1,5,-1,0.00
1,5,1,4715025.50
1,6,-3,36269.43
1,6,-1,0.00
1,6,1,36269.43
1,7,-3,9792745.00
1,7,-1,0.00
1,7,1,9792745.00
1,8,-3,2176165.50
1,8,-1,0.00
1,8,1,2176165.50
1,9,-3,18134.71
1,9,-1,0.00
1,9,1,18134.71
1,10,-3,3082901.25
1,10,-1,0.00
1,10,1,3082901.25
1,11,-3,362694.28
1,11,-1,0.00
1,11,1,362694.28
1,12,-3,36269.43
1,12,-1,0.00
1,12,1,36269.43
1,13,-3,66225036.00
1,13,-1,0.00
1,13,1,33417004.00
1,14,-3,28382158.00
1,14,-1,0.00
1,14,1,14321573.00
1,15,-3,5676431.50
1,15,-1,0.00
1,15,1,2864314.75
1,16,-3,19867510.00
1,16,-1,0.00
1,16,1,10025101.00
1,17,-3,8514647.00
1,17,-1,0.00
1,17,1,4296472.00
1,18,-3,527506.94
1,18,-1,0.00
1,18,1,266178.84
1,19,-3,189214.38
1,19,-1,0.00
1,19,1,95477.15
1,20,-3,14191079.00
1,20,-1,0.00
1,20,1,7160786.50
1,21,-3,5676431.50
1,21,-1,0.00
1,21,1,2864314.75
1,22,-3,59400000.00
1,22,-1,0.00
1,22,1,29700000.00
1,23,-3,14850000.00
1,23,-1,0.00
1,23,1,7425000.00
1,24,-3,4950000.00
1,24,-1,0.00
1,24,1,2475000.00
1,25,-3,19800000.00
1,25,-1,0.00
1,25,1,9900000.00
1,26,-3,9900000.00
1,26,-1,0.00
1,26,1,4950000.00
1,27,-3,1980000.12
1,27,-1,0.00
1,27,1,990000.06
