event_id,output_id,sidx,loss
1,1,-3,746766848.00
1,1,-1,0.00
1,1,1,7211352.00
1,2,-3,120446264.00
1,2,-1,0.00
1,2,1,7211352.00
1,3,-3,2408925.25
1,3,-1,0.00
1,3,1,4322058.50
1,4,-3,452877952.00
1,4,-1,0.00
1,4,1,1255238.25
1,5,-3,130000000.00
1,5,-1,0.00
1,5,1,51940000.00
1,6,-3,1000000.00
1,6,-1,0.00
1,6,1,13499999.00
1,7,-3,270000000.00
1,7,-1,0.00
1,7,1,371212.25
1,8,-3,60000000.00
1,8,-1,0.00
1,8,1,9500000.00
1,9,-3,500000.00
1,9,-1,0.00
1,9,1,39600000.00
1,10,-3,85000000.00
1,10,-1,0.00
1,10,1,15840000.00
