event_id,output_id,sidx,loss
1,1,-3,7211247.00
1,1,-1,0.00
1,1,1,7211247.00
1,2,-3,7211247.00
1,2,-1,0.00
1,2,1,7211247.00
1,3,-3,4322077.50
1,3,-1,0.00
1,3,1,4322077.50
1,4,-3,1255429.50
1,4,-1,0.00
1,4,1,1255429.50
1,5,-3,75283624.00
1,5,-1,0.00
1,5,1,50602892.00
1,6,-3,28382156.00
1,6,-1,0.00
1,6,1,14321573.00
1,7,-3,575000.00
1,7,-1,0.00
1,7,1,361656.00
1,8,-3,15000000.00
1,8,-1,0.00
1,8,1,10025101.00
1,9,-3,79200000.00
1,9,-1,0.00
1,9,1,39600000.00
1,10,-3,31680000.00
1,10,-1,0.00
1,10,1,15840000.00
