event_id,output_id,sidx,loss
26,1,-3,21367.52137
26,1,-1,0
26,1,1,44286.97963
26,2,-3,2136.752137
26,2,-1,0
26,2,1,4428.697963
26,3,-3,1068.376068
26,3,-1,0
26,3,1,1107.174491
26,4,-3,427.3504274
26,4,-1,0
26,4,1,177.1479185
26,5,-3,21367.52137
26,5,-1,0
26,6,-3,2136.752137
26,6,-1,0
26,7,-3,1068.376068
26,7,-1,0
26,8,-3,427.3504274
26,8,-1,0
26,9,-3,21367.52137
26,9,-1,0
26,9,1,29140.8326
26,10,-3,2136.752137
26,10,-1,0
26,10,1,2914.08326
26,11,-3,1068.376068
26,11,-1,0
26,11,1,728.5208149
26,12,-3,427.3504274
26,12,-1,0
26,12,1,116.5633304
26,13,-3,21367.52137
26,13,-1,0
26,14,-3,2136.752137
26,14,-1,0
26,15,-3,1068.376068
26,15,-1,0
26,16,-3,427.3504274
26,16,-1,0
