event_id,output_id,sidx,loss
744678,28,-3,750000.00
744678,28,-1,797634.94
744678,28,2,820477.81
744678,28,5,803360.75
744678,28,8,754650.06
744678,29,-3,120000.00
744678,29,-1,83092.33
744678,29,2,80168.40
744678,29,5,79278.77
744678,29,8,84237.68
744678,30,-3,129999.99
744678,30,-1,119272.71
744678,30,2,99353.76
744678,30,5,117360.51
744678,30,8,161112.25
744678,31,-3,562500.00
744678,31,-1,502815.31
744678,31,3,1108696.25
744678,31,5,2346.93
744678,31,6,1116051.00
744678,32,-3,375000.00
744678,32,-1,224089.52
744678,32,3,10688.72
744678,32,5,1564.62
744678,32,6,302195.81
744678,33,-3,90000.00
744678,33,-1,50993.38
744678,33,3,124283.24
744678,33,5,211.73
744678,33,6,118685.57
744678,34,-3,60000.00
744678,34,-1,22726.20
744678,34,3,1198.19
744678,34,5,141.16
744678,34,6,32136.78
744678,35,-3,97500.00
744678,35,-1,74614.70
744678,35,3,267020.53
744678,35,5,1152.62
744678,35,6,224642.45
744678,36,-3,65000.00
744678,36,-1,33253.51
744678,36,3,2574.29
744678,36,5,768.42
744678,36,6,60826.97
744678,37,-3,562500.00
744678,37,-1,695199.94
744678,37,1,1231210.00
744678,37,2,1175241.12
744678,37,5,1211727.75
744678,37,6,25161.45
744678,38,-3,375000.00
744678,38,-1,309829.50
744678,38,1,820806.69
744678,38,2,704773.19
744678,38,5,807818.56
744678,38,6,6813.02
744678,39,-3,90000.00
744678,39,-1,72421.33
744678,39,1,118954.52
744678,39,2,123397.26
744678,39,5,130482.53
744678,39,6,2954.01
744678,40,-3,60000.00
744678,40,-1,32275.98
744678,40,1,79303.01
744678,40,2,73999.34
744678,40,5,86988.35
744678,40,6,799.86
744678,41,-3,97500.00
744678,41,-1,103955.29
744678,41,1,149835.39
744678,41,2,201361.59
744678,41,5,154078.44
744678,41,6,12505.50
744678,42,-3,65000.00
744678,42,-1,46329.71
744678,42,1,99890.27
744678,42,2,120753.30
744678,42,5,102718.95
744678,42,6,3386.15
744678,58,-3,0.00
744678,58,-1,0.00
744678,59,-3,0.00
744678,59,-1,0.00
744678,60,-3,0.00
744678,60,-1,0.00
