event_id,output_id,sidx,loss
1,1,-3,43.750000
1,1,-1,43.750000
1,1,1,43.750000
1,2,-3,21.875000
1,2,-1,21.875000
1,2,1,21.875000
1,3,-3,21.875000
1,3,-1,21.875000
1,3,1,21.875000
1,4,-3,43.750000
1,4,-1,43.750000
1,4,1,43.750000
1,5,-3,21.875000
1,5,-1,21.875000
1,5,1,21.875000
1,6,-3,21.875000
1,6,-1,21.875000
1,6,1,21.875000
1,7,-3,43.750000
1,7,-1,43.750000
1,7,1,43.750000
1,8,-3,21.875000
1,8,-1,21.875000
1,8,1,21.875000
1,9,-3,21.875000
1,9,-1,21.875000
1,9,1,21.875000
1,10,-3,43.750000
1,10,-1,43.750000
1,10,1,43.750000
1,11,-3,21.875000
1,11,-1,21.875000
1,11,1,21.875000
1,12,-3,21.875000
1,12,-1,21.875000
1,12,1,21.875000
