item_id,coverage_id,areaperil_id,vulnerability_id,group_id
1,1,1,1,1
2,2,1,1,1
3,3,1,1,1
4,4,2,2,2
5,5,2,2,2
6,6,2,2,2
7,7,3,3,3
8,8,3,3,3
9,9,3,3,3
10,10,4,4,4
11,11,4,4,4
12,12,4,4,4
13,13,5,5,5
14,14,5,5,5
15,15,5,5,5
16,16,6,6,6
17,17,6,6,6
18,18,6,6,6
19,19,7,7,7
20,20,7,7,7
21,21,7,7,7
22,22,8,8,8
23,23,8,8,8
24,24,8,8,8
25,25,9,9,9
26,26,9,9,9
27,27,9,9,9
28,28,10,10,10
29,29,10,10,10
30,30,10,10,10
31,31,11,11,11
32,32,11,11,11
33,33,11,11,11
34,34,12,12,12
35,35,12,12,12
36,36,12,12,12
37,37,13,13,13
38,38,13,13,13
39,39,13,13,13
40,40,14,14,14
41,41,14,14,14
42,42,14,14,14
43,43,15,15,15
44,44,15,15,15
45,45,15,15,15
46,46,16,16,16
47,47,16,16,16
48,48,16,16,16
49,49,17,17,17
50,50,17,17,17
51,51,17,17,17
52,52,18,18,18
53,53,18,18,18
54,54,18,18,18
