coverage_id,tiv
1,5151251
2,9218612
3,6971414
4,14278941
5,11579501
6,7742781
7,3545116
8,12082515
9,3651644
10,4451091
11,7620574
12,3947225
13,8468889
14,2291251
15,1319339
16,3348165
17,2803085
18,1389718
19,7385659
20,5205069
21,3064532
22,174639
23,138330
24,0
25,0
26,429307
27,0
28,0
29,81651
30,0
31,0
32,2626101
33,0
34,0
35,42247
36,0
37,0
38,2988068
39,0
40,0
41,21108
42,0
43,0
44,300000
45,2556066.1
46,0
47,4672794
48,0
49,0
50,181995
51,0
52,13583065
53,1839750
54,0
