"coverage_id", "tiv"
1, 5151251.000000
2, 9218612.000000
3, 6971414.000000
4, 14278941.000000
5, 11579501.000000
6, 7742781.000000
7, 3545116.000000
8, 12082515.000000
9, 3651644.000000
10, 4451091.000000
11, 7620574.000000
12, 3947225.000000
13, 8468889.000000
14, 2291251.000000
15, 1319339.000000
16, 3348165.000000
17, 2803085.000000
18, 1389718.000000
19, 7385659.000000
20, 5205069.000000
21, 3064532.000000
22, 174639.000000
23, 138330.000000
24, 0.000000
25, 0.000000
26, 429307.000000
27, 0.000000
28, 0.000000
29, 81651.000000
30, 0.000000
31, 0.000000
32, 2626101.000000
33, 0.000000
34, 0.000000
35, 42247.000000
36, 0.000000
37, 0.000000
38, 2988068.000000
39, 0.000000
40, 0.000000
41, 21108.000000
42, 0.000000
43, 0.000000
44, 300000.000000
45, 2556066.000000
46, 0.000000
47, 4672794.000000
48, 0.000000
49, 0.000000
50, 181995.000000
51, 0.000000
52, 13583065.000000
53, 1839750.000000
54, 0.000000
