event_id,output_id,sidx,loss
1,1,-3,7211299.182
1,1,-1,0
1,1,1,7211351.811
1,2,-3,7211299.182
1,2,-1,0
1,2,1,7211351.811
1,3,-3,4322067.78
1,3,-1,0
1,3,1,4322058.123
1,4,-3,1255333.856
1,4,-1,0
1,4,1,1255238.255
1,5,-3,30458640.41
1,5,-1,0
1,5,1,10388000
1,6,-3,17590039.09
1,6,-1,0
1,6,1,8100000
1,7,-3,233516.3406
1,7,-1,0
1,7,1,74242.448
1,8,-3,7674821.695
1,8,-1,0
1,8,1,3800000
1,9,-3,33687310.4
1,9,-1,0
1,9,1,9900000
1,10,-3,20310672.31
1,10,-1,0
1,10,1,9900000
