event_id,item_id,sidx,loss
1,1,-2,0
1,1,-1,0
1,2,-2,0
1,2,-1,0
1,3,-2,0
1,3,-1,0
1,4,-2,0
1,4,-1,0
1,5,-2,0
1,5,-1,0
1,6,-2,0
1,6,-1,0
1,7,-2,0
1,7,-1,0
1,8,-2,0
1,8,-1,0
1,9,-2,0
1,9,-1,0
1,10,-2,0
1,10,-1,0
1,11,-2,0
1,11,-1,0
1,12,-2,0
1,12,-1,0
1,13,-2,0
1,13,-1,0
1,14,-2,0
1,14,-1,0
1,15,-2,0
1,15,-1,0
1,16,-2,0
1,16,-1,0
1,17,-2,0
1,17,-1,0
1,18,-2,0
1,18,-1,0
1,19,-2,0
1,19,-1,0
1,20,-2,0
1,20,-1,0
1,21,-2,0
1,21,-1,0
1,22,-2,0
1,22,-1,0
1,23,-2,0
1,23,-1,0
1,24,-2,0
1,24,-1,0
1,25,-2,0
1,25,-1,0
1,26,-2,0
1,26,-1,0
1,27,-2,0
1,27,-1,0
1,28,-2,0
1,28,-1,0
1,29,-2,0
1,29,-1,0
1,30,-2,0
1,30,-1,0
1,31,-2,0
1,31,-1,0
1,32,-2,0
1,32,-1,0
1,33,-2,0
1,33,-1,0
1,34,-2,0
1,34,-1,0
1,35,-2,0
1,35,-1,0
1,36,-2,0
1,36,-1,0
1,37,-2,0
1,37,-1,0
1,38,-2,0
1,38,-1,0
1,39,-2,0
1,39,-1,0
1,40,-2,0
1,40,-1,0
1,41,-2,0
1,41,-1,0
1,42,-2,0
1,42,-1,0
1,43,-2,0
1,43,-1,0
1,44,-2,0
1,44,-1,0
1,45,-2,0
1,45,-1,0
1,46,-2,0
1,46,-1,0
1,47,-2,0
1,47,-1,0
1,48,-2,0
1,48,-1,0
1,49,-2,0
1,49,-1,0
1,50,-2,0
1,50,-1,0
1,51,-2,0
1,51,-1,0
