profile_id,calcrule_id,deductible_1,deductible_2,deductible_3,attachment_1,limit_1,share_1,share_2,share_3
1,12,1000,0,0,0,0,0,0,0
2,12,3000,0,0,0,0,0,0,0
3,12,3000,0,0,0,0,0,0,0
4,12,3000,0,0,0,0,0,0,0
5,12,1500,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0
7,12,500,0,0,0,0,0,0,0
8,12,7500,0,0,0,0,0,0,0
9,12,500,0,0,0,0,0,0,0
10,12,3000,0,0,0,0,0,0,0
11,12,1500,0,0,0,0,0,0,0
12,12,1500,0,0,0,0,0,0,0
13,12,500,0,0,0,0,0,0,0
14,12,1000,0,0,0,0,0,0,0
15,12,1500,0,0,0,0,0,0,0
16,12,1500,0,0,0,0,0,0,0
17,12,2000,0,0,0,0,0,0,0
18,12,1000,0,0,0,0,0,0,0
19,12,1000,0,0,0,0,0,0,0
20,12,250,0,0,0,0,0,0,0
21,12,3000,0,0,0,0,0,0,0
22,12,1500,0,0,0,0,0,0,0
23,12,500,0,0,0,0,0,0,0
24,12,500,0,0,0,0,0,0,0
25,12,1500,0,0,0,0,0,0,0
26,12,5000,0,0,0,0,0,0,0
27,12,3000,0,0,0,0,0,0,0
28,12,1500,0,0,0,0,0,0,0
29,12,2000,0,0,0,0,0,0,0
30,12,3000,0,0,0,0,0,0,0
31,12,1500,0,0,0,0,0,0,0
32,12,0,0,0,0,0,0,0,0
33,12,3000,0,0,0,0,0,0,0
34,12,0,0,0,0,0,0,0,0
35,12,3000,0,0,0,0,0,0,0
36,12,500,0,0,0,0,0,0,0
37,12,500,0,0,0,0,0,0,0
38,12,3000,0,0,0,0,0,0,0
39,12,1500,0,0,0,0,0,0,0
40,12,7500,0,0,0,0,0,0,0
41,12,500,0,0,0,0,0,0,0
42,12,1500,0,0,0,0,0,0,0
43,12,1500,0,0,0,0,0,0,0
44,12,0,0,0,0,0,0,0,0
45,12,500,0,0,0,0,0,0,0
46,12,1500,0,0,0,0,0,0,0
47,12,500,0,0,0,0,0,0,0
48,12,500,0,0,0,0,0,0,0
49,12,7500,0,0,0,0,0,0,0
50,12,750,0,0,0,0,0,0,0
51,12,5000,0,0,0,0,0,0,0
