from_agg_id,level_id,to_agg_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,1
9,2,1
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,1
17,2,1
18,2,1
19,2,1
20,2,1
21,2,1
22,2,1
23,2,1
24,2,1
25,2,1
26,2,1
27,2,1
28,2,1
29,2,1
30,2,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,1
40,2,1
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
