"from_agg_id","level_id","to_agg_id"
1, 1, 13
2, 1, 14
3, 1, 15
4, 1, 10
5, 1, 11
6, 1, 12
7, 1, 16
8, 1, 17
9, 1, 18
10, 1, 4
11, 1, 5
12, 1, 6
13, 1, 28
14, 1, 29
15, 1, 30
16, 1, 22
17, 1, 23
18, 1, 24
19, 1, 25
20, 1, 26
21, 1, 27
22, 1, 19
23, 1, 20
24, 1, 21
25, 1, 7
26, 1, 8
27, 1, 9
28, 1, 1
29, 1, 2
30, 1, 3
1, 2, 1
2, 2, 1
3, 2, 1
4, 2, 2
5, 2, 2
6, 2, 2
7, 2, 3
8, 2, 3
9, 2, 3
10, 2, 4
11, 2, 4
12, 2, 4
13, 2, 5
14, 2, 5
15, 2, 5
16, 2, 6
17, 2, 6
18, 2, 6
19, 2, 7
20, 2, 7
21, 2, 7
22, 2, 8
23, 2, 8
24, 2, 8
25, 2, 9
26, 2, 9
27, 2, 9
28, 2, 10
29, 2, 10
30, 2, 10
1, 3, 2
2, 3, 2
3, 3, 2
4, 3, 2
5, 3, 4
6, 3, 4
7, 3, 5
8, 3, 5
9, 3, 1
10, 3, 3
