profile_id,calcrule_id,deductible1,deductible2,deductible3,attachment1,limit1,share1,share2,share3
1, 10, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 12, 10000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 2, 0.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 1.000000, 0.000000, 0.000000
4, 12, 700000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 12, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 14, 0.000000, 0.000000, 0.000000, 0.000000, 75000000.000000, 0.000000, 0.000000, 0.000000
7, 2, 0.000000, 0.000000, 0.000000, 0.000000, 100000000.000000, 1.000000, 0.000000, 0.000000
8, 1, 1000000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
9, 2, 5500000.000000, 0.000000, 0.000000, 0.000000, 10000000.000000, 0.100000, 0.000000, 0.000000
10, 2, 1000000.000000, 0.000000, 0.000000, 0.000000, 200000000.000000, 0.500000, 0.000000, 0.000000
11, 2, 0.000000, 0.000000, 0.000000, 0.000000, 400000000.000000, 0.500000, 0.000000, 0.000000
12, 14, 0.000000, 0.000000, 0.000000, 0.000000, 12000000.000000, 0.000000, 0.000000, 0.000000
13, 10, 0.000000, 0.000000, 1500000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
14, 2, 0.000000, 0.000000, 0.000000, 0.000000, 100000000.000000, 0.500000, 0.000000, 0.000000
15, 10, 0.000000, 0.000000, 20000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 2, 0.000000, 0.000000, 0.000000, 0.000000, 200000000.000000, 1.000000, 0.000000, 0.000000
17, 2, 0.000000, 0.000000, 0.000000, 0.000000, 200000000.000000, 0.500000, 0.000000, 0.000000
18, 12, 40000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
19, 2, 500000.000000, 0.000000, 0.000000, 0.000000, 20000000.000000, 0.500000, 0.000000, 0.000000
20, 2, 500000.000000, 0.000000, 0.000000, 0.000000, 5000000.000000, 0.300000, 0.000000, 0.000000
21, 1, 10000000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
22, 2, 0.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.500000, 0.000000, 0.000000
23, 14, 0.000000, 0.000000, 0.000000, 0.000000, 13000000.000000, 0.000000, 0.000000, 0.000000
24, 12, 20000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
25, 12, 4000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
26, 11, 0.000000, 20000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
27, 11, 0.000000, 1500000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
28, 11, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
29, 12, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
