policytc_id,calcrule_id,limit1,limit2,limit3,scale1,scale2,payout1,payout2,payout3
1,27,1000000,3000000,600000,0.15,0,0.05,0.15,1
2,27,1000000,3000000,0,0,0,0.05,0.15,1
3,27,1000000,3000000,0,0,0,0.05,0.15,1
4,27,1000000,2000000,0,0,0,0.05,0.1,0.7
5,27,3000000,3000000,3000000,0.128,0,0.15,0.15,1
6,27,1000000,3000000,5000000,0.143,0.021,0.05,0.15,1
7,27,1000000,3000000,5000000,0.183,0.026,0.05,0.15,1
8,27,1000000,2000000,0,0,0,0.05,0.1,0.7
9,27,1000000,2000000,0,0,0.021,0.05,0.1,0.7
10,27,1000000,2000000,0,0,0.026,0.05,0.1,0.7
11,27,1000000,3000000,600000,0.15,0,0.05,0.15,1
12,27,1000000,2000000,0,0,0,0.05,0.1,0.7
13,27,1000000,3000000,600000,0.15,0,0.05,0.15,1
14,27,1000000,2000000,0,0,0,0.05,0.1,0.7
15,27,1000000,2000000,0,0,0,0.05,0.1,-0.54
16,27,1000000,2000000,3000000,0.2,0,0.05,0.1,0.7
