Coverage_id,TIV
1,10000000
2,15000000
3,20000000
4,25000000
5,10000000
6,15000000
7,20000000
8,25000000
9,10000000
10,15000000
11,20000000
12,25000000
13,10000000
14,15000000
15,20000000
16,25000000
17,10000000
18,15000000
19,20000000
20,25000000
21,10000000
22,15000000
23,20000000
24,25000000
25,10000000
26,15000000
27,20000000
28,25000000
29,10000000
30,15000000
31,20000000
32,25000000
33,10000000
34,15000000
35,20000000
36,25000000
37,10000000
38,15000000
39,20000000
40,25000000
41,10000000
42,15000000
43,20000000
44,25000000
45,10000000
46,15000000
47,20000000
48,25000000
49,10000000
50,15000000
51,20000000
52,25000000
53,10000000
54,15000000
55,20000000
56,25000000
57,10000000
58,15000000
59,20000000
60,25000000
61,10000000
62,15000000
63,20000000
64,25000000
65,10000000
66,15000000
67,20000000
68,25000000
69,10000000
70,15000000
71,20000000
72,25000000
73,10000000
74,15000000
75,20000000
76,25000000
77,10000000
78,15000000
79,20000000
80,25000000
81,10000000
82,15000000
83,20000000
84,25000000
85,10000000
86,15000000
87,20000000
88,25000000
89,10000000
90,15000000
91,20000000
92,25000000
93,10000000
94,15000000
95,20000000
96,25000000
97,10000000
98,15000000
99,20000000
100,25000000
101,10000000
102,15000000
103,20000000
104,25000000
105,10000000
106,15000000
107,20000000
108,25000000
109,10000000
110,15000000
111,20000000
112,25000000
113,10000000
114,15000000
115,20000000
116,25000000
117,10000000
118,15000000
119,20000000
120,25000000
121,10000000
122,15000000
123,20000000
124,25000000
125,10000000
126,15000000
127,20000000
128,25000000
129,10000000
130,15000000
131,20000000
132,25000000
133,10000000
134,15000000
135,20000000
136,25000000
137,10000000
138,15000000
139,20000000
140,25000000
141,10000000
142,15000000
143,20000000
144,25000000
145,10000000
146,15000000
147,20000000
148,25000000
149,10000000
150,15000000
151,20000000
152,25000000
153,10000000
154,15000000
155,20000000
156,25000000
157,10000000
158,15000000
159,20000000
160,25000000
161,10000000
162,15000000
163,20000000
164,25000000
165,10000000
166,15000000
167,20000000
168,25000000
169,10000000
170,15000000
171,20000000
172,25000000
173,10000000
174,15000000
175,20000000
176,25000000
177,10000000
178,15000000
179,20000000
180,25000000
181,10000000
182,15000000
183,20000000
184,25000000
185,10000000
186,15000000
187,20000000
188,25000000
189,10000000
190,15000000
191,20000000
192,25000000
193,10000000
194,15000000
195,20000000
196,25000000
197,10000000
198,15000000
199,20000000
200,25000000
201,10000000
202,15000000
203,20000000
204,25000000
205,10000000
206,15000000
207,20000000
208,25000000
209,10000000
210,15000000
211,20000000
212,25000000
213,10000000
214,15000000
215,20000000
216,25000000
217,10000000
218,15000000
219,20000000
220,25000000
221,10000000
222,15000000
223,20000000
224,25000000
225,10000000
226,15000000
227,20000000
228,25000000
229,10000000
230,15000000
231,20000000
232,25000000
233,10000000
234,15000000
235,20000000
236,25000000
237,10000000
238,15000000
239,20000000
240,25000000
241,10000000
242,15000000
243,20000000
244,25000000
245,10000000
246,15000000
247,20000000
248,25000000
249,10000000
250,15000000
251,20000000
252,25000000
253,10000000
254,15000000
255,20000000
256,25000000
