event_id,item_id,sidx,loss
1,1,-3,10000000
1,1,-1,0
1,1,1,150000
1,1,2,750000
1,1,3,1450000
1,1,4,1500000
1,1,5,1600000
1,1,6,2950000
1,1,7,3000000
1,1,8,4500000
1,2,-3,15000000
1,2,-1,0
1,2,1,225000
1,2,2,1125000
1,2,3,2175000
1,2,4,2250000
1,2,5,2400000
1,2,6,4425000
1,2,7,4500000
1,2,8,6750000
1,3,-3,20000000
1,3,-1,0
1,3,1,300000
1,3,2,1500000
1,3,3,2900000
1,3,4,3000000
1,3,5,3200000
1,3,6,5900000
1,3,7,6000000
1,3,8,9000000
1,4,-3,25000000
1,4,-1,0
1,4,1,375000
1,4,2,1875000
1,4,3,3625000
1,4,4,3750000
1,4,5,4000000
1,4,6,7375000
1,4,7,7500000
1,4,8,11250000
