profile_id,calcrule_id,deductible1,deductible2,deductible3,attachment1,limit1,share1,share2,share3,step_id,trigger_start,trigger_end,payout_start,payout_end,limit2,scale1,scale2
1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,5000000,0.0295,0.3
3,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,3000000,0.0295,0.3
4,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,1000000,0.0295,0.3
5,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,1000000,0.0295,0.2
6,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,1000000,0.0295,0.1
7,28,10000,0,0,0,0,0,0,0,1,0,0.3,1,0,0,0.0295,0
7,28,10000,0,0,0,0,0,0,0,2,0.3,1,1,0,0,0.0295,0
8,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
9,28,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
10,28,0,0,0,0,0,0,0,0,1,0,1,1,0,3000000,0,0.128
11,28,0,0,0,0,0,0,0,0,1,0,1,1,0,5000000,0.021,0.143
12,28,0,0,0,0,0,0,0,0,1,0,1,1,0,5000000,0.026,0.183
13,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,5000000,0.1,0.3
14,28,10000,0,0,0,0,0,0,0,1,0,0.3,1,0,0,0,0
14,28,10000,0,0,0,0,0,0,0,2,0.3,1,1,0,0,0,0
15,28,10000,0,0,0,0,0,0,0,1,0,1,1,0,1000000,0.1,0.1
16,28,0,0,0,0,0,0,0,0,1,0,0.3,1,0,0,0,0
16,28,0,0,0,0,0,0,0,0,2,0.3,1,1,0,0,0,0
17,28,0,0,0,0,0,0,0,0,1,0,0.3,0.7,0,0,0.1,0
17,28,0,0,0,0,0,0,0,0,2,0.3,1,0.7,0,1000000,0.1,0.1
18,28,0,0,0,0,0,0,0,0,1,0,0.3,1,0,0,0.1,0
18,28,0,0,0,0,0,0,0,0,2,0.3,1,1,0,1000000,0.1,0.3
19,28,100000,0,0,0,0,0,0,0,1,0,1,1,0,5000000,0.1,0.3
