Item_id,Coverage_id,Areaperil_id,Vulnerability_id,Group_id
1,1,1,1,1
2,2,1,1,1
3,3,1,1,1
4,4,1,1,1
5,5,1,1,2
6,6,1,1,2
7,7,1,1,2
8,8,1,1,2
9,9,1,1,3
10,10,1,1,3
11,11,1,1,3
12,12,1,1,3
13,13,1,1,4
14,14,1,1,4
15,15,1,1,4
16,16,1,1,4
17,17,1,1,5
18,18,1,1,5
19,19,1,1,5
20,20,1,1,5
21,21,1,1,6
22,22,1,1,6
23,23,1,1,6
24,24,1,1,6
25,25,1,1,7
26,26,1,1,7
27,27,1,1,7
28,28,1,1,7
29,29,1,1,8
30,30,1,1,8
31,31,1,1,8
32,32,1,1,8
33,33,1,1,9
34,34,1,1,9
35,35,1,1,9
36,36,1,1,9
37,37,1,1,10
38,38,1,1,10
39,39,1,1,10
40,40,1,1,10
41,41,1,1,11
42,42,1,1,11
43,43,1,1,11
44,44,1,1,11
45,45,1,1,12
46,46,1,1,12
47,47,1,1,12
48,48,1,1,12
49,49,1,1,13
50,50,1,1,13
51,51,1,1,13
52,52,1,1,13
53,53,1,1,14
54,54,1,1,14
55,55,1,1,14
56,56,1,1,14
57,57,1,1,15
58,58,1,1,15
59,59,1,1,15
60,60,1,1,15
61,61,1,1,16
62,62,1,1,16
63,63,1,1,16
64,64,1,1,16
65,65,1,1,17
66,66,1,1,17
67,67,1,1,17
68,68,1,1,17
69,69,1,1,18
70,70,1,1,18
71,71,1,1,18
72,72,1,1,18
