event_id,output_id,sidx,loss
1,1,-3,86493.18
1,1,-1,0.00
1,1,1,143506.23
1,2,-3,86493.18
1,2,-1,0.00
1,2,1,143506.23
1,3,-3,51839.89
1,3,-1,0.00
1,3,1,86010.80
1,4,-3,15057.88
1,4,-1,0.00
1,4,1,24983.47
1,5,-3,902967.25
1,5,-1,0.00
1,5,1,1007014.56
1,6,-3,340421.44
1,6,-1,0.00
1,6,1,285004.12
1,7,-3,6896.67
1,7,-1,0.00
1,7,1,7197.08
1,8,-3,179913.09
1,8,-1,0.00
1,8,1,199502.86
1,9,-3,949941.06
1,9,-1,0.00
1,9,1,788053.38
1,10,-3,379976.44
1,10,-1,0.00
1,10,1,315221.31
1,11,-3,259479.55
1,11,-1,0.00
1,11,1,430518.72
1,12,-3,259479.55
1,12,-1,0.00
1,12,1,430518.72
1,13,-3,155519.66
1,13,-1,0.00
1,13,1,258032.38
1,14,-3,45173.64
1,14,-1,0.00
1,14,1,74950.41
1,15,-3,2708901.75
1,15,-1,0.00
1,15,1,3021043.75
1,16,-3,1021264.31
1,16,-1,0.00
1,16,1,855012.38
1,17,-3,20690.01
1,17,-1,0.00
1,17,1,21591.23
1,18,-3,539739.25
1,18,-1,0.00
1,18,1,598508.56
1,19,-3,2849823.25
1,19,-1,0.00
1,19,1,2364160.25
1,20,-3,1139929.25
1,20,-1,0.00
1,20,1,945663.94
1,21,-3,432465.91
1,21,-1,0.00
1,21,1,599085.06
1,22,-3,432465.91
1,22,-1,0.00
1,22,1,599085.06
1,23,-3,259199.44
1,23,-1,0.00
1,23,1,359063.00
1,24,-3,75289.40
1,24,-1,0.00
1,24,1,104296.67
1,25,-3,4514836.50
1,25,-1,0.00
1,25,1,4203910.50
1,26,-3,1702107.12
1,26,-1,0.00
1,26,1,1189786.00
1,27,-3,34483.34
1,27,-1,0.00
1,27,1,30045.11
1,28,-3,899565.44
1,28,-1,0.00
1,28,1,832850.12
1,29,-3,4749705.50
1,29,-1,0.00
1,29,1,3289829.25
1,30,-3,1899882.12
1,30,-1,0.00
1,30,1,1315931.50
1,31,-3,576621.25
1,31,-1,0.00
1,31,1,786556.12
1,32,-3,576621.25
1,32,-1,0.00
1,32,1,786556.12
1,33,-3,345599.25
1,33,-1,0.00
1,33,1,471424.22
1,34,-3,100385.87
1,34,-1,0.00
1,34,1,136934.12
1,35,-3,6019782.00
1,35,-1,0.00
1,35,1,5519435.50
1,36,-3,2269476.25
1,36,-1,0.00
1,36,1,1562104.50
1,37,-3,45977.79
1,37,-1,0.00
1,37,1,39447.10
1,38,-3,1199420.62
1,38,-1,0.00
1,38,1,1093473.00
1,39,-3,6332940.50
1,39,-1,0.00
1,39,1,4319312.00
1,40,-3,2533176.25
1,40,-1,0.00
1,40,1,1727724.62
1,41,-3,288310.62
1,41,-1,0.00
1,41,1,48392.98
1,42,-3,288310.62
1,42,-1,0.00
1,42,1,48392.98
1,43,-3,172799.62
1,43,-1,0.00
1,43,1,29004.45
1,44,-3,50192.93
1,44,-1,0.00
1,44,1,8424.89
1,45,-3,3009891.00
1,45,-1,0.00
1,45,1,339584.09
1,46,-3,1134738.12
1,46,-1,0.00
1,46,1,96108.71
1,47,-3,22988.89
1,47,-1,0.00
1,47,1,2426.99
1,48,-3,599710.31
1,48,-1,0.00
1,48,1,67276.09
1,49,-3,3166470.25
1,49,-1,0.00
1,49,1,265746.31
1,50,-3,1266588.12
1,50,-1,0.00
1,50,1,106298.52
