event_id,output_id,sidx,loss
1,1,-3,899990016.00
1,1,-1,0.00
1,1,1,449990016.00
1,2,-3,2500000.00
1,2,-1,0.00
1,2,1,1250000.00
1,3,-3,599990016.00
1,3,-1,0.00
1,3,1,299990016.00
1,4,-3,1000000.00
1,4,-1,0.00
1,4,1,500000.00
1,5,-3,329990016.00
1,5,-1,0.00
1,5,1,164990000.00
1,6,-3,500000.00
1,6,-1,0.00
1,6,1,250000.00
1,7,-3,94990000.00
1,7,-1,0.00
1,7,1,47490000.00
1,8,-3,1000000.00
1,8,-1,0.00
1,8,1,500000.00
1,9,-3,100000000.00
1,9,-1,0.00
1,9,1,51940000.00
1,10,-3,28500000.00
1,10,-1,0.00
1,10,1,13500000.00
1,11,-3,750000.25
1,11,-1,0.00
1,11,1,371212.25
1,12,-3,20000000.00
1,12,-1,0.00
1,12,1,9500000.00
1,13,-3,79200000.00
1,13,-1,0.00
1,13,1,39600000.00
1,14,-3,31680000.00
1,14,-1,0.00
1,14,1,15840000.00
