event_id,item_id,sidx,loss
1,1,-3,775000000
1,1,-1,0
1,1,1,387500000
1,2,-3,125000000
1,2,-1,0
1,2,1,62500000
1,3,-3,2500000
1,3,-1,0
1,3,1,1250000
1,4,-3,470000000
1,4,-1,0
1,4,1,235000000
1,5,-3,130000000
1,5,-1,0
1,5,1,65000000
1,6,-3,1000000
1,6,-1,0
1,6,1,500000
1,7,-3,270000000
1,7,-1,0
1,7,1,135000000
1,8,-3,60000000
1,8,-1,0
1,8,1,30000000
1,9,-3,500000
1,9,-1,0
1,9,1,250000
1,10,-3,85000000
1,10,-1,0
1,10,1,42500000
1,11,-3,10000000
1,11,-1,0
1,11,1,5000000
1,12,-3,1000000
1,12,-1,0
1,12,1,500000
1,13,-3,70000000
1,13,-1,0
1,13,1,35000000
1,14,-3,30000000
1,14,-1,0
1,14,1,15000000
1,15,-3,6000000
1,15,-1,0
1,15,1,3000000
1,16,-3,21000000
1,16,-1,0
1,16,1,10500000
1,17,-3,9000000
1,17,-1,0
1,17,1,4500000
1,18,-3,557576
1,18,-1,0
1,18,1,278788
1,19,-3,200000
1,19,-1,0
1,19,1,100000
1,20,-3,15000000
1,20,-1,0
1,20,1,7500000
1,21,-3,6000000
1,21,-1,0
1,21,1,3000000
1,22,-3,60000000
1,22,-1,0
1,22,1,30000000
1,23,-3,15000000
1,23,-1,0
1,23,1,7500000
1,24,-3,5000000
1,24,-1,0
1,24,1,2500000
1,25,-3,20000000
1,25,-1,0
1,25,1,10000000
1,26,-3,10000000
1,26,-1,0
1,26,1,5000000
1,27,-3,2000000
1,27,-1,0
1,27,1,1000000
