coverage_id,tiv
1, 75000000.000000
2, 12000000.000000
3, 13000000.000000
4, 75000000.000000
5, 12000000.000000
6, 13000000.000000
7, 75000000.000000
8, 12000000.000000
9, 13000000.000000
10, 75000000.000000
11, 12000000.000000
12, 13000000.000000
13, 75000000.000000
14, 12000000.000000
15, 13000000.000000
16, 75000000.000000
17, 12000000.000000
18, 13000000.000000
19, 75000000.000000
20, 12000000.000000
21, 13000000.000000
22, 75000000.000000
23, 12000000.000000
24, 13000000.000000
25, 75000000.000000
26, 12000000.000000
27, 13000000.000000
28, 75000000.000000
29, 12000000.000000
30, 13000000.000000
