"coverage_id", "tiv"
1, 75000000.000000
2, 12000000.000000
3, 13000000.000000
4, 75000000.000000
5, 12000000.000000
6, 13000000.000000
7, 75000000.000000
8, 12000000.000000
9, 13000000.000000
10, 75000000.000000
11, 12000000.000000
12, 13000000.000000
13, 75000000.000000
14, 12000000.000000
15, 13000000.000000
16, 75000000.000000
17, 12000000.000000
18, 13000000.000000
19, 75000000.000000
20, 12000000.000000
21, 13000000.000000
22, 75000000.000000
23, 12000000.000000
24, 13000000.000000
25, 75000000.000000
26, 12000000.000000
27, 13000000.000000
28, 75000000.000000
29, 12000000.000000
30, 13000000.000000
31, 75000000.000000
32, 12000000.000000
33, 13000000.000000
34, 75000000.000000
35, 12000000.000000
36, 13000000.000000
37, 75000000.000000
38, 12000000.000000
39, 13000000.000000
40, 75000000.000000
41, 12000000.000000
42, 13000000.000000
43, 75000000.000000
44, 12000000.000000
45, 13000000.000000
46, 75000000.000000
47, 12000000.000000
48, 13000000.000000
49, 75000000.000000
50, 12000000.000000
51, 13000000.000000
52, 75000000.000000
53, 12000000.000000
54, 13000000.000000
55, 75000000.000000
56, 12000000.000000
57, 13000000.000000
58, 75000000.000000
59, 12000000.000000
60, 13000000.000000
61, 75000000.000000
62, 12000000.000000
63, 13000000.000000
64, 75000000.000000
65, 12000000.000000
66, 13000000.000000
67, 75000000.000000
68, 12000000.000000
69, 13000000.000000
70, 75000000.000000
71, 12000000.000000
72, 13000000.000000
73, 75000000.000000
74, 12000000.000000
75, 13000000.000000
76, 75000000.000000
77, 12000000.000000
78, 13000000.000000
79, 75000000.000000
80, 12000000.000000
81, 13000000.000000
82, 75000000.000000
83, 12000000.000000
84, 13000000.000000
85, 75000000.000000
86, 12000000.000000
87, 13000000.000000
88, 75000000.000000
89, 12000000.000000
90, 13000000.000000
91, 75000000.000000
92, 12000000.000000
93, 13000000.000000
94, 75000000.000000
95, 12000000.000000
96, 13000000.000000
97, 75000000.000000
98, 12000000.000000
99, 13000000.000000
100, 75000000.000000
101, 12000000.000000
102, 13000000.000000
103, 75000000.000000
104, 12000000.000000
105, 13000000.000000
106, 75000000.000000
107, 12000000.000000
108, 13000000.000000
109, 75000000.000000
110, 12000000.000000
111, 13000000.000000
112, 75000000.000000
113, 12000000.000000
114, 13000000.000000
115, 75000000.000000
116, 12000000.000000
117, 13000000.000000
118, 75000000.000000
119, 12000000.000000
120, 13000000.000000
121, 75000000.000000
122, 12000000.000000
123, 13000000.000000
124, 75000000.000000
125, 12000000.000000
126, 13000000.000000
127, 75000000.000000
128, 12000000.000000
129, 13000000.000000
130, 75000000.000000
131, 12000000.000000
132, 13000000.000000
133, 75000000.000000
134, 12000000.000000
135, 13000000.000000
136, 75000000.000000
137, 12000000.000000
138, 13000000.000000
139, 75000000.000000
140, 12000000.000000
141, 13000000.000000
142, 75000000.000000
143, 12000000.000000
144, 13000000.000000
145, 75000000.000000
146, 12000000.000000
147, 13000000.000000
148, 75000000.000000
149, 12000000.000000
150, 13000000.000000
151, 75000000.000000
152, 12000000.000000
153, 13000000.000000
154, 75000000.000000
155, 12000000.000000
156, 13000000.000000
157, 75000000.000000
158, 12000000.000000
159, 13000000.000000
160, 75000000.000000
161, 12000000.000000
162, 13000000.000000
163, 75000000.000000
164, 12000000.000000
165, 13000000.000000
166, 75000000.000000
167, 12000000.000000
168, 13000000.000000
169, 75000000.000000
170, 12000000.000000
171, 13000000.000000
172, 75000000.000000
173, 12000000.000000
174, 13000000.000000
175, 75000000.000000
176, 12000000.000000
177, 13000000.000000
178, 75000000.000000
179, 12000000.000000
180, 13000000.000000
181, 75000000.000000
182, 12000000.000000
183, 13000000.000000
184, 75000000.000000
185, 12000000.000000
186, 13000000.000000
187, 75000000.000000
188, 12000000.000000
189, 13000000.000000
190, 75000000.000000
191, 12000000.000000
192, 13000000.000000
193, 75000000.000000
194, 12000000.000000
195, 13000000.000000
196, 75000000.000000
197, 12000000.000000
198, 13000000.000000
199, 75000000.000000
200, 12000000.000000
201, 13000000.000000
202, 75000000.000000
203, 12000000.000000
204, 13000000.000000
205, 75000000.000000
206, 12000000.000000
207, 13000000.000000
208, 75000000.000000
209, 12000000.000000
210, 13000000.000000
211, 75000000.000000
212, 12000000.000000
213, 13000000.000000
214, 75000000.000000
215, 12000000.000000
216, 13000000.000000
217, 75000000.000000
218, 12000000.000000
219, 13000000.000000
220, 75000000.000000
221, 12000000.000000
222, 13000000.000000
223, 75000000.000000
224, 12000000.000000
225, 13000000.000000
226, 75000000.000000
227, 12000000.000000
228, 13000000.000000
229, 75000000.000000
230, 12000000.000000
231, 13000000.000000
232, 75000000.000000
233, 12000000.000000
234, 13000000.000000
235, 75000000.000000
236, 12000000.000000
237, 13000000.000000
238, 75000000.000000
239, 12000000.000000
240, 13000000.000000
241, 75000000.000000
242, 12000000.000000
243, 13000000.000000
244, 75000000.000000
245, 12000000.000000
246, 13000000.000000
247, 75000000.000000
248, 12000000.000000
249, 13000000.000000
250, 75000000.000000
251, 12000000.000000
252, 13000000.000000
253, 75000000.000000
254, 12000000.000000
255, 13000000.000000
256, 75000000.000000
257, 12000000.000000
258, 13000000.000000
259, 75000000.000000
260, 12000000.000000
261, 13000000.000000
262, 75000000.000000
263, 12000000.000000
264, 13000000.000000
265, 75000000.000000
266, 12000000.000000
267, 13000000.000000
268, 75000000.000000
269, 12000000.000000
270, 13000000.000000
271, 75000000.000000
272, 12000000.000000
273, 13000000.000000
274, 75000000.000000
275, 12000000.000000
276, 13000000.000000
277, 75000000.000000
278, 12000000.000000
279, 13000000.000000
280, 75000000.000000
281, 12000000.000000
282, 13000000.000000
283, 75000000.000000
284, 12000000.000000
285, 13000000.000000
286, 75000000.000000
287, 12000000.000000
288, 13000000.000000
289, 75000000.000000
290, 12000000.000000
291, 13000000.000000
292, 75000000.000000
293, 12000000.000000
294, 13000000.000000
295, 75000000.000000
296, 12000000.000000
297, 13000000.000000
298, 75000000.000000
299, 12000000.000000
300, 13000000.000000
301, 75000000.000000
302, 12000000.000000
303, 13000000.000000
304, 75000000.000000
305, 12000000.000000
306, 13000000.000000
307, 75000000.000000
308, 12000000.000000
309, 13000000.000000
310, 75000000.000000
311, 12000000.000000
312, 13000000.000000
313, 75000000.000000
314, 12000000.000000
315, 13000000.000000
316, 75000000.000000
317, 12000000.000000
