"profile_id","calcrule_id","deductible1","deductible2","deductible3","attachment1","limit1","share1","share2","share3"
1, 1, 120000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
2, 1, 130000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
3, 1, 750000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
4, 1, 1000000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
5, 1, 10000000.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
6, 2, 0.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.500000, 0.000000, 0.000000
7, 2, 0.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 1.000000, 0.000000, 0.000000
8, 2, 0.000000, 0.000000, 0.000000, 0.000000, 100000000.000000, 0.500000, 0.000000, 0.000000
9, 2, 0.000000, 0.000000, 0.000000, 0.000000, 100000000.000000, 1.000000, 0.000000, 0.000000
10, 2, 0.000000, 0.000000, 0.000000, 0.000000, 200000000.000000, 0.500000, 0.000000, 0.000000
11, 2, 0.000000, 0.000000, 0.000000, 0.000000, 200000000.000000, 1.000000, 0.000000, 0.000000
12, 2, 0.000000, 0.000000, 0.000000, 0.000000, 400000000.000000, 0.500000, 0.000000, 0.000000
13, 2, 500000.000000, 0.000000, 0.000000, 0.000000, 5000000.000000, 0.300000, 0.000000, 0.000000
14, 2, 500000.000000, 0.000000, 0.000000, 0.000000, 20000000.000000, 0.500000, 0.000000, 0.000000
15, 2, 1000000.000000, 0.000000, 0.000000, 0.000000, 200000000.000000, 0.500000, 0.000000, 0.000000
16, 2, 5500000.000000, 0.000000, 0.000000, 0.000000, 10000000.000000, 0.100000, 0.000000, 0.000000
17, 8, 0.000000, 1000000.000000, 0.000000, 0.000000, 5000000.000000, 0.000000, 0.000000, 0.000000
18, 10, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
19, 10, 0.000000, 0.000000, 1500000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
20, 10, 0.000000, 0.000000, 20000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
21, 11, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22, 11, 0.000000, 1500000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
23, 11, 0.000000, 20000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
24, 12, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
25, 12, 120000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
26, 12, 130000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
27, 12, 700000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
28, 12, 750000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
29, 12, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
30, 12, 4000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
31, 12, 10000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
32, 12, 20000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
33, 12, 40000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
34, 14, 0.000000, 0.000000, 0.000000, 0.000000, 1000000.000000, 0.000000, 0.000000, 0.000000
35, 14, 0.000000, 0.000000, 0.000000, 0.000000, 5000000.000000, 0.000000, 0.000000, 0.000000
