from_agg_id,level_id,to_agg_id
1, 1, 493
2, 1, 7
3, 1, 445
4, 1, 211
5, 1, 481
6, 1, 457
7, 1, 187
8, 1, 199
9, 1, 361
10, 1, 223
11, 1, 469
12, 1, 494
13, 1, 8
14, 1, 446
15, 1, 212
16, 1, 482
17, 1, 188
18, 1, 458
19, 1, 200
20, 1, 362
21, 1, 224
22, 1, 470
23, 1, 9
24, 1, 495
25, 1, 447
26, 1, 213
27, 1, 483
28, 1, 201
29, 1, 459
30, 1, 189
31, 1, 363
32, 1, 225
33, 1, 471
34, 1, 28
35, 1, 29
36, 1, 30
37, 1, 10
38, 1, 11
39, 1, 12
40, 1, 448
41, 1, 22
42, 1, 226
43, 1, 190
44, 1, 214
45, 1, 364
46, 1, 496
47, 1, 472
48, 1, 460
49, 1, 202
50, 1, 484
51, 1, 449
52, 1, 23
53, 1, 227
54, 1, 191
55, 1, 497
56, 1, 365
57, 1, 215
58, 1, 461
59, 1, 473
60, 1, 203
61, 1, 485
62, 1, 450
63, 1, 24
64, 1, 228
65, 1, 192
66, 1, 474
67, 1, 366
68, 1, 216
69, 1, 498
70, 1, 462
71, 1, 204
72, 1, 486
73, 1, 4
74, 1, 5
75, 1, 6
76, 1, 16
77, 1, 17
78, 1, 18
79, 1, 1
80, 1, 2
81, 1, 3
82, 1, 13
83, 1, 14
84, 1, 15
85, 1, 70
86, 1, 172
87, 1, 178
88, 1, 478
89, 1, 130
90, 1, 280
91, 1, 256
92, 1, 232
93, 1, 436
94, 1, 490
95, 1, 106
96, 1, 310
97, 1, 46
98, 1, 154
99, 1, 196
100, 1, 304
101, 1, 454
102, 1, 406
103, 1, 382
104, 1, 52
105, 1, 94
106, 1, 220
107, 1, 322
108, 1, 124
109, 1, 328
110, 1, 430
111, 1, 58
112, 1, 358
113, 1, 136
114, 1, 340
115, 1, 418
116, 1, 112
117, 1, 316
118, 1, 394
119, 1, 88
120, 1, 238
121, 1, 388
122, 1, 64
123, 1, 262
124, 1, 25
125, 1, 346
126, 1, 34
127, 1, 292
128, 1, 334
129, 1, 370
130, 1, 160
131, 1, 166
132, 1, 466
133, 1, 118
134, 1, 424
135, 1, 208
136, 1, 412
137, 1, 76
138, 1, 376
139, 1, 250
140, 1, 40
141, 1, 82
142, 1, 286
143, 1, 244
144, 1, 298
145, 1, 148
146, 1, 352
147, 1, 100
148, 1, 142
149, 1, 400
150, 1, 184
151, 1, 442
152, 1, 268
153, 1, 274
154, 1, 71
155, 1, 173
156, 1, 179
157, 1, 479
158, 1, 257
159, 1, 107
160, 1, 311
161, 1, 47
162, 1, 155
163, 1, 197
164, 1, 305
165, 1, 455
166, 1, 131
167, 1, 281
168, 1, 407
169, 1, 383
170, 1, 53
171, 1, 95
172, 1, 233
173, 1, 437
174, 1, 491
175, 1, 221
176, 1, 323
177, 1, 125
178, 1, 329
179, 1, 431
180, 1, 59
181, 1, 359
182, 1, 137
183, 1, 341
184, 1, 89
185, 1, 239
186, 1, 389
187, 1, 395
188, 1, 26
189, 1, 347
190, 1, 65
191, 1, 263
192, 1, 35
193, 1, 293
194, 1, 335
195, 1, 113
196, 1, 317
197, 1, 161
198, 1, 167
199, 1, 467
200, 1, 371
201, 1, 119
202, 1, 425
203, 1, 419
204, 1, 209
205, 1, 413
206, 1, 77
207, 1, 377
208, 1, 251
209, 1, 41
210, 1, 83
211, 1, 287
212, 1, 245
213, 1, 299
214, 1, 149
215, 1, 353
216, 1, 101
217, 1, 143
218, 1, 401
219, 1, 185
220, 1, 443
221, 1, 269
222, 1, 275
223, 1, 234
224, 1, 438
225, 1, 492
226, 1, 408
227, 1, 132
228, 1, 282
229, 1, 258
230, 1, 72
231, 1, 174
232, 1, 180
233, 1, 480
234, 1, 108
235, 1, 312
236, 1, 48
237, 1, 156
238, 1, 198
239, 1, 306
240, 1, 456
241, 1, 384
242, 1, 54
243, 1, 96
244, 1, 222
245, 1, 324
246, 1, 126
247, 1, 330
248, 1, 432
249, 1, 60
250, 1, 360
251, 1, 138
252, 1, 342
253, 1, 372
254, 1, 420
255, 1, 66
256, 1, 264
257, 1, 114
258, 1, 318
259, 1, 396
260, 1, 90
261, 1, 240
262, 1, 390
263, 1, 36
264, 1, 294
265, 1, 336
266, 1, 27
267, 1, 348
268, 1, 162
269, 1, 168
270, 1, 468
271, 1, 120
272, 1, 426
273, 1, 210
274, 1, 414
275, 1, 78
276, 1, 378
277, 1, 252
278, 1, 42
279, 1, 84
280, 1, 288
281, 1, 246
282, 1, 300
283, 1, 150
284, 1, 354
285, 1, 102
286, 1, 144
287, 1, 402
288, 1, 186
289, 1, 444
290, 1, 270
291, 1, 276
292, 1, 193
293, 1, 91
294, 1, 133
295, 1, 241
296, 1, 391
297, 1, 109
298, 1, 115
299, 1, 217
300, 1, 415
301, 1, 31
302, 1, 385
303, 1, 157
304, 1, 259
305, 1, 463
306, 1, 67
307, 1, 475
308, 1, 61
309, 1, 163
310, 1, 265
311, 1, 367
312, 1, 85
313, 1, 139
314, 1, 289
315, 1, 169
316, 1, 373
317, 1, 427
318, 1, 43
319, 1, 247
320, 1, 343
321, 1, 205
322, 1, 331
323, 1, 49
324, 1, 151
325, 1, 253
326, 1, 355
327, 1, 73
328, 1, 127
329, 1, 277
330, 1, 283
331, 1, 433
332, 1, 307
333, 1, 409
334, 1, 175
335, 1, 325
336, 1, 487
337, 1, 301
338, 1, 313
339, 1, 145
340, 1, 349
341, 1, 451
342, 1, 55
343, 1, 97
344, 1, 103
345, 1, 397
346, 1, 403
347, 1, 229
348, 1, 271
349, 1, 181
350, 1, 235
351, 1, 439
352, 1, 19
353, 1, 319
354, 1, 79
355, 1, 121
356, 1, 379
357, 1, 421
358, 1, 37
359, 1, 337
360, 1, 295
361, 1, 194
362, 1, 110
363, 1, 116
364, 1, 218
365, 1, 416
366, 1, 158
367, 1, 260
368, 1, 464
369, 1, 68
370, 1, 476
371, 1, 92
372, 1, 134
373, 1, 242
374, 1, 392
375, 1, 62
376, 1, 164
377, 1, 266
378, 1, 368
379, 1, 86
380, 1, 140
381, 1, 290
382, 1, 170
383, 1, 374
384, 1, 428
385, 1, 32
386, 1, 386
387, 1, 44
388, 1, 248
389, 1, 344
390, 1, 206
391, 1, 332
392, 1, 284
393, 1, 434
394, 1, 74
395, 1, 128
396, 1, 278
397, 1, 176
398, 1, 326
399, 1, 308
400, 1, 410
401, 1, 488
402, 1, 314
403, 1, 302
404, 1, 146
405, 1, 350
406, 1, 452
407, 1, 50
408, 1, 152
409, 1, 254
410, 1, 356
411, 1, 56
412, 1, 98
413, 1, 104
414, 1, 398
415, 1, 404
416, 1, 230
417, 1, 272
418, 1, 182
419, 1, 236
420, 1, 440
421, 1, 20
422, 1, 320
423, 1, 80
424, 1, 122
425, 1, 380
426, 1, 422
427, 1, 38
428, 1, 338
429, 1, 296
430, 1, 33
431, 1, 387
432, 1, 63
433, 1, 165
434, 1, 267
435, 1, 369
436, 1, 93
437, 1, 135
438, 1, 243
439, 1, 393
440, 1, 111
441, 1, 117
442, 1, 219
443, 1, 417
444, 1, 195
445, 1, 159
446, 1, 261
447, 1, 465
448, 1, 69
449, 1, 477
450, 1, 87
451, 1, 141
452, 1, 291
453, 1, 171
454, 1, 375
455, 1, 429
456, 1, 45
457, 1, 249
458, 1, 345
459, 1, 207
460, 1, 333
461, 1, 303
462, 1, 51
463, 1, 153
464, 1, 255
465, 1, 357
466, 1, 309
467, 1, 411
468, 1, 75
469, 1, 129
470, 1, 279
471, 1, 285
472, 1, 435
473, 1, 489
474, 1, 177
475, 1, 327
476, 1, 315
477, 1, 147
478, 1, 351
479, 1, 453
480, 1, 57
481, 1, 99
482, 1, 105
483, 1, 399
484, 1, 405
485, 1, 231
486, 1, 273
487, 1, 183
488, 1, 237
489, 1, 441
490, 1, 21
491, 1, 321
492, 1, 81
493, 1, 123
494, 1, 381
495, 1, 423
496, 1, 39
497, 1, 339
498, 1, 297
1, 2, 1
2, 2, 1
3, 2, 167
4, 2, 2
5, 2, 2
6, 2, 168
7, 2, 3
8, 2, 3
9, 2, 169
10, 2, 4
11, 2, 4
12, 2, 170
13, 2, 5
14, 2, 5
15, 2, 171
16, 2, 6
17, 2, 6
18, 2, 172
19, 2, 7
20, 2, 7
21, 2, 173
22, 2, 8
23, 2, 8
24, 2, 174
25, 2, 9
26, 2, 9
27, 2, 175
28, 2, 10
29, 2, 10
30, 2, 176
31, 2, 11
32, 2, 11
33, 2, 177
34, 2, 12
35, 2, 12
36, 2, 178
37, 2, 13
38, 2, 13
39, 2, 179
40, 2, 14
41, 2, 14
42, 2, 180
43, 2, 15
44, 2, 15
45, 2, 181
46, 2, 16
47, 2, 16
48, 2, 182
49, 2, 17
50, 2, 17
51, 2, 183
52, 2, 18
53, 2, 18
54, 2, 184
55, 2, 19
56, 2, 19
57, 2, 185
58, 2, 20
59, 2, 20
60, 2, 186
61, 2, 21
62, 2, 21
63, 2, 187
64, 2, 22
65, 2, 22
66, 2, 188
67, 2, 23
68, 2, 23
69, 2, 189
70, 2, 24
71, 2, 24
72, 2, 190
73, 2, 25
74, 2, 25
75, 2, 191
76, 2, 26
77, 2, 26
78, 2, 192
79, 2, 27
80, 2, 27
81, 2, 193
82, 2, 28
83, 2, 28
84, 2, 194
85, 2, 29
86, 2, 29
87, 2, 195
88, 2, 30
89, 2, 30
90, 2, 196
91, 2, 31
92, 2, 31
93, 2, 197
94, 2, 32
95, 2, 32
96, 2, 198
97, 2, 33
98, 2, 33
99, 2, 199
100, 2, 34
101, 2, 34
102, 2, 200
103, 2, 35
104, 2, 35
105, 2, 201
106, 2, 36
107, 2, 36
108, 2, 202
109, 2, 37
110, 2, 37
111, 2, 203
112, 2, 38
113, 2, 38
114, 2, 204
115, 2, 39
116, 2, 39
