item_id,coverage_id,areaperil_id,vulnerability_id,group_id
1, 178, -1, -1, 60
2, 178, -1, -1, 60
3, 478, -1, -1, 160
4, 478, -1, -1, 160
5, 220, -1, -1, 74
6, 220, -1, -1, 74
7, 520, -1, -1, 174
8, 520, -1, -1, 174
9, 199, -1, -1, 67
10, 199, -1, -1, 67
11, 499, -1, -1, 167
12, 499, -1, -1, 167
13, 31, -1, -1, 11
14, 31, -1, -1, 11
15, 133, -1, -1, 45
16, 133, -1, -1, 45
17, 235, -1, -1, 79
18, 235, -1, -1, 79
19, 337, -1, -1, 113
20, 337, -1, -1, 113
21, 439, -1, -1, 147
22, 439, -1, -1, 147
23, 541, -1, -1, 181
24, 541, -1, -1, 181
25, 91, -1, -1, 31
26, 91, -1, -1, 31
27, 238, -1, -1, 80
28, 238, -1, -1, 80
29, 391, -1, -1, 131
30, 391, -1, -1, 131
31, 538, -1, -1, 180
32, 538, -1, -1, 180
33, 544, -1, -1, 182
34, 544, -1, -1, 182
35, 181, -1, -1, 61
36, 181, -1, -1, 61
37, 67, -1, -1, 23
38, 67, -1, -1, 23
39, 160, -1, -1, 54
40, 160, -1, -1, 54
41, 514, -1, -1, 172
42, 514, -1, -1, 172
43, 364, -1, -1, 122
44, 364, -1, -1, 122
45, 106, -1, -1, 36
46, 106, -1, -1, 36
47, 568, -1, -1, 190
48, 568, -1, -1, 190
49, 310, -1, -1, 104
50, 310, -1, -1, 104
51, 73, -1, -1, 25
52, 179, -1, -1, 60
53, 179, -1, -1, 60
54, 479, -1, -1, 160
55, 479, -1, -1, 160
56, 221, -1, -1, 74
57, 221, -1, -1, 74
58, 521, -1, -1, 174
59, 521, -1, -1, 174
60, 200, -1, -1, 67
61, 200, -1, -1, 67
62, 500, -1, -1, 167
63, 500, -1, -1, 167
64, 32, -1, -1, 11
65, 32, -1, -1, 11
66, 134, -1, -1, 45
67, 134, -1, -1, 45
68, 236, -1, -1, 79
69, 236, -1, -1, 79
70, 338, -1, -1, 113
71, 338, -1, -1, 113
72, 440, -1, -1, 147
73, 440, -1, -1, 147
74, 542, -1, -1, 181
75, 542, -1, -1, 181
76, 92, -1, -1, 31
77, 92, -1, -1, 31
78, 239, -1, -1, 80
79, 239, -1, -1, 80
80, 392, -1, -1, 131
81, 392, -1, -1, 131
82, 539, -1, -1, 180
83, 539, -1, -1, 180
84, 545, -1, -1, 182
85, 545, -1, -1, 182
86, 182, -1, -1, 61
87, 182, -1, -1, 61
88, 68, -1, -1, 23
89, 68, -1, -1, 23
90, 161, -1, -1, 54
91, 161, -1, -1, 54
92, 515, -1, -1, 172
93, 515, -1, -1, 172
94, 365, -1, -1, 122
95, 365, -1, -1, 122
96, 107, -1, -1, 36
97, 107, -1, -1, 36
98, 569, -1, -1, 190
99, 569, -1, -1, 190
100, 311, -1, -1, 104
101, 311, -1, -1, 104
102, 74, -1, -1, 25
103, 180, -1, -1, 60
104, 180, -1, -1, 60
105, 480, -1, -1, 160
106, 480, -1, -1, 160
107, 222, -1, -1, 74
108, 222, -1, -1, 74
109, 522, -1, -1, 174
110, 522, -1, -1, 174
111, 201, -1, -1, 67
112, 201, -1, -1, 67
113, 501, -1, -1, 167
114, 501, -1, -1, 167
115, 33, -1, -1, 11
116, 33, -1, -1, 11
117, 135, -1, -1, 45
118, 135, -1, -1, 45
119, 237, -1, -1, 79
120, 237, -1, -1, 79
121, 339, -1, -1, 113
122, 339, -1, -1, 113
123, 441, -1, -1, 147
124, 441, -1, -1, 147
125, 543, -1, -1, 181
126, 543, -1, -1, 181
127, 93, -1, -1, 31
128, 93, -1, -1, 31
129, 240, -1, -1, 80
130, 240, -1, -1, 80
131, 393, -1, -1, 131
132, 393, -1, -1, 131
133, 540, -1, -1, 180
134, 540, -1, -1, 180
135, 546, -1, -1, 182
136, 546, -1, -1, 182
137, 183, -1, -1, 61
138, 183, -1, -1, 61
139, 69, -1, -1, 23
140, 69, -1, -1, 23
141, 162, -1, -1, 54
142, 162, -1, -1, 54
143, 516, -1, -1, 172
144, 516, -1, -1, 172
145, 366, -1, -1, 122
146, 366, -1, -1, 122
147, 108, -1, -1, 36
148, 108, -1, -1, 36
149, 570, -1, -1, 190
150, 570, -1, -1, 190
151, 312, -1, -1, 104
152, 312, -1, -1, 104
153, 75, -1, -1, 25
154, 73, -1, -1, 25
155, 373, -1, -1, 125
156, 373, -1, -1, 125
157, 346, -1, -1, 116
158, 346, -1, -1, 116
159, 46, -1, -1, 16
160, 46, -1, -1, 16
161, 52, -1, -1, 18
162, 52, -1, -1, 18
163, 352, -1, -1, 118
164, 352, -1, -1, 118
165, 247, -1, -1, 83
166, 247, -1, -1, 83
167, 505, -1, -1, 169
168, 505, -1, -1, 169
169, 451, -1, -1, 151
170, 451, -1, -1, 151
171, 97, -1, -1, 33
172, 97, -1, -1, 33
173, 130, -1, -1, 44
174, 130, -1, -1, 44
175, 301, -1, -1, 101
176, 301, -1, -1, 101
177, 43, -1, -1, 15
178, 43, -1, -1, 15
179, 7, -1, -1, 3
180, 7, -1, -1, 3
181, 265, -1, -1, 89
182, 265, -1, -1, 89
183, 307, -1, -1, 103
184, 307, -1, -1, 103
185, 565, -1, -1, 189
186, 565, -1, -1, 189
187, 112, -1, -1, 38
188, 112, -1, -1, 38
189, 412, -1, -1, 138
190, 412, -1, -1, 138
191, 202, -1, -1, 68
192, 202, -1, -1, 68
193, 229, -1, -1, 77
194, 229, -1, -1, 77
195, 127, -1, -1, 43
196, 127, -1, -1, 43
197, 496, -1, -1, 166
198, 496, -1, -1, 166
199, 406, -1, -1, 136
200, 406, -1, -1, 136
201, 523, -1, -1, 175
202, 523, -1, -1, 175
203, 76, -1, -1, 26
204, 76, -1, -1, 26
205, 74, -1, -1, 25
206, 374, -1, -1, 125
207, 374, -1, -1, 125
208, 47, -1, -1, 16
209, 47, -1, -1, 16
210, 347, -1, -1, 116
211, 347, -1, -1, 116
212, 53, -1, -1, 18
213, 53, -1, -1, 18
214, 353, -1, -1, 118
215, 353, -1, -1, 118
216, 248, -1, -1, 83
217, 248, -1, -1, 83
218, 506, -1, -1, 169
219, 506, -1, -1, 169
220, 452, -1, -1, 151
221, 452, -1, -1, 151
222, 98, -1, -1, 33
223, 98, -1, -1, 33
224, 131, -1, -1, 44
225, 131, -1, -1, 44
226, 44, -1, -1, 15
227, 44, -1, -1, 15
228, 302, -1, -1, 101
229, 302, -1, -1, 101
230, 8, -1, -1, 3
231, 8, -1, -1, 3
232, 266, -1, -1, 89
233, 266, -1, -1, 89
234, 308, -1, -1, 103
235, 308, -1, -1, 103
236, 566, -1, -1, 189
237, 566, -1, -1, 189
238, 113, -1, -1, 38
239, 113, -1, -1, 38
240, 413, -1, -1, 138
241, 413, -1, -1, 138
242, 203, -1, -1, 68
243, 203, -1, -1, 68
244, 230, -1, -1, 77
245, 230, -1, -1, 77
246, 128, -1, -1, 43
247, 128, -1, -1, 43
248, 497, -1, -1, 166
249, 497, -1, -1, 166
250, 407, -1, -1, 136
251, 407, -1, -1, 136
252, 524, -1, -1, 175
253, 524, -1, -1, 175
254, 77, -1, -1, 26
255, 77, -1, -1, 26
256, 75, -1, -1, 25
257, 375, -1, -1, 125
258, 375, -1, -1, 125
259, 48, -1, -1, 16
260, 48, -1, -1, 16
261, 348, -1, -1, 116
262, 348, -1, -1, 116
263, 54, -1, -1, 18
264, 54, -1, -1, 18
265, 354, -1, -1, 118
266, 354, -1, -1, 118
267, 249, -1, -1, 83
268, 249, -1, -1, 83
269, 507, -1, -1, 169
270, 507, -1, -1, 169
271, 453, -1, -1, 151
272, 453, -1, -1, 151
273, 99, -1, -1, 33
274, 99, -1, -1, 33
275, 132, -1, -1, 44
276, 132, -1, -1, 44
277, 45, -1, -1, 15
278, 45, -1, -1, 15
279, 303, -1, -1, 101
280, 303, -1, -1, 101
281, 9, -1, -1, 3
282, 9, -1, -1, 3
283, 267, -1, -1, 89
284, 267, -1, -1, 89
285, 309, -1, -1, 103
286, 309, -1, -1, 103
287, 567, -1, -1, 189
288, 567, -1, -1, 189
289, 114, -1, -1, 38
290, 114, -1, -1, 38
291, 414, -1, -1, 138
292, 414, -1, -1, 138
293, 204, -1, -1, 68
294, 204, -1, -1, 68
295, 231, -1, -1, 77
296, 231, -1, -1, 77
297, 129, -1, -1, 43
298, 129, -1, -1, 43
299, 498, -1, -1, 166
300, 498, -1, -1, 166
301, 408, -1, -1, 136
302, 408, -1, -1, 136
303, 525, -1, -1, 175
304, 525, -1, -1, 175
305, 78, -1, -1, 26
306, 78, -1, -1, 26
307, 22, -1, -1, 8
308, 22, -1, -1, 8
309, 280, -1, -1, 94
310, 280, -1, -1, 94
311, 355, -1, -1, 119
312, 355, -1, -1, 119
313, 397, -1, -1, 133
314, 397, -1, -1, 133
315, 1, -1, -1, 1
316, 1, -1, -1, 1
317, 433, -1, -1, 145
318, 433, -1, -1, 145
319, 139, -1, -1, 47
320, 139, -1, -1, 47
321, 190, -1, -1, 64
322, 190, -1, -1, 64
323, 292, -1, -1, 98
324, 292, -1, -1, 98
325, 343, -1, -1, 115
326, 343, -1, -1, 115
327, 142, -1, -1, 48
328, 142, -1, -1, 48
329, 187, -1, -1, 63
330, 187, -1, -1, 63
331, 385, -1, -1, 129
332, 385, -1, -1, 129
333, 40, -1, -1, 14
334, 40, -1, -1, 14
335, 487, -1, -1, 163
336, 487, -1, -1, 163
337, 493, -1, -1, 165
338, 493, -1, -1, 165
339, 85, -1, -1, 29
340, 85, -1, -1, 29
341, 532, -1, -1, 178
342, 532, -1, -1, 178
343, 196, -1, -1, 66
344, 196, -1, -1, 66
345, 298, -1, -1, 100
346, 298, -1, -1, 100
347, 400, -1, -1, 134
348, 400, -1, -1, 134
349, 502, -1, -1, 168
350, 502, -1, -1, 168
351, 94, -1, -1, 32
352, 94, -1, -1, 32
353, 454, -1, -1, 152
354, 454, -1, -1, 152
355, 175, -1, -1, 59
356, 175, -1, -1, 59
357, 23, -1, -1, 8
358, 23, -1, -1, 8
359, 281, -1, -1, 94
360, 281, -1, -1, 94
361, 356, -1, -1, 119
362, 356, -1, -1, 119
363, 398, -1, -1, 133
364, 398, -1, -1, 133
365, 2, -1, -1, 1
366, 2, -1, -1, 1
367, 434, -1, -1, 145
368, 434, -1, -1, 145
369, 140, -1, -1, 47
370, 140, -1, -1, 47
371, 191, -1, -1, 64
372, 191, -1, -1, 64
373, 293, -1, -1, 98
374, 293, -1, -1, 98
375, 344, -1, -1, 115
376, 344, -1, -1, 115
377, 143, -1, -1, 48
378, 143, -1, -1, 48
379, 188, -1, -1, 63
380, 188, -1, -1, 63
381, 386, -1, -1, 129
382, 386, -1, -1, 129
383, 41, -1, -1, 14
384, 41, -1, -1, 14
385, 488, -1, -1, 163
386, 488, -1, -1, 163
387, 494, -1, -1, 165
388, 494, -1, -1, 165
389, 86, -1, -1, 29
390, 86, -1, -1, 29
391, 533, -1, -1, 178
392, 533, -1, -1, 178
393, 197, -1, -1, 66
394, 197, -1, -1, 66
395, 299, -1, -1, 100
396, 299, -1, -1, 100
397, 401, -1, -1, 134
398, 401, -1, -1, 134
399, 503, -1, -1, 168
400, 503, -1, -1, 168
401, 95, -1, -1, 32
402, 95, -1, -1, 32
403, 455, -1, -1, 152
404, 455, -1, -1, 152
405, 176, -1, -1, 59
406, 176, -1, -1, 59
407, 24, -1, -1, 8
408, 24, -1, -1, 8
409, 282, -1, -1, 94
410, 282, -1, -1, 94
411, 357, -1, -1, 119
412, 357, -1, -1, 119
413, 399, -1, -1, 133
414, 399, -1, -1, 133
415, 3, -1, -1, 1
416, 3, -1, -1, 1
417, 435, -1, -1, 145
418, 435, -1, -1, 145
419, 141, -1, -1, 47
420, 141, -1, -1, 47
421, 192, -1, -1, 64
422, 192, -1, -1, 64
423, 294, -1, -1, 98
424, 294, -1, -1, 98
425, 345, -1, -1, 115
426, 345, -1, -1, 115
427, 144, -1, -1, 48
428, 144, -1, -1, 48
429, 189, -1, -1, 63
430, 189, -1, -1, 63
431, 387, -1, -1, 129
432, 387, -1, -1, 129
433, 42, -1, -1, 14
434, 42, -1, -1, 14
435, 489, -1, -1, 163
436, 489, -1, -1, 163
437, 495, -1, -1, 165
438, 495, -1, -1, 165
439, 87, -1, -1, 29
440, 87, -1, -1, 29
441, 534, -1, -1, 178
442, 534, -1, -1, 178
443, 198, -1, -1, 66
444, 198, -1, -1, 66
445, 300, -1, -1, 100
446, 300, -1, -1, 100
447, 402, -1, -1, 134
448, 402, -1, -1, 134
449, 504, -1, -1, 168
450, 504, -1, -1, 168
451, 96, -1, -1, 32
452, 96, -1, -1, 32
453, 456, -1, -1, 152
454, 456, -1, -1, 152
455, 177, -1, -1, 59
456, 177, -1, -1, 59
457, 244, -1, -1, 82
458, 244, -1, -1, 82
459, 475, -1, -1, 159
460, 475, -1, -1, 159
461, 481, -1, -1, 161
462, 481, -1, -1, 161
463, 154, -1, -1, 52
464, 154, -1, -1, 52
465, 418, -1, -1, 140
466, 418, -1, -1, 140
467, 13, -1, -1, 5
468, 13, -1, -1, 5
469, 460, -1, -1, 154
470, 460, -1, -1, 154
471, 64, -1, -1, 22
472, 64, -1, -1, 22
473, 217, -1, -1, 73
474, 217, -1, -1, 73
475, 559, -1, -1, 187
476, 559, -1, -1, 187
477, 49, -1, -1, 17
478, 49, -1, -1, 17
479, 349, -1, -1, 117
480, 349, -1, -1, 117
481, 28, -1, -1, 10
482, 28, -1, -1, 10
483, 328, -1, -1, 110
484, 328, -1, -1, 110
485, 70, -1, -1, 24
486, 70, -1, -1, 24
487, 370, -1, -1, 124
488, 370, -1, -1, 124
489, 340, -1, -1, 114
490, 340, -1, -1, 114
491, 193, -1, -1, 65
492, 193, -1, -1, 65
493, 442, -1, -1, 148
494, 442, -1, -1, 148
495, 232, -1, -1, 78
496, 232, -1, -1, 78
497, 334, -1, -1, 112
498, 334, -1, -1, 112
499, 34, -1, -1, 12
500, 34, -1, -1, 12
501, 256, -1, -1, 86
502, 256, -1, -1, 86
503, 367, -1, -1, 123
504, 367, -1, -1, 123
505, 409, -1, -1, 137
506, 409, -1, -1, 137
507, 10, -1, -1, 4
508, 245, -1, -1, 82
509, 245, -1, -1, 82
510, 476, -1, -1, 159
511, 476, -1, -1, 159
512, 482, -1, -1, 161
513, 482, -1, -1, 161
514, 155, -1, -1, 52
515, 155, -1, -1, 52
516, 419, -1, -1, 140
517, 419, -1, -1, 140
518, 14, -1, -1, 5
519, 14, -1, -1, 5
520, 461, -1, -1, 154
521, 461, -1, -1, 154
522, 65, -1, -1, 22
523, 65, -1, -1, 22
524, 218, -1, -1, 73
525, 218, -1, -1, 73
526, 560, -1, -1, 187
527, 560, -1, -1, 187
528, 50, -1, -1, 17
529, 50, -1, -1, 17
530, 350, -1, -1, 117
531, 350, -1, -1, 117
532, 29, -1, -1, 10
533, 29, -1, -1, 10
534, 71, -1, -1, 24
535, 71, -1, -1, 24
536, 329, -1, -1, 110
537, 329, -1, -1, 110
538, 371, -1, -1, 124
539, 371, -1, -1, 124
540, 341, -1, -1, 114
541, 341, -1, -1, 114
542, 194, -1, -1, 65
543, 194, -1, -1, 65
544, 443, -1, -1, 148
545, 443, -1, -1, 148
546, 233, -1, -1, 78
547, 233, -1, -1, 78
548, 35, -1, -1, 12
549, 35, -1, -1, 12
550, 335, -1, -1, 112
551, 335, -1, -1, 112
552, 257, -1, -1, 86
553, 257, -1, -1, 86
554, 368, -1, -1, 123
555, 368, -1, -1, 123
556, 410, -1, -1, 137
557, 410, -1, -1, 137
558, 11, -1, -1, 4
559, 246, -1, -1, 82
560, 246, -1, -1, 82
561, 477, -1, -1, 159
562, 477, -1, -1, 159
563, 483, -1, -1, 161
564, 483, -1, -1, 161
565, 156, -1, -1, 52
566, 156, -1, -1, 52
567, 420, -1, -1, 140
568, 420, -1, -1, 140
569, 15, -1, -1, 5
570, 15, -1, -1, 5
571, 462, -1, -1, 154
572, 462, -1, -1, 154
573, 66, -1, -1, 22
574, 66, -1, -1, 22
575, 219, -1, -1, 73
576, 219, -1, -1, 73
577, 561, -1, -1, 187
578, 561, -1, -1, 187
579, 51, -1, -1, 17
580, 51, -1, -1, 17
581, 351, -1, -1, 117
582, 351, -1, -1, 117
583, 30, -1, -1, 10
584, 30, -1, -1, 10
585, 72, -1, -1, 24
586, 72, -1, -1, 24
587, 330, -1, -1, 110
588, 330, -1, -1, 110
589, 372, -1, -1, 124
590, 372, -1, -1, 124
591, 342, -1, -1, 114
592, 342, -1, -1, 114
593, 195, -1, -1, 65
594, 195, -1, -1, 65
595, 444, -1, -1, 148
596, 444, -1, -1, 148
597, 234, -1, -1, 78
598, 234, -1, -1, 78
599, 36, -1, -1, 12
600, 36, -1, -1, 12
601, 336, -1, -1, 112
602, 336, -1, -1, 112
603, 258, -1, -1, 86
604, 258, -1, -1, 86
605, 369, -1, -1, 123
606, 369, -1, -1, 123
607, 411, -1, -1, 137
608, 411, -1, -1, 137
609, 12, -1, -1, 4
610, 10, -1, -1, 4
611, 268, -1, -1, 90
612, 268, -1, -1, 90
613, 163, -1, -1, 55
614, 163, -1, -1, 55
615, 214, -1, -1, 72
616, 214, -1, -1, 72
617, 58, -1, -1, 20
618, 58, -1, -1, 20
619, 316, -1, -1, 106
620, 316, -1, -1, 106
621, 358, -1, -1, 120
622, 358, -1, -1, 120
623, 466, -1, -1, 156
624, 466, -1, -1, 156
625, 208, -1, -1, 70
626, 208, -1, -1, 70
627, 16, -1, -1, 6
628, 16, -1, -1, 6
629, 211, -1, -1, 71
630, 211, -1, -1, 71
631, 469, -1, -1, 157
632, 469, -1, -1, 157
633, 511, -1, -1, 171
634, 511, -1, -1, 171
635, 166, -1, -1, 56
636, 166, -1, -1, 56
637, 508, -1, -1, 170
638, 508, -1, -1, 170
639, 361, -1, -1, 121
640, 361, -1, -1, 121
641, 61, -1, -1, 21
642, 61, -1, -1, 21
643, 556, -1, -1, 186
644, 556, -1, -1, 186
645, 571, -1, -1, 191
646, 571, -1, -1, 191
647, 79, -1, -1, 27
648, 79, -1, -1, 27
649, 148, -1, -1, 50
650, 148, -1, -1, 50
651, 448, -1, -1, 150
652, 448, -1, -1, 150
653, 250, -1, -1, 84
654, 250, -1, -1, 84
655, 550, -1, -1, 184
656, 550, -1, -1, 184
657, 82, -1, -1, 28
658, 82, -1, -1, 28
659, 184, -1, -1, 62
660, 184, -1, -1, 62
661, 11, -1, -1, 4
662, 269, -1, -1, 90
663, 269, -1, -1, 90
664, 164, -1, -1, 55
665, 164, -1, -1, 55
666, 215, -1, -1, 72
667, 215, -1, -1, 72
668, 59, -1, -1, 20
669, 59, -1, -1, 20
670, 317, -1, -1, 106
671, 317, -1, -1, 106
672, 359, -1, -1, 120
673, 359, -1, -1, 120
674, 467, -1, -1, 156
675, 467, -1, -1, 156
676, 209, -1, -1, 70
677, 209, -1, -1, 70
678, 17, -1, -1, 6
679, 17, -1, -1, 6
680, 212, -1, -1, 71
681, 212, -1, -1, 71
682, 470, -1, -1, 157
683, 470, -1, -1, 157
684, 512, -1, -1, 171
685, 512, -1, -1, 171
686, 167, -1, -1, 56
687, 167, -1, -1, 56
688, 509, -1, -1, 170
689, 509, -1, -1, 170
690, 62, -1, -1, 21
691, 62, -1, -1, 21
692, 362, -1, -1, 121
693, 362, -1, -1, 121
694, 557, -1, -1, 186
695, 557, -1, -1, 186
696, 572, -1, -1, 191
697, 572, -1, -1, 191
698, 80, -1, -1, 27
699, 80, -1, -1, 27
700, 149, -1, -1, 50
701, 149, -1, -1, 50
702, 449, -1, -1, 150
703, 449, -1, -1, 150
704, 251, -1, -1, 84
705, 251, -1, -1, 84
706, 551, -1, -1, 184
707, 551, -1, -1, 184
708, 83, -1, -1, 28
709, 83, -1, -1, 28
710, 185, -1, -1, 62
711, 185, -1, -1, 62
712, 12, -1, -1, 4
713, 270, -1, -1, 90
714, 270, -1, -1, 90
715, 165, -1, -1, 55
716, 165, -1, -1, 55
717, 216, -1, -1, 72
718, 216, -1, -1, 72
719, 60, -1, -1, 20
720, 60, -1, -1, 20
721, 318, -1, -1, 106
722, 318, -1, -1, 106
723, 360, -1, -1, 120
724, 360, -1, -1, 120
725, 468, -1, -1, 156
726, 468, -1, -1, 156
727, 210, -1, -1, 70
728, 210, -1, -1, 70
729, 18, -1, -1, 6
730, 18, -1, -1, 6
731, 213, -1, -1, 71
732, 213, -1, -1, 71
733, 471, -1, -1, 157
734, 471, -1, -1, 157
735, 513, -1, -1, 171
736, 513, -1, -1, 171
737, 168, -1, -1, 56
738, 168, -1, -1, 56
739, 510, -1, -1, 170
740, 510, -1, -1, 170
741, 63, -1, -1, 21
742, 63, -1, -1, 21
743, 363, -1, -1, 121
744, 363, -1, -1, 121
745, 558, -1, -1, 186
746, 558, -1, -1, 186
747, 573, -1, -1, 191
748, 573, -1, -1, 191
749, 81, -1, -1, 27
750, 81, -1, -1, 27
751, 150, -1, -1, 50
752, 150, -1, -1, 50
753, 450, -1, -1, 150
754, 450, -1, -1, 150
755, 252, -1, -1, 84
756, 252, -1, -1, 84
757, 552, -1, -1, 184
758, 552, -1, -1, 184
759, 84, -1, -1, 28
760, 84, -1, -1, 28
761, 186, -1, -1, 62
762, 186, -1, -1, 62
763, 286, -1, -1, 96
764, 286, -1, -1, 96
765, 388, -1, -1, 130
766, 388, -1, -1, 130
767, 490, -1, -1, 164
768, 490, -1, -1, 164
769, 325, -1, -1, 109
770, 325, -1, -1, 109
771, 529, -1, -1, 177
772, 529, -1, -1, 177
773, 427, -1, -1, 143
774, 427, -1, -1, 143
775, 4, -1, -1, 2
776, 4, -1, -1, 2
777, 19, -1, -1, 7
778, 19, -1, -1, 7
779, 121, -1, -1, 41
780, 121, -1, -1, 41
781, 223, -1, -1, 75
782, 223, -1, -1, 75
783, 136, -1, -1, 46
784, 136, -1, -1, 46
785, 289, -1, -1, 97
786, 289, -1, -1, 97
787, 436, -1, -1, 146
788, 436, -1, -1, 146
789, 283, -1, -1, 95
790, 283, -1, -1, 95
791, 376, -1, -1, 126
792, 376, -1, -1, 126
793, 322, -1, -1, 108
794, 322, -1, -1, 108
795, 55, -1, -1, 19
796, 55, -1, -1, 19
797, 526, -1, -1, 176
798, 526, -1, -1, 176
799, 172, -1, -1, 58
800, 172, -1, -1, 58
801, 262, -1, -1, 88
802, 262, -1, -1, 88
803, 115, -1, -1, 39
804, 115, -1, -1, 39
805, 562, -1, -1, 188
806, 562, -1, -1, 188
807, 157, -1, -1, 53
808, 157, -1, -1, 53
809, 415, -1, -1, 139
810, 415, -1, -1, 139
811, 457, -1, -1, 153
812, 457, -1, -1, 153
813, 287, -1, -1, 96
814, 287, -1, -1, 96
815, 389, -1, -1, 130
816, 389, -1, -1, 130
817, 491, -1, -1, 164
818, 491, -1, -1, 164
819, 326, -1, -1, 109
820, 326, -1, -1, 109
821, 530, -1, -1, 177
822, 530, -1, -1, 177
823, 428, -1, -1, 143
824, 428, -1, -1, 143
825, 5, -1, -1, 2
826, 5, -1, -1, 2
827, 20, -1, -1, 7
828, 20, -1, -1, 7
829, 122, -1, -1, 41
830, 122, -1, -1, 41
831, 224, -1, -1, 75
832, 224, -1, -1, 75
833, 137, -1, -1, 46
834, 137, -1, -1, 46
835, 290, -1, -1, 97
836, 290, -1, -1, 97
837, 437, -1, -1, 146
838, 437, -1, -1, 146
839, 284, -1, -1, 95
840, 284, -1, -1, 95
841, 377, -1, -1, 126
842, 377, -1, -1, 126
843, 323, -1, -1, 108
844, 323, -1, -1, 108
845, 56, -1, -1, 19
846, 56, -1, -1, 19
847, 527, -1, -1, 176
848, 527, -1, -1, 176
849, 173, -1, -1, 58
850, 173, -1, -1, 58
851, 263, -1, -1, 88
852, 263, -1, -1, 88
853, 116, -1, -1, 39
854, 116, -1, -1, 39
855, 563, -1, -1, 188
856, 563, -1, -1, 188
857, 158, -1, -1, 53
858, 158, -1, -1, 53
859, 416, -1, -1, 139
860, 416, -1, -1, 139
861, 458, -1, -1, 153
862, 458, -1, -1, 153
863, 288, -1, -1, 96
864, 288, -1, -1, 96
865, 390, -1, -1, 130
866, 390, -1, -1, 130
867, 492, -1, -1, 164
868, 492, -1, -1, 164
869, 327, -1, -1, 109
870, 327, -1, -1, 109
871, 531, -1, -1, 177
872, 531, -1, -1, 177
873, 429, -1, -1, 143
874, 429, -1, -1, 143
875, 6, -1, -1, 2
876, 6, -1, -1, 2
877, 21, -1, -1, 7
878, 21, -1, -1, 7
879, 123, -1, -1, 41
880, 123, -1, -1, 41
881, 225, -1, -1, 75
882, 225, -1, -1, 75
883, 138, -1, -1, 46
884, 138, -1, -1, 46
885, 291, -1, -1, 97
886, 291, -1, -1, 97
887, 438, -1, -1, 146
888, 438, -1, -1, 146
889, 285, -1, -1, 95
890, 285, -1, -1, 95
891, 378, -1, -1, 126
892, 378, -1, -1, 126
893, 324, -1, -1, 108
894, 324, -1, -1, 108
895, 57, -1, -1, 19
896, 57, -1, -1, 19
897, 528, -1, -1, 176
898, 528, -1, -1, 176
899, 174, -1, -1, 58
900, 174, -1, -1, 58
901, 264, -1, -1, 88
902, 264, -1, -1, 88
903, 117, -1, -1, 39
904, 117, -1, -1, 39
905, 564, -1, -1, 188
906, 564, -1, -1, 188
907, 159, -1, -1, 53
908, 159, -1, -1, 53
909, 417, -1, -1, 139
910, 417, -1, -1, 139
911, 459, -1, -1, 153
912, 459, -1, -1, 153
913, 110, -1, -1, 37
914, 110, -1, -1, 37
915, 119, -1, -1, 40
916, 119, -1, -1, 40
917, 314, -1, -1, 105
918, 314, -1, -1, 105
919, 260, -1, -1, 87
920, 260, -1, -1, 87
921, 518, -1, -1, 173
922, 518, -1, -1, 173
923, 464, -1, -1, 155
924, 464, -1, -1, 155
925, 446, -1, -1, 149
926, 446, -1, -1, 149
927, 575, -1, -1, 192
928, 575, -1, -1, 192
929, 125, -1, -1, 42
930, 125, -1, -1, 42
931, 425, -1, -1, 142
932, 425, -1, -1, 142
933, 104, -1, -1, 35
934, 104, -1, -1, 35
935, 275, -1, -1, 92
936, 275, -1, -1, 92
937, 101, -1, -1, 34
938, 101, -1, -1, 34
939, 332, -1, -1, 111
