coverage_id,tiv
1, 10000000.000000
2, 15000000.000000
3, 20000000.000000
4, 25000000.000000
5, 10000000.000000
6, 15000000.000000
7, 20000000.000000
8, 25000000.000000
9, 10000000.000000
10, 15000000.000000
11, 20000000.000000
12, 25000000.000000
13, 10000000.000000
14, 15000000.000000
15, 20000000.000000
16, 25000000.000000
17, 10000000.000000
18, 15000000.000000
19, 20000000.000000
20, 25000000.000000
21, 10000000.000000
22, 15000000.000000
23, 20000000.000000
24, 25000000.000000
25, 10000000.000000
26, 15000000.000000
27, 20000000.000000
28, 25000000.000000
29, 10000000.000000
30, 15000000.000000
31, 20000000.000000
32, 25000000.000000
33, 10000000.000000
34, 15000000.000000
35, 20000000.000000
36, 25000000.000000
37, 10000000.000000
38, 15000000.000000
39, 20000000.000000
40, 25000000.000000
41, 10000000.000000
42, 15000000.000000
43, 20000000.000000
44, 25000000.000000
45, 10000000.000000
46, 15000000.000000
47, 20000000.000000
48, 25000000.000000
49, 10000000.000000
50, 15000000.000000
51, 20000000.000000
52, 25000000.000000
53, 10000000.000000
54, 15000000.000000
55, 20000000.000000
56, 25000000.000000
57, 10000000.000000
58, 15000000.000000
59, 20000000.000000
60, 25000000.000000
61, 10000000.000000
62, 15000000.000000
63, 20000000.000000
64, 25000000.000000
65, 10000000.000000
66, 15000000.000000
67, 20000000.000000
68, 25000000.000000
69, 10000000.000000
70, 15000000.000000
71, 20000000.000000
72, 25000000.000000
