from_agg_id,level_id,to_agg_id
1, 1, 1
2, 1, 2
3, 1, 3
4, 1, 4
5, 1, 5
6, 1, 6
7, 1, 7
8, 1, 8
9, 1, 9
10, 1, 10
11, 1, 9
12, 1, 11
13, 1, 12
14, 1, 13
15, 1, 14
16, 1, 15
17, 1, 16
18, 1, 17
19, 1, 18
20, 1, 19
21, 1, 20
22, 1, 21
23, 1, 22
24, 1, 23
25, 1, 24
26, 1, 25
27, 1, 24
28, 1, 26
29, 1, 27
30, 1, 28
31, 1, 29
32, 1, 30
33, 1, 31
34, 1, 32
35, 1, 33
36, 1, 34
37, 1, 35
38, 1, 36
39, 1, 37
40, 1, 38
41, 1, 39
42, 1, 40
43, 1, 39
44, 1, 41
45, 1, 42
46, 1, 43
47, 1, 44
48, 1, 45
49, 1, 46
50, 1, 47
51, 1, 48
52, 1, 49
53, 1, 50
54, 1, 51
55, 1, 52
56, 1, 53
57, 1, 54
58, 1, 55
59, 1, 54
60, 1, 56
61, 1, 57
62, 1, 58
63, 1, 59
64, 1, 60
