"item_id", "agg_id", "prog_id", "level_id", "policytc_id", "layer_id", "calcrule_id", "allocrule_id","deductible", "limits", "share_prop_of_lim", "deductible_prop_of_loss", "limit_prop_of_loss", "deductible_prop_of_tiv", "limit_prop_of_tiv", "deductible_prop_of_limit"
1, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 2, 1, 1, 1, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 4, 1, 1, 2, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 5, 1, 1, 3, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 7, 1, 1, 4, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 8, 1, 1, 5, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 9, 1, 1, 6, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 10, 1, 1, 7, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 1, 1, 2, 82, 1, 1, 1, 10000.000000, 1000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 11, 1, 1, 8, 1, 12, -1, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 1, 1, 3, 87, 1, 2, 0, 10000.000000, 20000000.000000, 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 1, 1, 3, 88, 2, 2, 0, 3000.000000, 7000000.000000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
