Summary_id,type, return_period, Loss_mean
1, 1, 10000.000000,8963.775391
1, 1, 5000.000000,8064.290527
1, 1, 3333.333252,7185.419922
1, 1, 2500.000000,6593.479004
1, 1, 2000.000000,6116.951172
1, 1, 1666.666626,5995.555176
1, 1, 1428.571411,5990.270020
1, 1, 1250.000000,5568.978516
1, 1, 1111.111084,4926.024414
1, 1, 1000.000000,4415.107422
1, 1, 909.090881,4167.852051
1, 1, 833.333313,3974.104736
1, 1, 769.230774,3972.743652
1, 1, 714.285706,3495.686768
1, 1, 666.666687,3436.108643
1, 1, 625.000000,2715.496582
1, 1, 588.235291,2574.619385
1, 1, 555.555542,2448.784424
1, 1, 526.315796,1885.109009
1, 1, 500.000000,1877.721802
1, 1, 476.190491,1875.433716
1, 1, 454.545441,1832.971924
1, 1, 434.782623,1682.382202
1, 1, 416.666656,1607.205811
1, 1, 400.000000,1597.756714
1, 1, 384.615387,1350.044922
1, 1, 370.370361,1271.897217
1, 1, 357.142853,1212.215088
1, 1, 344.827576,1121.107056
1, 1, 333.333344,917.601013
1, 1, 322.580658,886.640076
1, 1, 312.500000,886.246887
1, 1, 303.030304,857.649963
1, 1, 294.117645,839.038818
1, 1, 285.714294,838.088989
1, 1, 277.777771,836.665161
1, 1, 270.270264,829.766357
1, 1, 263.157898,801.359802
1, 1, 256.410248,800.851501
1, 1, 250.000000,554.039368
1, 1, 243.902435,474.783417
1, 1, 238.095245,465.355377
1, 1, 232.558136,461.030579
1, 1, 227.272720,444.900604
1, 1, 222.222229,336.920532
1, 1, 217.391312,311.913300
1, 1, 212.765961,267.354492
1, 1, 208.333328,264.146484
1, 1, 204.081635,113.147469
1, 2, 10000.000000,13263.393555
1, 2, 5000.000000,12746.145508
1, 2, 3333.333252,12708.947266
1, 2, 2500.000000,10680.865234
1, 2, 2000.000000,10260.024414
1, 2, 1666.666626,10109.603516
1, 2, 1428.571411,9643.414062
1, 2, 1250.000000,9630.679688
1, 2, 1111.111084,9502.911133
1, 2, 1000.000000,9120.324219
1, 2, 909.090881,8915.917969
1, 2, 833.333313,8853.197266
1, 2, 769.230774,8719.966797
1, 2, 714.285706,8381.162109
1, 2, 666.666687,7512.975098
1, 2, 625.000000,6900.205566
1, 2, 588.235291,6807.717285
1, 2, 555.555542,6724.786621
1, 2, 526.315796,6515.325195
1, 2, 500.000000,6439.619629
1, 2, 476.190491,5593.868652
1, 2, 454.545441,5555.002930
1, 2, 434.782623,5495.012695
1, 2, 416.666656,5276.791016
1, 2, 400.000000,5145.374512
1, 2, 384.615387,5072.358887
1, 2, 370.370361,4857.490723
1, 2, 357.142853,4507.375000
1, 2, 344.827576,4340.723633
1, 2, 333.333344,4186.564941
1, 2, 322.580658,4170.579102
1, 2, 312.500000,4069.941406
1, 2, 303.030304,3995.544434
1, 2, 294.117645,3896.885010
1, 2, 285.714294,3826.922852
1, 2, 277.777771,3810.435547
1, 2, 270.270264,3409.660889
1, 2, 263.157898,3272.614502
1, 2, 256.410248,3184.507812
1, 2, 250.000000,3146.952637
1, 2, 243.902435,3100.250000
1, 2, 238.095245,3039.326660
1, 2, 232.558136,3035.472168
1, 2, 227.272720,3034.232666
1, 2, 222.222229,3018.458984
1, 2, 217.391312,3009.832031
1, 2, 212.765961,2974.600098
1, 2, 208.333328,2882.901611
1, 2, 204.081635,2878.180176
1, 2, 200.000000,2855.716553
1, 2, 196.078430,2850.006836
1, 2, 192.307693,2765.679443
1, 2, 188.679245,2727.000488
1, 2, 185.185181,2610.885254
1, 2, 181.818176,2578.641602
1, 2, 178.571426,2568.604980
1, 2, 175.438599,2516.745117
1, 2, 172.413788,2455.895996
1, 2, 169.491531,2387.166504
1, 2, 166.666672,2362.725098
1, 2, 163.934433,2344.297607
1, 2, 161.290329,2300.164062
1, 2, 158.730164,2215.747559
1, 2, 156.250000,2214.248047
1, 2, 153.846161,2189.343262
1, 2, 151.515152,2176.686279
1, 2, 149.253738,2172.970947
1, 2, 147.058823,2168.809570
1, 2, 144.927536,2160.383789
1, 2, 142.857147,2111.696533
1, 2, 140.845078,2085.527100
1, 2, 138.888885,2085.050781
1, 2, 136.986298,2075.882080
1, 2, 135.135132,2015.286011
1, 2, 133.333328,1851.318237
1, 2, 131.578949,1731.318237
1, 2, 129.870132,1662.796875
1, 2, 128.205124,1659.636597
1, 2, 126.582275,1654.064819
1, 2, 125.000000,1578.731689
1, 2, 123.456787,1574.871216
1, 2, 121.951218,1525.548828
1, 2, 120.481926,1524.542480
1, 2, 119.047623,1523.903687
1, 2, 117.647057,1515.324707
1, 2, 116.279068,1498.600830
1, 2, 114.942528,1469.455566
1, 2, 113.636360,1428.889648
1, 2, 112.359550,1416.193237
1, 2, 111.111115,1397.364258
1, 2, 109.890106,1394.923462
1, 2, 108.695656,1390.739624
1, 2, 107.526878,1302.000366
1, 2, 106.382980,1265.499390
1, 2, 105.263161,1260.797974
1, 2, 104.166664,1237.231934
1, 2, 103.092781,1223.501099
1, 2, 102.040817,1191.738403
1, 2, 101.010101,1180.893066
1, 2, 100.000000,1167.305664
1, 2, 99.009903,1162.377930
1, 2, 98.039215,1139.180420
1, 2, 97.087379,1105.721069
1, 2, 96.153847,1081.999756
1, 2, 95.238098,1073.036255
1, 2, 94.339622,1054.799805
1, 2, 93.457947,1045.505981
1, 2, 92.592590,1032.116699
1, 2, 91.743118,1023.979919
1, 2, 90.909088,997.309082
1, 2, 90.090088,978.389893
1, 2, 89.285713,957.160339
1, 2, 88.495575,954.140198
1, 2, 87.719299,946.117310
1, 2, 86.956520,932.989868
1, 2, 86.206894,920.445251
1, 2, 85.470085,895.323120
1, 2, 84.745766,878.188110
1, 2, 84.033615,877.524658
1, 2, 83.333336,860.586243
1, 2, 82.644630,858.301575
1, 2, 81.967216,844.670898
1, 2, 81.300812,817.921570
1, 2, 80.645164,813.802185
1, 2, 80.000000,804.843384
1, 2, 79.365082,785.751465
1, 2, 78.740158,778.602051
1, 2, 78.125000,756.513611
1, 2, 77.519379,700.731201
1, 2, 76.923080,684.771118
1, 2, 76.335876,662.740234
1, 2, 75.757576,652.879456
1, 2, 75.187973,629.661499
1, 2, 74.626869,615.894775
1, 2, 74.074074,566.111145
1, 2, 73.529411,538.059570
1, 2, 72.992699,537.430298
1, 2, 72.463768,528.614014
1, 2, 71.942444,522.794373
1, 2, 71.428574,500.312103
1, 2, 70.921989,493.480530
1, 2, 70.422539,491.934113
1, 2, 69.930069,456.646973
1, 2, 69.444443,456.118927
1, 2, 68.965515,430.051483
1, 2, 68.493149,415.895264
1, 2, 68.027214,401.396667
1, 2, 67.567566,363.081390
1, 2, 67.114098,341.264404
1, 2, 66.666664,318.275970
1, 2, 66.225166,286.522369
1, 2, 65.789474,284.368195
1, 2, 65.359474,280.169403
1, 2, 64.935066,269.781342
1, 2, 64.516129,257.106812
1, 2, 64.102562,253.141922
1, 2, 63.694267,248.923035
1, 2, 63.291138,201.151901
1, 2, 62.893082,172.035080
1, 2, 62.500000,152.734116
1, 2, 62.111801,132.480545
1, 2, 61.728394,69.163216
1, 2, 61.349693,60.342983
1, 2, 60.975609,56.416836
1, 2, 60.606060,55.794270
1, 2, 60.240963,41.000557
1, 2, 59.880241,33.296017
1, 2, 59.523811,30.921570
1, 2, 59.171597,30.224298
1, 2, 58.823528,30.059731
1, 2, 58.479530,29.515074
1, 2, 58.139534,29.153135
1, 2, 57.803467,26.544096
1, 2, 57.471264,25.326752
1, 2, 57.142857,24.489628
1, 2, 56.818180,22.917217
1, 2, 56.497173,21.315275
1, 2, 56.179775,15.680643
1, 2, 55.865921,12.981973
1, 2, 55.555557,11.780444
1, 2, 55.248619,6.516024
1, 2, 54.945053,5.878958
2, 1, 10000.000000,16689.625000
2, 1, 5000.000000,15190.483398
2, 1, 3333.333252,13725.699219
2, 1, 2500.000000,12739.130859
2, 1, 2000.000000,11944.917969
2, 1, 1666.666626,11742.591797
2, 1, 1428.571411,11733.783203
2, 1, 1250.000000,11031.630859
2, 1, 1111.111084,9960.040039
2, 1, 1000.000000,9108.511719
2, 1, 909.090881,8696.419922
2, 1, 833.333313,8373.507812
2, 1, 769.230774,8371.239258
2, 1, 714.285706,7576.144531
2, 1, 666.666687,7476.847656
2, 1, 625.000000,6275.827637
2, 1, 588.235291,6041.032227
2, 1, 555.555542,5831.307129
2, 1, 526.315796,4891.848145
2, 1, 500.000000,4879.536133
2, 1, 476.190491,4875.722656
2, 1, 454.545441,4804.953125
2, 1, 434.782623,4553.970215
2, 1, 416.666656,4428.676270
2, 1, 400.000000,4412.927734
2, 1, 384.615387,4000.074707
2, 1, 370.370361,3869.828613
2, 1, 357.142853,3770.358398
2, 1, 344.827576,3618.511719
2, 1, 333.333344,3279.334961
2, 1, 322.580658,3227.733398
2, 1, 312.500000,3227.078125
2, 1, 303.030304,3179.416504
2, 1, 294.117645,3148.397949
2, 1, 285.714294,3146.814941
2, 1, 277.777771,3144.441895
2, 1, 270.270264,3132.943848
2, 1, 263.157898,3085.599609
2, 1, 256.410248,3084.752441
2, 1, 250.000000,2673.398926
2, 1, 243.902435,2541.305664
2, 1, 238.095245,2525.592285
2, 1, 232.558136,2518.384277
2, 1, 227.272720,2491.500977
2, 1, 222.222229,2311.534180
2, 1, 217.391312,2269.855469
2, 1, 212.765961,2195.590820
2, 1, 208.333328,2190.244141
2, 1, 204.081635,1938.579102
2, 1, 200.000000,1737.546875
2, 1, 196.078430,1625.535156
2, 1, 192.307693,1591.876953
2, 1, 188.679245,1112.741699
2, 1, 185.185181,1009.199219
2, 1, 181.818176,988.682617
2, 1, 178.571426,985.817871
2, 1, 175.438599,840.952148
2, 1, 172.413788,659.202637
2, 1, 169.491531,628.976562
2, 1, 166.666672,625.915527
2, 1, 163.934433,485.441406
2, 1, 161.290329,401.280762
2, 1, 158.730164,319.648438
2, 1, 156.250000,181.236328
2, 1, 153.846161,144.694336
2, 1, 151.515152,90.427734
2, 1, 149.253738,59.168945
2, 2, 10000.000000,23807.250000
2, 2, 5000.000000,22980.173828
2, 2, 3333.333252,22919.013672
2, 2, 2500.000000,19511.691406
2, 2, 2000.000000,18749.593750
2, 2, 1666.666626,18566.205078
2, 2, 1428.571411,17751.349609
2, 2, 1250.000000,17709.962891
2, 2, 1111.111084,17518.191406
2, 2, 1000.000000,16885.654297
2, 2, 909.090881,16590.843750
2, 2, 833.333313,16411.935547
2, 2, 769.230774,16164.860352
2, 2, 714.285706,15595.861328
2, 2, 666.666687,14161.857422
2, 2, 625.000000,13014.104492
2, 2, 588.235291,12945.750977
2, 2, 555.555542,12789.113281
2, 2, 526.315796,12373.414062
2, 2, 500.000000,12371.291016
2, 2, 476.190491,10890.615234
2, 2, 454.545441,10833.090820
2, 2, 434.782623,10670.456055
2, 2, 416.666656,10197.752930
2, 2, 400.000000,10121.409180
2, 2, 384.615387,9921.632812
2, 2, 370.370361,9628.439453
2, 2, 357.142853,9032.450195
2, 2, 344.827576,8722.638672
2, 2, 333.333344,8453.756836
2, 2, 322.580658,8190.714844
2, 2, 312.500000,8181.160645
2, 2, 303.030304,8141.998047
2, 2, 294.117645,7920.376465
2, 2, 285.714294,7781.925293
2, 2, 277.777771,7624.569824
2, 2, 270.270264,7211.879883
2, 2, 263.157898,6764.568359
2, 2, 256.410248,6540.229492
2, 2, 250.000000,6444.811035
2, 2, 243.902435,6390.635742
2, 2, 238.095245,6341.850098
2, 2, 232.558136,6341.685059
2, 2, 227.272720,6220.364746
2, 2, 222.222229,6185.011719
2, 2, 217.391312,6171.618164
2, 2, 212.765961,6161.966309
2, 2, 208.333328,6101.537598
2, 2, 204.081635,6070.703613
2, 2, 200.000000,6031.205078
2, 2, 196.078430,5948.629395
2, 2, 192.307693,5647.810059
2, 2, 188.679245,5612.139160
2, 2, 185.185181,5510.761230
2, 2, 181.818176,5476.815430
2, 2, 178.571426,5412.013672
2, 2, 175.438599,5236.283203
2, 2, 172.413788,5097.537109
2, 2, 169.491531,5096.608398
2, 2, 166.666672,5093.166016
2, 2, 163.934433,5051.437500
2, 2, 161.290329,4826.228516
2, 2, 158.730164,4758.969238
2, 2, 156.250000,4721.706055
2, 2, 153.846161,4712.325195
2, 2, 151.515152,4691.820801
2, 2, 149.253738,4680.078125
2, 2, 147.058823,4658.594238
2, 2, 144.927536,4529.702148
2, 2, 142.857147,4488.136719
2, 2, 140.845078,4448.516113
2, 2, 138.888885,4432.624512
2, 2, 136.986298,4314.333984
2, 2, 135.135132,4297.957031
2, 2, 133.333328,3918.692139
2, 2, 131.578949,3882.588135
2, 2, 129.870132,3793.479248
2, 2, 128.205124,3640.059326
2, 2, 126.582275,3612.813965
2, 2, 125.000000,3545.647217
2, 2, 123.456787,3518.943848
2, 2, 121.951218,3428.728516
2, 2, 120.481926,3355.430176
2, 2, 119.047623,3338.911133
2, 2, 117.647057,3255.709229
2, 2, 116.279068,3253.668213
2, 2, 114.942528,3251.734619
2, 2, 113.636360,3241.975098
2, 2, 112.359550,3234.430908
2, 2, 111.111115,3213.028809
2, 2, 109.890106,3159.773682
2, 2, 108.695656,3087.118164
2, 2, 107.526878,3080.864502
2, 2, 106.382980,3078.072021
2, 2, 105.263161,2951.172852
2, 2, 104.166664,2950.476074
2, 2, 103.092781,2860.958008
2, 2, 102.040817,2836.391602
2, 2, 101.010101,2831.590820
2, 2, 100.000000,2823.065430
2, 2, 99.009903,2804.442871
2, 2, 98.039215,2758.814453
2, 2, 97.087379,2649.325684
2, 2, 96.153847,2645.166992
2, 2, 95.238098,2566.232422
2, 2, 94.339622,2565.875000
2, 2, 93.457947,2547.823242
2, 2, 92.592590,2520.729736
2, 2, 91.743118,2430.823242
2, 2, 90.909088,2365.335449
2, 2, 90.090088,2348.544189
2, 2, 89.285713,2329.084717
2, 2, 88.495575,2302.062988
2, 2, 87.719299,2271.782227
2, 2, 86.956520,2170.982666
2, 2, 86.206894,2170.341064
2, 2, 85.470085,2168.150391
2, 2, 84.745766,2141.562988
2, 2, 84.033615,2122.183350
2, 2, 83.333336,2063.478516
2, 2, 82.644630,2041.261108
2, 2, 81.967216,2030.064575
2, 2, 81.300812,2008.049194
2, 2, 80.645164,1993.957031
2, 2, 80.000000,1974.606689
2, 2, 79.365082,1967.705078
2, 2, 78.740158,1899.440674
2, 2, 78.125000,1849.446411
2, 2, 77.519379,1691.309570
2, 2, 76.923080,1592.568726
2, 2, 76.335876,1536.224121
2, 2, 75.757576,1520.442871
2, 2, 75.187973,1502.195312
2, 2, 74.626869,1486.285034
2, 2, 74.074074,1448.493774
2, 2, 73.529411,1364.342896
2, 2, 72.992699,1352.469360
2, 2, 72.463768,1332.250732
2, 2, 71.942444,1289.186768
2, 2, 71.428574,1287.131348
2, 2, 70.921989,1278.958984
2, 2, 70.422539,1221.759888
2, 2, 69.930069,1096.491211
2, 2, 69.444443,1077.231323
2, 2, 68.965515,1047.494507
2, 2, 68.493149,971.299316
2, 2, 68.027214,965.717102
2, 2, 67.567566,894.643738
2, 2, 67.114098,858.039917
2, 2, 66.666664,844.172791
2, 2, 66.225166,770.061157
2, 2, 65.789474,752.517395
2, 2, 65.359474,703.994446
2, 2, 64.935066,674.705627
2, 2, 64.516129,606.354553
2, 2, 64.102562,565.459900
2, 2, 63.694267,546.832642
2, 2, 63.291138,531.957764
2, 2, 62.893082,456.903198
2, 2, 62.500000,435.673065
2, 2, 62.111801,360.126617
2, 2, 61.728394,354.216705
2, 2, 61.349693,333.133423
2, 2, 60.975609,324.556824
2, 2, 60.606060,282.247681
2, 2, 60.240963,208.434052
2, 2, 59.880241,195.614563
2, 2, 59.523811,187.425339
2, 2, 59.171597,186.748718
2, 2, 58.823528,129.081406
2, 2, 58.479530,128.712570
2, 2, 58.139534,127.010765
2, 2, 57.803467,118.500694
2, 2, 57.471264,113.663689
2, 2, 57.142857,106.660019
2, 2, 56.818180,90.741165
2, 2, 56.497173,87.826508
2, 2, 56.179775,79.209366
2, 2, 55.865921,77.165619
2, 2, 55.555557,58.089539
2, 2, 55.248619,38.919342
2, 2, 54.945053,28.270058
2, 2, 54.644810,17.740576
2, 2, 54.347828,17.124540
2, 2, 54.054054,14.827471
2, 2, 53.763439,14.507910
2, 2, 53.475937,6.474758
2, 2, 53.191490,4.231236
2, 2, 52.910053,3.041843
2, 2, 52.631580,2.378711
2, 2, 52.356022,2.233521
2, 2, 52.083332,1.558115
2, 2, 51.813473,1.308374
2, 2, 51.546391,0.912871
2, 2, 51.282051,0.163477
