summary_id,type,return_period,loss
1,1,10000.000000,8963.787109
1,1,5000.000000,8064.294922
1,1,3333.333252,7185.431641
1,1,2500.000000,6593.483398
1,1,2000.000000,6116.950195
1,1,1666.666626,5995.550781
1,1,1428.571411,5990.278809
1,1,1250.000000,5568.980957
1,1,1111.111084,4926.027832
1,1,1000.000000,4415.094238
1,1,909.090881,4167.851074
1,1,833.333313,3974.103027
1,1,769.230774,3972.744873
1,1,714.285706,3495.692627
1,1,666.666687,3436.107666
1,1,625.000000,2975.749512
1,1,588.235291,2715.494873
1,1,555.555542,2574.630371
1,1,526.315796,2448.787598
1,1,500.000000,1885.123657
1,1,476.190491,1877.724365
1,1,454.545441,1875.428711
1,1,434.782623,1832.970825
1,1,416.666656,1682.380981
1,1,400.000000,1607.207886
1,1,384.615387,1350.049316
1,1,370.370361,1271.894531
1,1,357.142853,1212.204834
1,1,344.827576,1121.105347
1,1,333.333344,917.605713
1,1,322.580658,886.636536
1,1,312.500000,886.245422
1,1,303.030304,857.632629
1,1,294.117645,839.041138
1,1,285.714294,838.096924
1,1,277.777771,836.666626
1,1,270.270264,829.764282
1,1,263.157898,801.362732
1,1,256.410248,800.852966
1,1,250.000000,554.039978
1,1,243.902435,474.783722
1,1,238.095245,465.354218
1,1,232.558136,461.030579
1,1,227.272720,444.905884
1,1,222.222229,336.919922
1,1,217.391312,311.905090
1,1,212.765961,267.358032
1,1,208.333328,264.146790
1,1,204.081635,113.148048
2,1,10000.000000,16689.644531
2,1,5000.000000,15190.491211
2,1,3333.333252,13725.718750
2,1,2500.000000,12739.138672
2,1,2000.000000,11944.916992
2,1,1666.666626,11742.583984
2,1,1428.571411,11733.797852
2,1,1250.000000,11031.634766
2,1,1111.111084,9960.045898
2,1,1000.000000,9108.490234
2,1,909.090881,8696.417969
2,1,833.333313,8459.582031
2,1,769.230774,8373.504883
2,1,714.285706,8371.241211
2,1,666.666687,7576.154297
2,1,625.000000,7476.845703
2,1,588.235291,6275.824707
2,1,555.555542,6041.050293
2,1,526.315796,5831.312500
2,1,500.000000,4891.872559
2,1,476.190491,4879.540527
2,1,454.545441,4875.714355
2,1,434.782623,4804.951172
2,1,416.666656,4553.968262
2,1,400.000000,4428.679688
2,1,384.615387,4000.082031
2,1,370.370361,3869.824219
2,1,357.142853,3770.341309
2,1,344.827576,3618.508789
2,1,333.333344,3279.342773
2,1,322.580658,3227.727539
2,1,312.500000,3227.075684
2,1,303.030304,3179.387695
2,1,294.117645,3148.401855
2,1,285.714294,3146.828125
2,1,277.777771,3144.444336
2,1,270.270264,3132.940430
2,1,263.157898,3085.604492
2,1,256.410248,3084.754883
2,1,250.000000,2673.399902
2,1,243.902435,2541.306152
2,1,238.095245,2525.590332
2,1,232.558136,2518.384277
2,1,227.272720,2491.509766
2,1,222.222229,2311.533203
2,1,217.391312,2269.841797
2,1,212.765961,2195.596680
2,1,208.333328,2190.244629
2,1,204.081635,1938.580078
2,1,200.000000,1737.546387
2,1,196.078430,1625.538086
2,1,192.307693,1591.875000
2,1,188.679245,1112.736816
2,1,185.185181,1009.202637
2,1,181.818176,988.677734
2,1,178.571426,985.821777
2,1,175.438599,840.941650
2,1,172.413788,659.208008
2,1,169.491531,628.968750
2,1,166.666672,625.917725
2,1,163.934433,485.439941
2,1,161.290329,401.277832
2,1,158.730164,319.652588
2,1,156.250000,181.250000
2,1,153.846161,144.683594
2,1,151.515152,90.441406
2,1,149.253738,59.170898
1,2,10000.000000,33848.058594
1,2,5000.000000,26463.974609
1,2,3333.333252,22119.644531
1,2,2500.000000,18759.744141
1,2,2000.000000,16915.599609
1,2,1666.666626,15578.275391
1,2,1428.571411,14436.817383
1,2,1250.000000,13434.742188
1,2,1111.111084,12592.539062
1,2,1000.000000,11874.496094
1,2,909.090881,11259.527344
1,2,833.333313,10656.452148
1,2,769.230774,10082.304688
1,2,714.285706,9524.688477
1,2,666.666687,9022.246094
1,2,625.000000,8660.004883
1,2,588.235291,8252.414062
1,2,555.555542,7858.693359
1,2,526.315796,7545.509277
1,2,500.000000,7279.993652
1,2,476.190491,6990.399902
1,2,454.545441,6766.988281
1,2,434.782623,6487.686035
1,2,416.666656,6233.041016
1,2,400.000000,5974.931152
1,2,384.615387,5782.813965
1,2,370.370361,5576.118164
1,2,357.142853,5357.439941
1,2,344.827576,5178.251953
1,2,333.333344,4953.146484
1,2,322.580658,4772.586914
1,2,312.500000,4617.543945
1,2,303.030304,4461.041992
1,2,294.117645,4277.586426
1,2,285.714294,4153.023926
1,2,277.777771,4001.991455
1,2,270.270264,3850.830322
1,2,263.157898,3707.038330
1,2,256.410248,3586.174805
1,2,250.000000,3482.167236
1,2,243.902435,3368.470947
1,2,238.095245,3265.391602
1,2,232.558136,3146.418701
1,2,227.272720,3041.755859
1,2,222.222229,2905.817383
1,2,217.391312,2787.264404
1,2,212.765961,2680.888672
1,2,208.333328,2562.757568
1,2,204.081635,2443.761963
1,2,200.000000,2329.390381
1,2,196.078430,2244.790527
1,2,192.307693,2144.180908
1,2,188.679245,2038.876709
1,2,185.185181,1938.942505
1,2,181.818176,1868.463135
1,2,178.571426,1781.697510
1,2,175.438599,1700.377075
1,2,172.413788,1616.161255
1,2,169.491531,1529.915161
1,2,166.666672,1452.557617
1,2,163.934433,1356.225098
1,2,161.290329,1277.031250
1,2,158.730164,1204.342041
1,2,156.250000,1121.205444
1,2,153.846161,1041.783936
1,2,151.515152,963.662659
1,2,149.253738,894.485168
1,2,147.058823,823.979004
1,2,144.927536,749.715881
1,2,142.857147,675.603455
1,2,140.845078,611.582947
1,2,138.888885,535.765808
1,2,136.986298,474.264526
1,2,135.135132,404.286987
1,2,133.333328,344.176910
1,2,131.578949,290.112213
1,2,129.870132,241.703308
1,2,128.205124,198.837326
1,2,126.582275,156.195877
1,2,125.000000,126.632843
1,2,123.456787,99.943420
1,2,121.951218,75.160019
1,2,120.481926,58.123833
1,2,119.047623,47.918617
1,2,117.647057,31.597397
1,2,116.279068,23.907408
1,2,114.942528,15.323930
1,2,113.636360,6.751178
1,2,112.359550,3.227713
1,2,111.111115,1.331215
1,2,109.890106,0.306724
1,2,108.695656,0.273727
2,2,10000.000000,58295.660156
2,2,5000.000000,45913.656250
2,2,3333.333252,38697.691406
2,2,2500.000000,33105.433594
2,2,2000.000000,30016.019531
2,2,1666.666626,27841.216797
2,2,1428.571411,25832.792969
2,2,1250.000000,24155.511719
2,2,1111.111084,22749.265625
2,2,1000.000000,21628.042969
2,2,909.090881,20554.585938
2,2,833.333313,19544.089844
2,2,769.230774,18562.414062
2,2,714.285706,17636.351562
2,2,666.666687,16850.400391
2,2,625.000000,16213.087891
2,2,588.235291,15547.647461
2,2,555.555542,14870.620117
2,2,526.315796,14339.008789
2,2,500.000000,13894.633789
2,2,476.190491,13424.241211
2,2,454.545441,13046.190430
2,2,434.782623,12602.188477
2,2,416.666656,12165.191406
2,2,400.000000,11752.443359
2,2,384.615387,11428.340820
2,2,370.370361,11075.706055
2,2,357.142853,10703.451172
2,2,344.827576,10409.978516
2,2,333.333344,10031.404297
2,2,322.580658,9710.573242
2,2,312.500000,9461.960938
2,2,303.030304,9194.580078
2,2,294.117645,8906.224609
2,2,285.714294,8691.821289
2,2,277.777771,8441.034180
2,2,270.270264,8196.691406
2,2,263.157898,7953.315430
2,2,256.410248,7753.517090
2,2,250.000000,7579.062988
2,2,243.902435,7376.985840
2,2,238.095245,7202.931641
2,2,232.558136,7000.116211
2,2,227.272720,6833.143555
2,2,222.222229,6594.633789
2,2,217.391312,6400.212402
2,2,212.765961,6222.795410
2,2,208.333328,6023.063965
2,2,204.081635,5829.033691
2,2,200.000000,5638.207031
2,2,196.078430,5492.395020
2,2,192.307693,5327.011719
2,2,188.679245,5152.829590
2,2,185.185181,4996.239746
2,2,181.818176,4871.339844
2,2,178.571426,4725.830078
2,2,175.438599,4590.772461
2,2,172.413788,4459.778320
2,2,169.491531,4314.146973
2,2,166.666672,4176.183594
2,2,163.934433,4018.167480
2,2,161.290329,3890.811523
2,2,158.730164,3768.705322
2,2,156.250000,3621.823730
2,2,153.846161,3490.377930
2,2,151.515152,3356.970215
2,2,149.253738,3237.425293
2,2,147.058823,3118.504150
2,2,144.927536,2994.618164
2,2,142.857147,2871.012451
2,2,140.845078,2757.683838
2,2,138.888885,2621.167236
2,2,136.986298,2509.516602
2,2,135.135132,2384.877441
2,2,133.333328,2268.312988
2,2,131.578949,2167.931152
2,2,129.870132,2045.830566
2,2,128.205124,1940.648804
2,2,126.582275,1830.241089
2,2,125.000000,1739.587769
2,2,123.456787,1634.453247
2,2,121.951218,1535.810913
2,2,120.481926,1442.222656
2,2,119.047623,1367.497559
2,2,117.647057,1254.826660
2,2,116.279068,1154.737671
2,2,114.942528,1063.307251
2,2,113.636360,940.469910
2,2,112.359550,853.959290
2,2,111.111115,770.373108
2,2,109.890106,682.246582
2,2,108.695656,604.145020
2,2,107.526878,526.015991
2,2,106.382980,450.647583
2,2,105.263161,381.222137
2,2,104.166664,329.468933
2,2,103.092781,274.977203
2,2,102.040817,224.258362
2,2,101.010101,179.305389
2,2,100.000000,140.023468
2,2,99.009903,109.826279
2,2,98.039215,82.133827
2,2,97.087379,64.105377
2,2,96.153847,49.396313
2,2,95.238098,29.762732
2,2,94.339622,18.168211
2,2,93.457947,11.883697
2,2,92.592590,8.378274
2,2,91.743118,3.148723
2,2,90.909088,0.820967
2,2,90.090088,0.682839
2,2,89.285713,0.446182
