summary_id,type,return_period,loss
1,1,10000.000000,8963.787109
1,1,5000.000000,8064.294922
1,1,3333.333252,7185.431641
1,1,2500.000000,6593.483398
1,1,2000.000000,6116.950195
1,1,1666.666626,5995.550781
1,1,1428.571411,5990.278809
1,1,1250.000000,5568.980957
1,1,1111.111084,4926.027832
1,1,1000.000000,4415.094238
1,1,909.090881,4167.851074
1,1,833.333313,3974.103027
1,1,769.230774,3972.744873
1,1,714.285706,3495.692627
1,1,666.666687,3436.107666
1,1,625.000000,2715.494873
1,1,588.235291,2574.630371
1,1,555.555542,2448.787598
1,1,526.315796,1885.123657
1,1,500.000000,1877.724365
1,1,476.190491,1875.428711
1,1,454.545441,1832.970825
1,1,434.782623,1682.380981
1,1,416.666656,1607.207886
1,1,400.000000,1597.755005
1,1,384.615387,1350.049316
1,1,370.370361,1271.894531
1,1,357.142853,1212.204834
1,1,344.827576,1121.105347
1,1,333.333344,917.605713
1,1,322.580658,886.636536
1,1,312.500000,886.245422
1,1,303.030304,857.632629
1,1,294.117645,839.041138
1,1,285.714294,838.096924
1,1,277.777771,836.666626
1,1,270.270264,829.764282
1,1,263.157898,801.362732
1,1,256.410248,800.852966
1,1,250.000000,554.039978
1,1,243.902435,474.783722
1,1,238.095245,465.354218
1,1,232.558136,461.030579
1,1,227.272720,444.905884
1,1,222.222229,336.919922
1,1,217.391312,311.905090
1,1,212.765961,267.358032
1,1,208.333328,264.146790
1,1,204.081635,113.148048
2,1,10000.000000,16689.644531
2,1,5000.000000,15190.491211
2,1,3333.333252,13725.718750
2,1,2500.000000,12739.138672
2,1,2000.000000,11944.916992
2,1,1666.666626,11742.583984
2,1,1428.571411,11733.797852
2,1,1250.000000,11031.634766
2,1,1111.111084,9960.045898
2,1,1000.000000,9108.490234
2,1,909.090881,8696.417969
2,1,833.333313,8373.504883
2,1,769.230774,8371.241211
2,1,714.285706,7576.154297
2,1,666.666687,7476.845703
2,1,625.000000,6275.824707
2,1,588.235291,6041.050293
2,1,555.555542,5831.312500
2,1,526.315796,4891.872559
2,1,500.000000,4879.540527
2,1,476.190491,4875.714355
2,1,454.545441,4804.951172
2,1,434.782623,4553.968262
2,1,416.666656,4428.679688
2,1,400.000000,4412.924805
2,1,384.615387,4000.082031
2,1,370.370361,3869.824219
2,1,357.142853,3770.341309
2,1,344.827576,3618.508789
2,1,333.333344,3279.342773
2,1,322.580658,3227.727539
2,1,312.500000,3227.075684
2,1,303.030304,3179.387695
2,1,294.117645,3148.401855
2,1,285.714294,3146.828125
2,1,277.777771,3144.444336
2,1,270.270264,3132.940430
2,1,263.157898,3085.604492
2,1,256.410248,3084.754883
2,1,250.000000,2673.399902
2,1,243.902435,2541.306152
2,1,238.095245,2525.590332
2,1,232.558136,2518.384277
2,1,227.272720,2491.509766
2,1,222.222229,2311.533203
2,1,217.391312,2269.841797
2,1,212.765961,2195.596680
2,1,208.333328,2190.244629
2,1,204.081635,1938.580078
2,1,200.000000,1737.546387
2,1,196.078430,1625.538086
2,1,192.307693,1591.875000
2,1,188.679245,1112.736816
2,1,185.185181,1009.202637
2,1,181.818176,988.677734
2,1,178.571426,985.821777
2,1,175.438599,840.941650
2,1,172.413788,659.208008
2,1,169.491531,628.968750
2,1,166.666672,625.917725
2,1,163.934433,485.439941
2,1,161.290329,401.277832
2,1,158.730164,319.652588
2,1,156.250000,181.250000
2,1,153.846161,144.683594
2,1,151.515152,90.441406
2,1,149.253738,59.170898
1,2,10000.000000,33735.628906
1,2,5000.000000,26291.130859
1,2,3333.333252,21981.250000
1,2,2500.000000,18647.962891
1,2,2000.000000,16795.757812
1,2,1666.666626,15383.619141
1,2,1428.571411,14291.250000
1,2,1250.000000,13284.342773
1,2,1111.111084,12536.050781
1,2,1000.000000,11810.717773
1,2,909.090881,11183.087891
1,2,833.333313,10569.300781
1,2,769.230774,10020.720703
1,2,714.285706,9490.788086
1,2,666.666687,8971.207031
1,2,625.000000,8630.550781
1,2,588.235291,8194.951172
1,2,555.555542,7804.779785
1,2,526.315796,7519.109375
1,2,500.000000,7243.425781
1,2,476.190491,6970.711914
1,2,454.545441,6726.449219
1,2,434.782623,6463.891113
1,2,416.666656,6213.395020
1,2,400.000000,5942.365723
1,2,384.615387,5753.721191
1,2,370.370361,5548.663574
1,2,357.142853,5339.731445
1,2,344.827576,5160.117676
1,2,333.333344,4922.709473
1,2,322.580658,4752.454102
1,2,312.500000,4597.641602
1,2,303.030304,4454.365723
1,2,294.117645,4269.729004
1,2,285.714294,4139.613281
1,2,277.777771,3986.932617
1,2,270.270264,3841.506348
1,2,263.157898,3692.891357
1,2,256.410248,3575.455078
1,2,250.000000,3471.933105
1,2,243.902435,3356.378418
1,2,238.095245,3258.630371
1,2,232.558136,3137.879395
1,2,227.272720,3033.252441
1,2,222.222229,2894.398438
1,2,217.391312,2779.732910
1,2,212.765961,2678.494141
1,2,208.333328,2560.547852
1,2,204.081635,2440.756104
1,2,200.000000,2329.302734
1,2,196.078430,2244.392578
1,2,192.307693,2144.180908
1,2,188.679245,2038.876709
1,2,185.185181,1938.942505
1,2,181.818176,1868.463135
1,2,178.571426,1781.697510
1,2,175.438599,1700.377075
1,2,172.413788,1616.161255
1,2,169.491531,1528.645508
1,2,166.666672,1452.147705
1,2,163.934433,1355.589111
1,2,161.290329,1276.381958
1,2,158.730164,1201.411865
1,2,156.250000,1121.205444
1,2,153.846161,1041.783936
1,2,151.515152,963.662659
1,2,149.253738,894.224060
1,2,147.058823,823.251892
1,2,144.927536,748.306152
1,2,142.857147,674.560364
1,2,140.845078,609.419983
1,2,138.888885,534.672485
1,2,136.986298,473.556946
1,2,135.135132,403.329620
1,2,133.333328,343.470428
1,2,131.578949,288.260864
1,2,129.870132,241.703308
1,2,128.205124,198.837326
1,2,126.582275,156.195877
1,2,125.000000,126.632843
1,2,123.456787,99.943420
1,2,121.951218,75.160019
1,2,120.481926,58.123833
1,2,119.047623,47.469463
1,2,117.647057,31.597397
1,2,116.279068,23.907408
1,2,114.942528,15.323930
1,2,113.636360,6.751178
1,2,112.359550,3.227713
1,2,111.111115,1.331215
1,2,109.890106,0.306724
1,2,108.695656,0.273727
2,2,10000.000000,57976.050781
2,2,5000.000000,45568.546875
2,2,3333.333252,38385.410156
2,2,2500.000000,32829.933594
2,2,2000.000000,29742.943359
2,2,1666.666626,27389.363281
2,2,1428.571411,25568.751953
2,2,1250.000000,23890.572266
2,2,1111.111084,22643.419922
2,2,1000.000000,21434.519531
2,2,909.090881,20388.484375
2,2,833.333313,19365.498047
2,2,769.230774,18451.199219
2,2,714.285706,17567.976562
2,2,666.666687,16702.009766
2,2,625.000000,16134.250977
2,2,588.235291,15408.252930
2,2,555.555542,14757.965820
2,2,526.315796,14281.844727
2,2,500.000000,13822.378906
2,2,476.190491,13367.852539
2,2,454.545441,12960.753906
2,2,434.782623,12523.148438
2,2,416.666656,12105.653320
2,2,400.000000,11653.938477
2,2,384.615387,11339.535156
2,2,370.370361,10997.769531
2,2,357.142853,10649.552734
2,2,344.827576,10350.194336
2,2,333.333344,9954.517578
2,2,322.580658,9670.754883
2,2,312.500000,9412.737305
2,2,303.030304,9173.941406
2,2,294.117645,8866.215820
2,2,285.714294,8649.353516
2,2,277.777771,8394.888672
2,2,270.270264,8152.508789
2,2,263.157898,7904.817383
2,2,256.410248,7709.093262
2,2,250.000000,7536.553223
2,2,243.902435,7343.961914
2,2,238.095245,7181.048828
2,2,232.558136,6979.798828
2,2,227.272720,6805.417480
2,2,222.222229,6573.998047
2,2,217.391312,6382.888672
2,2,212.765961,6214.156738
2,2,208.333328,6017.578125
2,2,204.081635,5817.926758
2,2,200.000000,5632.169922
2,2,196.078430,5490.655762
2,2,192.307693,5323.633789
2,2,188.679245,5148.127930
2,2,185.185181,4981.570801
2,2,181.818176,4864.103516
2,2,178.571426,4719.496094
2,2,175.438599,4583.961426
2,2,172.413788,4443.601074
2,2,169.491531,4297.742676
2,2,166.666672,4170.245117
2,2,163.934433,4009.315430
2,2,161.290329,3877.303223
2,2,158.730164,3752.353027
2,2,156.250000,3618.675049
2,2,153.846161,3486.306641
2,2,151.515152,3353.640869
2,2,149.253738,3234.649658
2,2,147.058823,3115.422119
2,2,144.927536,2987.378662
2,2,142.857147,2861.061279
2,2,140.845078,2747.371338
2,2,138.888885,2615.230713
2,2,136.986298,2504.874023
2,2,135.135132,2380.232910
2,2,133.333328,2262.977295
2,2,131.578949,2150.184326
2,2,129.870132,2042.947144
2,2,128.205124,1937.002808
2,2,126.582275,1827.668701
2,2,125.000000,1737.708862
2,2,123.456787,1634.091553
2,2,121.951218,1534.678101
2,2,120.481926,1439.229736
2,2,119.047623,1365.998535
2,2,117.647057,1253.868774
2,2,116.279068,1153.757080
2,2,114.942528,1063.032227
2,2,113.636360,939.393982
2,2,112.359550,853.182129
2,2,111.111115,768.150330
2,2,109.890106,682.246582
2,2,108.695656,604.145020
2,2,107.526878,526.015991
2,2,106.382980,450.647583
2,2,105.263161,381.222137
2,2,104.166664,329.468933
2,2,103.092781,274.977203
2,2,102.040817,224.258362
2,2,101.010101,179.305389
2,2,100.000000,140.023468
2,2,99.009903,109.826279
2,2,98.039215,81.694168
2,2,97.087379,64.105377
2,2,96.153847,49.396313
2,2,95.238098,29.762732
2,2,94.339622,18.168211
2,2,93.457947,11.883697
2,2,92.592590,8.378274
2,2,91.743118,3.148723
2,2,90.909088,0.820967
2,2,90.090088,0.682839
2,2,89.285713,0.446182
