summary_id,type,event_id,mean,standard_deviation,exposure_value
1,1,26,0.000000,0,483146.406250
1,2,26,1191.734863,2630.601807,483146.406250
2,1,26,659.208008,0,806994.000000
2,2,26,2951.167480,4795.162598,806994.000000
1,1,42,2574.630371,0,622545.875000
1,2,42,9502.992188,8763.740234,622545.875000
2,1,42,6041.050293,0,1039326.437500
2,2,42,17518.320312,14686.750977,1039326.437500
1,1,56,444.905884,0,221508.265625
1,2,56,2882.891846,4139.646973,221508.265625
2,1,56,2491.509766,0,370930.437500
2,2,56,6070.689453,7270.072266,370930.437500
1,1,93,1212.204834,0,423793.968750
1,2,93,3018.461670,4370.711914,423793.968750
2,1,93,3770.341309,0,708073.250000
2,2,93,6390.640137,7584.270996,708073.250000
1,1,119,3495.692627,0,556532.625000
1,2,119,6439.613281,6852.139160,556532.625000
2,1,119,7576.154297,0,929304.375000
2,2,119,12371.286133,11532.081055,929304.375000
1,1,125,0.000000,0,189740.656250
1,2,125,415.888092,2605.409668,189740.656250
2,1,125,0.000000,0,317984.406250
2,2,125,971.286804,4612.399414,317984.406250
1,1,138,0.000000,0,390537.656250
1,2,138,1223.495117,2346.803955,390537.656250
2,1,138,0.000000,0,652646.062500
2,2,138,2836.381836,4465.194336,652646.062500
1,1,139,0.000000,0,189740.656250
1,2,139,537.429077,2699.835938,189740.656250
2,1,139,0.000000,0,317984.406250
2,2,139,965.715088,4838.008789,317984.406250
1,1,153,0.000000,0,105627.601562
1,2,153,286.522369,2865.223633,105627.601562
2,1,153,0.000000,0,177796.000000
2,2,153,531.958008,4950.387207,177796.000000
1,1,163,0.000000,0,124399.507812
1,2,163,0.000000,0.000000,124399.507812
2,1,163,0.000000,0,209082.500000
2,2,163,0.000000,0.000000,209082.500000
1,1,165,0.000000,0,212215.750000
1,2,165,778.602478,1999.419678,212215.750000
2,1,165,0.000000,0,355442.906250
2,2,165,1967.706543,3817.162109,355442.906250
1,1,179,0.000000,0,78692.015625
1,2,179,0.000000,0.000000,78692.015625
2,1,179,0.000000,0,132903.359375
2,2,179,0.000000,0.000000,132903.359375
1,1,198,0.000000,0,258638.140625
1,2,198,0.000000,0.000000,258638.140625
2,1,198,0.000000,0,432813.562500
2,2,198,0.000000,0.000000,432813.562500
1,1,217,0.000000,0,477897.625000
1,2,217,1574.871094,3146.804688,477897.625000
2,1,217,0.000000,0,798246.000000
2,2,217,3255.708984,5839.812988,798246.000000
1,1,240,1875.428711,0,556532.625000
1,2,240,4857.498047,6650.075195,556532.625000
2,1,240,4875.714355,0,929304.375000
2,2,240,9628.456055,11255.143555,929304.375000
1,1,262,0.000000,0,390537.656250
1,2,262,2160.386230,3955.092773,390537.656250
2,1,262,0.000000,0,652646.062500
2,2,262,4448.521973,7118.611816,652646.062500
1,1,270,0.000000,0,258638.140625
1,2,270,29.525955,271.289734,258638.140625
2,1,270,0.000000,0,432813.562500
2,2,270,113.682167,682.244019,432813.562500
1,1,283,0.000000,0,287405.750000
1,2,283,1032.112915,1654.125610,287405.750000
2,1,283,0.000000,0,480759.562500
2,2,283,2649.318848,3340.085938,480759.562500
1,1,284,0.000000,0,94653.812500
1,2,284,25.327089,134.433807,94653.812500
2,1,284,0.000000,0,159506.343750
2,2,284,129.082504,568.074402,159506.343750
1,1,316,5990.278809,0,556532.625000
1,2,316,9120.338867,7432.270020,556532.625000
2,1,316,11733.797852,0,929304.375000
2,2,316,16885.675781,12471.268555,929304.375000
1,1,328,0.000000,0,590778.250000
1,2,328,248.921616,817.539490,590778.250000
2,1,328,0.000000,0,986380.375000
2,2,328,894.641113,1864.526489,986380.375000
1,1,100027,0.000000,0,124399.507812
1,2,100027,0.000000,0.000000,124399.507812
2,1,100027,0.000000,0,209082.500000
2,2,100027,0.000000,0.000000,209082.500000
1,1,100050,0.000000,0,258638.140625
1,2,100050,932.861511,2138.630371,258638.140625
2,1,100050,0.000000,0,432813.562500
2,2,100050,2175.147217,4113.618652,432813.562500
1,1,100065,800.852966,0,221508.265625
1,2,100065,2855.724365,3205.354004,221508.265625
2,1,100065,3084.754883,0,370930.437500
2,2,100065,6220.379883,5630.233398,370930.437500
1,1,100067,0.000000,0,64386.207031
1,2,100067,0.000000,0.000000,64386.207031
2,1,100067,0.000000,0,109060.343750
2,2,100067,0.000000,0.000000,109060.343750
1,1,100110,0.000000,0,78692.015625
1,2,100110,0.000000,0.000000,78692.015625
2,1,100110,0.000000,0,132903.359375
2,2,100110,1.308032,13.080322,132903.359375
1,1,100136,0.000000,0,64386.207031
1,2,100136,257.105072,693.000488,64386.207031
2,1,100136,0.000000,0,109060.343750
