summary_id, type, mean, standard_deviation, exposure_value
1,1, 27.486150, 364.530335, 62000.000000 
2,1, 32.463186, 340.176960, 66020.000000 
3,1, 111.422025, 1343.078153, 415543.937500 
4,1, 37.010797, 446.125269, 138156.718750 
5,1, 57.698285, 695.423571, 219837.000000 
6,1, 9.289978, 121.073085, 26947.970703 
7,1, 20.679847, 270.171317, 87186.000000 
8,1, 12.410555, 161.742484, 36000.000000 
9,1, 47.138242, 743.359977, 180684.000000 
10,1, 43.236968, 681.852027, 171182.406250 
11,1, 35.308989, 556.821839, 137875.000000 
12,1, 104.009542, 1084.975572, 349701.968750 
13,1, 49.968834, 521.142046, 159591.421875 
14,1, 23.956779, 258.355098, 236585.000000 
15,1, 61.528394, 660.309711, 476871.031250 
16,1, 70.704012, 747.640281, 352756.000000 
17,1, 34.828851, 368.297349, 174428.609375 
18,1, 151.366319, 1787.313915, 929730.000000 
19,1, 1.596207, 18.586328, 7500.000000 
20,1, 68.107190, 799.993873, 575000.000000 
1,2, 27.090823, 367.779386, 62000.000000 
2,2, 32.807972, 351.593981, 66020.000000 
3,2, 112.699631, 1359.039607, 415543.937500 
4,2, 37.218459, 452.615771, 138156.718750 
5,2, 57.714095, 710.792661, 219837.000000 
6,2, 9.356219, 123.909967, 26947.970703 
7,2, 21.006835, 276.612189, 87186.000000 
8,2, 12.591328, 164.765209, 36000.000000 
9,2, 46.923149, 738.451393, 180684.000000 
10,2, 44.795338, 719.767975, 171182.406250 
11,2, 35.333016, 558.202488, 137875.000000 
12,2, 104.798669, 1105.877047, 349701.968750 
13,2, 50.896731, 537.933878, 159591.421875 
14,2, 23.170524, 268.457910, 236585.000000 
15,2, 61.002437, 657.574781, 476871.031250 
16,2, 71.474805, 765.436336, 352756.000000 
17,2, 35.556641, 378.198964, 174428.609375 
18,2, 156.474218, 1870.277282, 929730.000000 
19,2, 1.603286, 19.666593, 7500.000000 
20,2, 71.573768, 895.480369, 575000.000000 
