Summary_id, event_id, mean, standard_deviation, exposure_value
1, 26, 1952.753540, 5023.645020, 62000.000000
2, 26, 1094.186157, 5054.703613, 66020.000000
3, 26, 10226.369141, 12562.015625, 415543.937500
4, 26, 3330.883545, 6366.044434, 138156.718750
5, 26, 7044.384766, 12577.556641, 219837.000000
6, 26, 1495.349487, 3247.967529, 26947.970703
7, 26, 2277.981201, 4233.078613, 87186.000000
8, 26, 1225.607544, 2921.245850, 36000.000000
9, 26, 0.000000, 0.000000, 0.000000
10, 26, 0.000000, 0.000000, 0.000000
11, 26, 0.000000, 0.000000, 0.000000
12, 26, 5257.234863, 9514.911133, 349701.968750
13, 26, 1523.673706, 3610.969482, 159591.421875
14, 26, 4.446132, 44.461315, 236585.000000
15, 26, 1499.931885, 6674.682129, 476871.031250
16, 26, 932.455688, 4629.142578, 352756.000000
17, 26, 299.748779, 1373.553711, 174428.609375
18, 26, 0.000000, 0.000000, 0.000000
19, 26, 117.760765, 475.144348, 7500.000000
20, 26, 3825.953857, 21631.847656, 575000.000000
1, 42, 7602.414551, 10123.184570, 62000.000000
2, 42, 5888.955566, 10505.228516, 66020.000000
3, 42, 19415.900391, 15512.837891, 415543.937500
4, 42, 6861.913574, 9422.256836, 138156.718750
5, 42, 11120.446289, 18672.957031, 219837.000000
6, 42, 2000.730469, 3648.459473, 26947.970703
7, 42, 4103.983398, 5389.876953, 87186.000000
8, 42, 2424.100830, 4411.116699, 36000.000000
9, 42, 0.000000, 0.000000, 0.000000
10, 42, 0.000000, 0.000000, 0.000000
11, 42, 0.000000, 0.000000, 0.000000
12, 42, 14422.692383, 19037.888672, 349701.968750
13, 42, 6674.697266, 7579.729980, 159591.421875
14, 42, 3457.735352, 11281.207031, 236585.000000
15, 42, 8416.370117, 18614.642578, 476871.031250
16, 42, 11001.620117, 17779.986328, 352756.000000
17, 42, 5415.274414, 8977.645508, 174428.609375
18, 42, 35866.648438, 38553.101562, 929730.000000
19, 42, 358.408936, 923.224121, 7500.000000
20, 42, 9434.683594, 44081.710938, 575000.000000
1, 56, 2478.361816, 5434.565918, 62000.000000
2, 56, 0.000000, 0.000000, 0.000000
3, 56, 17338.343750, 16508.583984, 415543.937500
4, 56, 5070.692871, 8417.604492, 138156.718750
5, 56, 7824.942383, 14101.962891, 219837.000000
6, 56, 2224.812256, 3367.887695, 26947.970703
7, 56, 3776.390869, 5486.928711, 87186.000000
8, 56, 1765.343872, 4010.331299, 36000.000000
9, 56, 0.000000, 0.000000, 0.000000
10, 56, 0.000000, 0.000000, 0.000000
11, 56, 0.000000, 0.000000, 0.000000
12, 56, 0.000000, 0.000000, 0.000000
13, 56, 0.000000, 0.000000, 0.000000
14, 56, 0.000000, 0.000000, 0.000000
15, 56, 0.000000, 0.000000, 0.000000
16, 56, 0.000000, 0.000000, 0.000000
17, 56, 0.000000, 0.000000, 0.000000
18, 56, 0.000000, 0.000000, 0.000000
19, 56, 248.466797, 768.057251, 7500.000000
20, 56, 10646.696289, 36809.292969, 575000.000000
1, 93, 5787.710449, 8924.441406, 62000.000000
2, 93, 0.000000, 0.000000, 0.000000
3, 93, 17731.029297, 16968.093750, 415543.937500
4, 93, 4312.525391, 7466.058594, 138156.718750
5, 93, 7973.095215, 12805.033203, 219837.000000
6, 93, 1649.716919, 2870.742188, 26947.970703
7, 93, 2723.854980, 4615.024414, 87186.000000
8, 93, 1904.191406, 3904.137207, 36000.000000
9, 93, 1184.344360, 3920.978760, 180684.000000
10, 93, 1089.430908, 3630.290283, 171182.406250
11, 93, 1569.123169, 6321.891113, 137875.000000
12, 93, 0.000000, 0.000000, 0.000000
13, 93, 0.000000, 0.000000, 0.000000
14, 93, 0.000000, 0.000000, 0.000000
15, 93, 0.000000, 0.000000, 0.000000
16, 93, 0.000000, 0.000000, 0.000000
17, 93, 0.000000, 0.000000, 0.000000
18, 93, 2219.932861, 8960.021484, 929730.000000
19, 93, 119.025566, 526.830078, 7500.000000
20, 93, 9374.694336, 35728.109375, 575000.000000
1, 119, 4989.379883, 7540.676270, 62000.000000
2, 119, 18.309555, 166.576797, 66020.000000
3, 119, 15854.960938, 13980.804688, 415543.937500
4, 119, 8192.123047, 10263.634766, 138156.718750
5, 119, 7477.208984, 13824.041992, 219837.000000
6, 119, 1691.124878, 3026.444336, 26947.970703
7, 119, 3233.074951, 5227.070801, 87186.000000
8, 119, 2520.858398, 4454.386230, 36000.000000
9, 119, 11998.093750, 15391.020508, 180684.000000
10, 119, 13310.934570, 15097.723633, 171182.406250
11, 119, 9047.250000, 17551.451172, 137875.000000
12, 119, 567.532715, 2785.476807, 349701.968750
13, 119, 334.933746, 1498.473145, 159591.421875
14, 119, 0.000000, 0.000000, 236585.000000
15, 119, 0.000000, 0.000000, 476871.031250
16, 119, 0.000000, 0.000000, 352756.000000
17, 119, 107.405762, 758.335144, 174428.609375
18, 119, 0.000000, 0.000000, 0.000000
19, 119, 203.649353, 707.306946, 7500.000000
20, 119, 15072.392578, 49042.472656, 575000.000000
1, 125, 0.000000, 0.000000, 0.000000
2, 125, 0.000000, 0.000000, 0.000000
3, 125, 3555.307617, 6416.428223, 415543.937500
4, 125, 1091.294556, 3404.663330, 138156.718750
5, 125, 1570.713135, 5581.898438, 219837.000000
6, 125, 0.000000, 0.000000, 0.000000
7, 125, 0.000000, 0.000000, 0.000000
8, 125, 0.000000, 0.000000, 0.000000
9, 125, 0.000000, 0.000000, 0.000000
10, 125, 0.000000, 0.000000, 0.000000
11, 125, 0.000000, 0.000000, 0.000000
12, 125, 0.000000, 0.000000, 0.000000
13, 125, 0.000000, 0.000000, 0.000000
14, 125, 0.000000, 0.000000, 0.000000
15, 125, 0.000000, 0.000000, 0.000000
16, 125, 0.000000, 0.000000, 0.000000
17, 125, 0.000000, 0.000000, 0.000000
18, 125, 0.000000, 0.000000, 0.000000
19, 125, 70.743279, 377.110291, 7500.000000
20, 125, 4353.648926, 26313.255859, 575000.000000
1, 138, 0.000000, 0.000000, 0.000000
2, 138, 2322.901855, 5638.955566, 66020.000000
3, 138, 0.000000, 0.000000, 0.000000
4, 138, 0.000000, 0.000000, 0.000000
5, 138, 0.000000, 0.000000, 0.000000
6, 138, 0.000000, 0.000000, 0.000000
7, 138, 0.000000, 0.000000, 0.000000
8, 138, 0.000000, 0.000000, 0.000000
9, 138, 0.000000, 0.000000, 0.000000
10, 138, 0.000000, 0.000000, 0.000000
11, 138, 0.000000, 0.000000, 0.000000
12, 138, 8558.689453, 14262.409180, 349701.968750
13, 138, 5964.854492, 7174.218750, 159591.421875
14, 138, 2578.068359, 8794.460938, 236585.000000
15, 138, 6854.018066, 13387.897461, 476871.031250
16, 138, 7511.136230, 17207.189453, 352756.000000
17, 138, 3682.500244, 7208.650879, 174428.609375
18, 138, 21223.542969, 33389.187500, 929730.000000
19, 138, 0.000000, 0.000000, 0.000000
20, 138, 0.000000, 0.000000, 0.000000
1, 139, 0.000000, 0.000000, 0.000000
2, 139, 0.000000, 0.000000, 0.000000
3, 139, 17.325512, 173.255142, 415543.937500
4, 139, 0.000000, 0.000000, 138156.718750
5, 139, 0.000000, 0.000000, 219837.000000
6, 139, 0.000000, 0.000000, 0.000000
7, 139, 0.000000, 0.000000, 0.000000
8, 139, 0.000000, 0.000000, 0.000000
9, 139, 0.000000, 0.000000, 0.000000
10, 139, 0.000000, 0.000000, 0.000000
11, 139, 0.000000, 0.000000, 0.000000
12, 139, 0.000000, 0.000000, 0.000000
13, 139, 0.000000, 0.000000, 0.000000
14, 139, 0.000000, 0.000000, 0.000000
15, 139, 0.000000, 0.000000, 0.000000
16, 139, 0.000000, 0.000000, 0.000000
17, 139, 0.000000, 0.000000, 0.000000
18, 139, 0.000000, 0.000000, 0.000000
19, 139, 20.236303, 169.188370, 7500.000000
20, 139, 6517.423828, 29867.236328, 575000.000000
1, 153, 1545.221924, 4244.920898, 62000.000000
2, 153, 0.000000, 0.000000, 0.000000
3, 153, 0.000000, 0.000000, 0.000000
4, 153, 0.000000, 0.000000, 0.000000
5, 153, 0.000000, 0.000000, 0.000000
6, 153, 540.964050, 1759.461914, 26947.970703
7, 153, 1314.431396, 2838.298828, 87186.000000
8, 153, 753.050232, 2387.869629, 36000.000000
9, 153, 0.000000, 0.000000, 0.000000
10, 153, 0.000000, 0.000000, 0.000000
11, 153, 0.000000, 0.000000, 0.000000
12, 153, 0.000000, 0.000000, 0.000000
13, 153, 0.000000, 0.000000, 0.000000
14, 153, 0.000000, 0.000000, 0.000000
15, 153, 0.000000, 0.000000, 0.000000
16, 153, 0.000000, 0.000000, 0.000000
17, 153, 0.000000, 0.000000, 0.000000
18, 153, 0.000000, 0.000000, 0.000000
19, 153, 94.241722, 449.913544, 7500.000000
20, 153, 2510.649170, 25106.490234, 575000.000000
1, 163, 0.000000, 0.000000, 0.000000
2, 163, 0.000000, 0.000000, 0.000000
3, 163, 0.000000, 0.000000, 0.000000
4, 163, 0.000000, 0.000000, 0.000000
5, 163, 0.000000, 0.000000, 0.000000
6, 163, 0.000000, 0.000000, 0.000000
7, 163, 0.000000, 0.000000, 0.000000
8, 163, 0.000000, 0.000000, 0.000000
9, 163, 0.000000, 0.000000, 0.000000
10, 163, 0.000000, 0.000000, 0.000000
11, 163, 0.000000, 0.000000, 0.000000
12, 163, 0.000000, 0.000000, 0.000000
13, 163, 0.000000, 0.000000, 0.000000
14, 163, 0.000000, 0.000000, 0.000000
15, 163, 0.000000, 0.000000, 0.000000
16, 163, 0.000000, 0.000000, 0.000000
17, 163, 0.000000, 0.000000, 0.000000
18, 163, 165.849762, 1658.497559, 929730.000000
19, 163, 0.000000, 0.000000, 0.000000
20, 163, 0.000000, 0.000000, 0.000000
1, 165, 0.000000, 0.000000, 0.000000
2, 165, 0.000000, 0.000000, 0.000000
3, 165, 9769.129883, 11899.045898, 415543.937500
4, 165, 3187.034424, 6487.082031, 138156.718750
