event_id,output_id,sidx,loss
1600095,1,-3,25767.60
1600095,1,-1,0.00
1600095,2,-3,44695.99
1600095,2,-1,0.00
500171,1,-3,390537.62
500171,1,-1,6835.77
500171,1,1,10834.55
500171,1,2,6005.16
500171,1,3,31225.37
500171,1,4,27959.52
500171,1,6,12109.19
500171,1,7,15301.97
500171,1,8,2983.56
500171,2,-3,652646.00
500171,2,-1,13142.95
500171,2,1,19807.58
500171,2,2,11758.60
500171,2,3,53792.28
500171,2,4,48349.20
500171,2,6,21931.98
500171,2,7,27253.28
500171,2,8,6722.59
500153,1,-3,124399.51
500153,1,-1,0.00
500153,2,-3,209082.50
500153,2,-1,0.00
165,1,-3,212215.75
165,1,-1,26.69
165,1,1,67.44
165,1,3,465.92
165,1,4,12628.50
165,1,5,1782.85
165,1,6,9941.56
165,2,-3,355442.91
165,2,-1,1794.49
165,2,1,1862.41
165,2,3,2526.54
165,2,4,22797.49
165,2,5,4721.41
165,2,6,18319.27
1300090,1,-3,124399.51
1300090,1,-1,0.00
1300090,1,4,509.39
1300090,1,9,1519.38
1300090,2,-3,209082.50
1300090,2,-1,0.00
1300090,2,4,2598.99
1300090,2,9,4282.30
200122,1,-3,390537.62
200122,1,-1,8065.96
200122,1,1,5509.12
200122,1,2,29147.39
200122,1,3,28819.54
200122,1,4,693.04
200122,1,6,16669.18
200122,1,8,28301.74
200122,1,9,3774.47
200122,2,-3,652646.00
200122,2,-1,15193.27
200122,2,1,10931.86
200122,2,2,50328.98
200122,2,3,49782.57
200122,2,4,2905.07
200122,2,6,29531.96
200122,2,7,1116.50
200122,2,8,48919.56
200122,2,9,8040.78
1800056,1,-3,695932.06
1800056,1,-1,29053.60
1800056,1,1,29386.33
1800056,1,2,16141.27
1800056,1,3,38869.06
1800056,1,4,45272.94
1800056,1,5,57481.13
1800056,1,6,24110.96
1800056,1,7,26644.31
1800056,1,8,39674.21
1800056,1,9,68579.38
1800056,1,10,11344.96
1800056,2,-3,1161636.75
1800056,2,-1,50172.67
1800056,2,1,50727.22
1800056,2,2,28652.12
1800056,2,3,66531.77
1800056,2,4,77204.89
1800056,2,5,97551.88
1800056,2,6,41934.93
1800056,2,7,46157.19
1800056,2,8,67873.69
1800056,2,9,116048.97
1800056,2,10,20658.26
1500076,1,-3,258638.11
1500076,1,-1,0.00
1500076,1,5,676.05
1500076,1,10,7239.14
1500076,2,-3,432813.50
1500076,2,-1,0.00
1500076,2,5,2876.75
1500076,2,10,13815.23
300055,1,-3,258638.11
300055,1,-1,0.00
300055,1,10,7001.85
300055,2,-3,432813.50
300055,2,-1,0.00
300055,2,10,13419.74
1000068,1,-3,590778.25
1000068,1,-1,5456.54
1000068,1,1,20144.94
1000068,1,2,7900.37
1000068,1,3,21611.46
1000068,1,4,3008.71
1000068,1,5,3724.70
1000068,1,6,13536.85
1000068,1,7,424.05
1000068,1,8,1272.62
1000068,1,9,4953.35
1000068,1,10,23503.84
1000068,2,-3,986380.38
1000068,2,-1,10844.24
1000068,2,1,35324.89
1000068,2,2,14917.28
1000068,2,3,37769.10
1000068,2,4,6764.51
1000068,2,5,7957.84
1000068,2,6,24311.42
1000068,2,7,2456.75
1000068,2,8,3871.03
1000068,2,9,10005.59
1000068,2,10,40923.07
1400040,1,-3,695932.06
1400040,1,-1,22037.26
1400040,1,1,34239.80
1400040,1,2,1364.91
1400040,1,3,62533.28
1400040,1,5,9996.93
1400040,1,6,14502.27
1400040,1,7,30086.80
1400040,1,8,25077.44
1400040,1,9,20234.28
1400040,1,10,20190.92
1400040,2,-3,1161636.75
1400040,2,-1,38478.76
1400040,2,1,58816.34
1400040,2,2,4024.85
1400040,2,3,105972.12
1400040,2,5,18411.55
1400040,2,6,25920.45
1400040,2,7,51894.67
1400040,2,8,43545.73
1400040,2,9,35473.80
1400040,2,10,35401.54
1800190,1,-3,124399.51
1800190,1,-1,0.00
1800190,2,-3,209082.50
1800190,2,-1,0.00
163,1,-3,124399.51
163,1,-1,0.00
163,2,-3,209082.50
163,2,-1,0.00
1000112,1,-3,258638.11
1000112,1,-1,0.00
1000112,2,-3,432813.50
1000112,2,-1,0.00
2000179,1,-3,78360.00
2000179,1,-1,0.00
2000179,2,-3,132350.00
2000179,2,-1,0.00
500228,1,-3,390537.62
500228,1,-1,1415.26
500228,1,1,6780.46
500228,1,2,17956.42
500228,1,3,6880.93
500228,1,4,10624.71
500228,1,5,3651.51
500228,1,7,12285.57
500228,1,8,10183.07
500228,1,9,3372.04
500228,1,10,1849.72
500228,2,-3,652646.00
500228,2,-1,4108.76
500228,2,1,13050.77
500228,2,2,31677.36
500228,2,3,13218.21
500228,2,4,19457.84
500228,2,5,7835.85
500228,2,7,22225.95
500228,2,8,18721.79
500228,2,9,7370.07
500228,2,10,4832.87
1100122,1,-3,221508.25
1100122,1,-1,4674.24
1100122,1,2,7566.93
1100122,1,3,52926.35
1100122,1,4,10418.83
1100122,1,5,9113.36
1100122,1,6,8615.67
1100122,1,7,2216.79
1100122,1,8,7273.99
1100122,1,9,483.42
1100122,1,10,765.34
1100122,2,-3,370930.41
1100122,2,-1,9540.40
1100122,2,2,14361.56
1100122,2,3,89960.58
1100122,2,4,19114.71
1100122,2,5,16938.93
1100122,2,6,16109.45
1100122,2,7,5444.65
1100122,2,8,13873.32
1100122,2,9,2555.71
1100122,2,10,3025.57
2000181,1,-3,78692.01
2000181,1,-1,0.00
2000181,2,-3,132903.34
2000181,2,-1,0.00
600024,1,-3,390537.62
600024,1,-1,71.60
600024,1,1,10673.00
600024,1,2,5163.67
600024,1,4,10257.84
600024,1,5,10322.96
600024,1,7,22254.67
600024,1,8,9673.21
600024,1,9,1901.35
600024,1,10,37487.41
600024,2,-3,652646.00
600024,2,-1,1869.33
600024,2,1,19538.34
600024,2,2,10356.12
600024,2,4,18846.39
600024,2,5,18954.92
600024,2,7,38841.11
600024,2,8,17872.02
600024,2,9,4918.92
600024,2,10,64229.02
1400006,1,-3,212215.75
1400006,1,-1,3377.35
1400006,1,1,6819.51
1400006,1,2,5176.61
1400006,1,4,3955.38
1400006,1,5,1665.77
1400006,1,6,9063.79
1400006,1,7,32519.47
1400006,1,8,3054.20
1400006,1,9,8736.48
1400006,1,10,11050.43
1400006,2,-3,355442.91
1400006,2,-1,7378.91
1400006,2,1,13115.86
1400006,2,2,10377.69
1400006,2,4,8342.30
1400006,2,5,4526.28
1400006,2,6,16856.32
1400006,2,7,55949.12
1400006,2,8,6840.33
1400006,2,9,16310.80
1400006,2,10,20167.38
1800288,1,-3,64386.21
1800288,1,-1,730.31
1800288,1,1,12613.69
1800288,1,6,1567.30
1800288,1,9,2901.01
1800288,2,-3,109060.34
1800288,2,-1,2967.19
1800288,2,1,22772.82
1800288,2,6,4362.17
1800288,2,9,6585.01
1200148,1,-3,477897.62
1200148,1,-1,2522.54
1200148,1,2,50663.06
1200148,1,3,29413.14
1200148,1,4,9536.92
1200148,1,5,34718.90
1200148,1,6,2766.54
1200148,1,8,2759.75
1200148,1,9,26648.87
1200148,1,10,17670.45
1200148,2,-3,798246.00
1200148,2,-1,5954.24
1200148,2,2,86188.43
1200148,2,3,50771.89
1200148,2,4,17644.87
1200148,2,5,59614.84
1200148,2,6,6360.90
1200148,2,8,6349.59
1200148,2,9,46164.77
1200148,2,10,31200.74
500097,1,-3,329024.34
500097,1,-1,6317.78
500097,1,2,24405.19
500097,1,3,14572.75
500097,1,4,8117.09
500097,1,5,20308.68
500097,1,6,6689.33
500097,1,7,10397.96
500097,1,8,3597.40
500097,1,9,18159.33
500097,2,-3,550123.88
500097,2,-1,12279.64
500097,2,2,42425.31
500097,2,3,26037.92
500097,2,4,15278.49
500097,2,5,35597.80
500097,2,6,12898.89
500097,2,7,19079.94
500097,2,8,7745.67
500097,2,9,32015.55
300229,1,-3,86861.31
300229,1,-1,1833.51
300229,1,1,2182.19
300229,1,2,4183.90
300229,1,3,1680.24
300229,1,6,4521.12
300229,1,7,6612.74
300229,1,8,8025.53
300229,1,9,14091.89
300229,2,-3,146518.84
300229,2,-1,4805.84
300229,2,1,5386.99
300229,2,2,8723.16
300229,2,3,4550.40
300229,2,6,9285.20
300229,2,7,12771.23
300229,2,8,15125.89
300229,2,9,25236.48
1300265,1,-3,221508.25
1300265,1,-1,5841.65
1300265,1,2,8496.10
1300265,1,3,1583.00
1300265,1,5,3409.77
1300265,1,6,4585.51
1300265,1,7,5695.19
1300265,1,8,7898.85
1300265,1,9,7607.20
1300265,1,10,5868.48
1300265,2,-3,370930.41
1300265,2,-1,11486.08
1300265,2,2,15910.16
1300265,2,3,4388.34
1300265,2,4,394.83
1300265,2,5,7432.96
1300265,2,6,9392.52
1300265,2,7,11241.98
1300265,2,8,14914.76
1300265,2,9,14428.67
1300265,2,10,11530.80
1700189,1,-3,212215.75
1700189,1,-1,0.00
1700189,1,1,11633.10
1700189,1,2,4690.23
1700189,1,3,2097.29
1700189,1,5,71722.77
1700189,1,6,2613.68
1700189,1,9,6357.32
1700189,2,-3,355442.91
1700189,2,-1,1406.15
1700189,2,1,21138.50
1700189,2,2,9567.05
1700189,2,3,5245.48
1700189,2,5,121287.95
1700189,2,6,6106.13
1700189,2,8,1580.19
1700189,2,9,12345.53
1400019,1,-3,556532.56
1400019,1,-1,23558.57
1400019,1,1,9394.73
1400019,1,2,24893.56
1400019,1,3,13058.67
1400019,1,4,18285.07
1400019,1,5,19970.32
1400019,1,6,33603.85
1400019,1,7,64541.10
1400019,1,8,46631.87
1400019,1,9,34191.12
1400019,1,10,15286.23
1400019,2,-3,929304.25
1400019,2,-1,41014.29
1400019,2,1,17407.89
1400019,2,2,43239.26
1400019,2,3,23514.45
1400019,2,4,32225.12
1400019,2,5,35033.87
1400019,2,6,57756.41
1400019,2,7,109318.50
1400019,2,8,79469.77
1400019,2,9,58735.21
1400019,2,10,27227.05
1900157,1,-3,290394.47
1900157,1,-1,10002.95
1900157,1,1,2923.16
1900157,1,2,601.39
1900157,1,3,11207.23
1900157,1,4,5842.06
1900157,1,5,10859.52
1900157,1,6,14796.62
1900157,1,7,19837.06
1900157,1,8,995.18
1900157,1,9,9478.17
1900157,1,10,10865.97
1900157,2,-3,485740.75
1900157,2,-1,18421.58
1900157,2,1,6621.94
1900157,2,2,2752.31
1900157,2,3,20428.71
1900157,2,4,11486.77
1900157,2,5,19849.20
1900157,2,6,26411.04
1900157,2,7,34811.77
1900157,2,8,3408.64
1900157,2,9,17546.94
1900157,2,10,19859.96
1600146,1,-3,290394.47
1600146,1,-1,13119.72
1600146,1,1,32497.10
1600146,1,2,33777.86
1600146,1,3,20702.63
1600146,1,4,24200.52
1600146,1,5,2457.36
1600146,1,6,10790.59
1600146,1,7,20966.92
1600146,1,8,28699.87
1600146,1,9,8170.59
1600146,1,10,7046.37
1600146,2,-3,485740.75
1600146,2,-1,23616.19
1600146,2,1,55911.82
1600146,2,2,58046.42
1600146,2,3,36254.39
1600146,2,4,42084.20
1600146,2,5,5845.59
1600146,2,6,19734.31
1600146,2,7,36694.87
1600146,2,8,49583.12
1600146,2,9,15367.66
1600146,2,10,13493.95
1400201,1,-3,258638.11
1400201,1,-1,489.84
1400201,1,1,695.34
1400201,1,2,3909.29
1400201,1,3,11002.51
1400201,1,4,378.14
1400201,1,6,14373.01
1400201,1,7,1560.74
1400201,1,8,8507.76
1400201,1,9,5824.99
1400201,1,10,12573.31
1400201,2,-3,432813.50
1400201,2,-1,2566.40
1400201,2,1,2908.89
1400201,2,2,8265.48
1400201,2,3,20087.52
1400201,2,4,2380.23
1400201,2,6,25705.01
1400201,2,7,4351.23
1400201,2,8,15929.59
1400201,2,9,11458.32
1400201,2,10,22705.52
600063,1,-3,64386.21
600063,1,-1,0.00
600063,1,1,184.03
600063,1,2,628.24
600063,1,6,1892.02
600063,1,7,3436.00
600063,1,10,3427.82
600063,2,-3,109060.34
600063,2,-1,0.00
600063,2,1,2056.72
600063,2,2,2797.06
600063,2,6,4903.37
600063,2,7,7476.66
600063,2,10,7463.04
500219,1,-3,390537.62
500219,1,-1,9655.71
500219,1,1,12631.54
500219,1,4,4105.00
500219,1,5,9013.31
500219,1,6,18442.18
500219,1,7,15083.06
500219,1,9,29298.24
500219,1,10,8808.76
500219,2,-3,652646.00
500219,2,-1,17842.84
500219,2,1,22802.57
500219,2,2,93.61
500219,2,4,8591.66
500219,2,5,16772.18
500219,2,6,32486.97
500219,2,7,26888.43
500219,2,9,50580.41
500219,2,10,16431.26
1500234,1,-3,64386.21
1500234,1,-1,1724.22
1500234,1,1,8912.67
1500234,1,3,5721.00
1500234,1,4,4176.31
1500234,1,7,10736.10
1500234,1,9,2987.25
1500234,1,10,8166.00
1500234,2,-3,109060.34
1500234,2,-1,4623.70
1500234,2,1,16604.45
1500234,2,3,11285.00
1500234,2,4,8710.52
1500234,2,7,19643.50
1500234,2,9,6728.74
1500234,2,10,15360.00
26,1,-3,483146.34
26,1,-1,1944.17
26,1,1,17213.66
26,1,2,3122.64
26,1,4,5614.36
26,1,5,9102.44
26,1,6,5321.41
26,1,7,4084.34
26,1,8,1410.70
26,1,9,2620.60
26,1,10,650.27
26,2,-3,806993.88
26,2,-1,4990.29
26,2,1,30439.44
26,2,2,6954.39
26,2,4,11107.26
26,2,5,16920.73
26,2,6,10619.01
26,2,7,8557.23
26,2,8,4101.17
26,2,9,6117.66
26,2,10,2833.78
100260,1,-3,258638.11
100260,1,-1,0.00
100260,2,-3,432813.50
100260,2,-1,0.00
2000227,1,-3,390537.62
2000227,1,-1,4394.03
2000227,1,1,13110.11
2000227,1,2,12910.77
2000227,1,3,2365.20
2000227,1,4,27553.72
2000227,1,5,24710.57
2000227,1,6,8382.59
2000227,1,7,3827.68
2000227,1,8,4394.48
2000227,1,9,2780.96
2000227,1,10,39260.31
2000227,2,-3,652646.00
2000227,2,-1,9073.38
2000227,2,1,23600.19
2000227,2,2,23267.95
2000227,2,3,5692.00
2000227,2,4,47672.86
2000227,2,5,42934.28
2000227,2,6,15720.98
2000227,2,7,8129.47
2000227,2,8,9074.13
2000227,2,9,6384.94
2000227,2,10,67183.84
1800279,1,-3,390537.62
1800279,1,-1,1614.56
1800279,1,1,9389.66
1800279,1,2,14573.05
1800279,1,4,12464.25
1800279,1,6,25495.52
1800279,1,7,5477.61
1800279,1,9,17956.28
1800279,1,10,7007.94
1800279,2,-3,652646.00
1800279,2,-1,4440.93
1800279,2,1,17399.43
1800279,2,2,26038.41
1800279,2,4,22523.76
1800279,2,6,44242.52
1800279,2,7,10879.35
1800279,2,9,31677.14
1800279,2,10,13429.91
600210,1,-3,212215.75
600210,1,-1,2191.41
600210,1,1,1290.92
600210,1,2,111.34
600210,1,3,12327.86
600210,1,4,2631.26
600210,1,5,1819.10
600210,1,7,5353.76
600210,1,8,2651.64
600210,1,10,6217.91
600210,2,-3,355442.91
600210,2,-1,5402.35
600210,2,1,3901.53
600210,2,2,1935.56
600210,2,3,22296.43
600210,2,4,6135.44
600210,2,5,4781.83
600210,2,7,10672.93
600210,2,8,6169.40
600210,2,10,12113.17
2000074,1,-3,6292.50
2000074,1,-1,0.00
2000074,2,-3,12237.50
2000074,2,-1,0.00
600119,1,-3,258638.11
600119,1,-1,0.00
600119,1,2,4078.99
600119,1,5,2328.27
600119,1,6,949.55
600119,1,10,9113.88
600119,2,-3,432813.50
600119,2,-1,0.00
600119,2,2,8548.31
600119,2,5,5630.44
600119,2,6,3332.58
600119,2,10,16939.80
56,1,-3,221508.25
56,1,-1,6233.21
56,1,1,8406.79
56,1,2,6822.30
56,1,4,1821.37
56,1,5,16322.71
56,1,6,76911.92
56,1,7,11971.53
56,1,8,3229.48
56,1,9,13897.99
56,1,10,11965.08
56,2,-3,370930.41
56,2,-1,12138.68
56,2,1,15761.32
56,2,2,13120.51
56,2,4,4785.62
56,2,5,28954.51
56,2,6,129936.53
56,2,7,21702.55
56,2,8,7132.46
56,2,9,24913.31
56,2,10,21691.80
900335,1,-3,64386.21
900335,1,-1,0.00
900335,2,-3,109060.34
900335,2,-1,0.00
200162,1,-3,323140.12
200162,1,-1,177.37
200162,1,1,5940.86
200162,1,2,5572.14
200162,1,3,3237.63
200162,1,4,6278.60
200162,1,8,5043.85
200162,1,10,4608.48
200162,2,-3,540316.88
200162,2,-1,2045.62
200162,2,1,11651.43
200162,2,2,11036.91
200162,2,3,7146.04
200162,2,4,12214.33
200162,2,8,10156.42
200162,2,10,9430.80
800069,1,-3,6292.50
800069,1,-1,0.00
800069,2,-3,12237.50
800069,2,-1,0.00
900315,1,-3,6292.50
900315,1,-1,0.00
900315,2,-3,12237.50
900315,2,-1,0.00
1300291,1,-3,390537.62
1300291,1,-1,2020.36
1300291,1,1,5977.86
1300291,1,2,1333.14
1300291,1,3,5897.31
1300291,1,6,6446.78
1300291,1,8,11317.56
1300291,1,9,5885.69
1300291,1,10,2965.96
1300291,2,-3,652646.00
1300291,2,-1,5117.27
1300291,2,1,11713.10
1300291,2,2,3971.90
1300291,2,3,11578.84
1300291,2,6,12494.64
1300291,2,8,20612.60
1300291,2,9,11559.48
1300291,2,10,6693.26
283,1,-3,287405.72
283,1,-1,637.63
283,1,1,7274.76
283,1,3,6798.24
283,1,5,4466.43
283,1,8,29815.89
283,1,9,16810.00
283,1,10,1853.08
283,2,-3,480759.50
283,2,-1,2812.71
283,2,1,13874.61
283,2,3,13080.40
283,2,5,9194.06
283,2,6,267.43
283,2,8,51443.15
283,2,9,29766.67
283,2,10,4838.46
200196,1,-3,189740.66
200196,1,-1,0.00
200196,2,-3,317984.41
