event_id,exposure_value,summary_id,sidx,loss
1600095,106066.9854,1,-1,1185.64
1600095,106066.9854,2,-1,1185.64
1600095,106066.9854,1,2,4141.18
1600095,106066.9854,2,2,4141.18
1600095,106066.9854,1,5,3638.88
1600095,106066.9854,2,5,3638.88
500171,1372842.021,1,-1,74445.65
500171,1372842.021,2,-1,74445.65
500171,1372842.021,1,1,88057.6
500171,1372842.021,2,1,88057.6
500171,1372842.021,1,2,70410.88
500171,1372842.021,2,2,70410.88
500171,1372842.021,1,3,154234.56
500171,1372842.021,2,3,154234.56
500171,1372842.021,1,4,146616
500171,1372842.021,2,4,146616
500171,1372842.021,1,5,19418.44
500171,1372842.021,2,5,19418.44
500171,1372842.021,1,6,70488.96
500171,1372842.021,2,6,70488.96
500171,1372842.021,1,7,94486.95
500171,1372842.021,2,7,94486.95
500171,1372842.021,1,8,23950.06
500171,1372842.021,2,8,23950.06
500171,1372842.021,1,9,11325.28
500171,1372842.021,2,9,11325.28
500171,1372842.021,1,10,14928.08
500171,1372842.021,2,10,14928.08
500153,464865,1,-1,148.08
500153,464865,2,-1,148.08
165,753085.8428,1,-1,23587.72
165,753085.8428,2,-1,23587.72
165,753085.8428,1,1,10274.81
165,753085.8428,2,1,10274.81
165,753085.8428,1,2,8801.24
165,753085.8428,2,2,8801.24
165,753085.8428,1,3,11603.08
165,753085.8428,2,3,11603.08
165,753085.8428,1,4,82219.98
165,753085.8428,2,4,82219.98
165,753085.8428,1,5,15992.82
165,753085.8428,2,5,15992.82
165,753085.8428,1,6,53338.54
165,753085.8428,2,6,53338.54
1300090,464865,1,-1,9949.6
1300090,464865,2,-1,9949.6
1300090,464865,1,2,4177.93
1300090,464865,2,2,4177.93
1300090,464865,1,4,36660.26
1300090,464865,2,4,36660.26
1300090,464865,1,9,40538.54
1300090,464865,2,9,40538.54
1300090,464865,1,10,18559.94
1300090,464865,2,10,18559.94
200122,1372842.021,1,-1,76860.83
200122,1372842.021,2,-1,76860.83
200122,1372842.021,1,1,28413.72
200122,1372842.021,2,1,28413.72
200122,1372842.021,1,2,147081.98
200122,1372842.021,2,2,147081.98
200122,1372842.021,1,3,136365.14
200122,1372842.021,2,3,136365.14
200122,1372842.021,1,4,51012.32
200122,1372842.021,2,4,51012.32
200122,1372842.021,1,5,17167.4
200122,1372842.021,2,5,17167.4
200122,1372842.021,1,6,95738.92
200122,1372842.021,2,6,95738.92
200122,1372842.021,1,7,25284.09
200122,1372842.021,2,7,25284.09
200122,1372842.021,1,8,153771.76
200122,1372842.021,2,8,153771.76
200122,1372842.021,1,9,62324.8
200122,1372842.021,2,9,62324.8
200122,1372842.021,1,10,18109.74
200122,1372842.021,2,10,18109.74
1800056,2401798.561,1,-1,173917.87
1800056,2401798.561,2,-1,173917.87
1800056,2401798.561,1,1,152885.02
