from_agg_id,level_id,to_agg_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,1,57
58,1,58
59,1,59
60,1,60
61,1,61
62,1,62
63,1,63
64,1,64
65,1,65
66,1,66
67,1,67
68,1,68
69,1,69
70,1,70
71,1,71
72,1,72
73,1,73
74,1,74
75,1,75
76,1,76
77,1,77
78,1,78
79,1,79
80,1,80
81,1,81
82,1,82
83,1,83
84,1,84
85,1,85
86,1,86
87,1,87
88,1,88
89,1,89
90,1,1
91,1,2
92,1,3
93,1,4
94,1,5
95,1,6
96,1,7
97,1,8
98,1,9
99,1,10
100,1,11
101,1,12
102,1,13
103,1,14
104,1,15
105,1,16
106,1,17
107,1,18
108,1,19
109,1,20
110,1,21
111,1,22
112,1,23
113,1,24
114,1,25
115,1,26
116,1,27
117,1,28
118,1,29
119,1,30
120,1,31
121,1,32
122,1,33
123,1,34
124,1,35
125,1,36
126,1,37
127,1,38
128,1,39
129,1,40
130,1,41
131,1,42
132,1,43
133,1,44
134,1,45
135,1,46
136,1,47
137,1,48
138,1,49
139,1,50
140,1,51
141,1,52
142,1,53
143,1,54
144,1,55
145,1,56
146,1,57
147,1,58
148,1,59
149,1,60
150,1,61
151,1,62
152,1,63
153,1,64
154,1,65
155,1,66
156,1,67
157,1,68
158,1,69
159,1,70
160,1,71
161,1,72
162,1,73
163,1,74
164,1,75
165,1,76
166,1,77
167,1,78
168,1,79
169,1,80
170,1,81
171,1,82
172,1,83
173,1,84
174,1,85
175,1,86
176,1,87
177,1,88
178,1,89
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,1
9,2,1
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,1
17,2,1
18,2,1
19,2,1
20,2,1
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,3
42,2,3
43,2,3
44,2,3
45,2,3
46,2,3
47,2,3
48,2,3
49,2,3
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,2,3
56,2,3
57,2,3
58,2,3
59,2,3
60,2,3
61,2,4
62,2,4
63,2,4
64,2,4
65,2,4
66,2,4
67,2,4
68,2,4
69,2,4
70,2,4
71,2,4
72,2,4
73,2,4
74,2,4
75,2,4
76,2,4
77,2,4
78,2,4
79,2,4
80,2,4
81,2,5
82,2,5
83,2,5
84,2,5
85,2,5
86,2,5
87,2,5
88,2,5
89,2,5
1,3,1
2,3,1
3,3,1
4,3,1
5,3,1
