event_id,coverage_id,sidx,loss
1600095,1,-1,0.00
1600095,2,-1,1618.87
1600095,2,9,17673.98
1600095,2,10,13168.04
1600095,2,27,8146.22
1600095,2,37,15117.06
1600095,2,44,8677.89
1600095,2,51,5255.61
1600095,2,73,27346.43
1600095,2,76,25015.18
1600095,2,84,24916.90
1600095,2,97,13297.54
1600095,3,-1,0.00
1600095,27,-1,0.00
1600095,28,-1,168.96
1600095,28,7,8825.13
1600095,28,14,7472.65
1600095,28,19,2753.27
1600095,28,39,7441.88
1600095,28,43,7649.92
1600095,28,54,3484.29
1600095,28,77,3210.25
1600095,28,84,5181.27
1600095,28,97,6602.87
1600095,29,-1,108.73
1600095,29,26,5446.24
1600095,29,50,1992.56
1600095,29,73,1737.24
1600095,29,78,4843.46
1600095,29,94,2524.12
1600095,30,-1,108.73
1600095,30,20,4557.59
1600095,30,40,6376.23
1600095,30,42,3517.93
1600095,30,80,862.34
1600095,30,94,4192.31
1600095,31,-1,70.12
1600095,31,26,3194.02
1600095,31,50,1476.57
1600095,31,73,1355.72
1600095,31,78,2892.12
1600095,31,94,1743.43
1600095,32,-1,70.12
1600095,32,20,2760.31
1600095,32,40,3663.06
1600095,32,42,2236.29
1600095,32,80,921.42
1600095,32,94,2572.30
1600095,33,-1,0.00
1600095,34,-1,225.72
1600095,34,34,1553.09
1600095,34,77,1615.26
500171,4,-1,7916.33
500171,4,2,22126.89
500171,4,5,21799.54
500171,4,6,29823.83
500171,4,11,10381.76
500171,4,12,13798.90
500171,4,15,27975.29
500171,4,18,3285.34
500171,4,19,56916.81
500171,4,20,24345.06
500171,4,21,855.69
500171,4,23,27585.09
500171,4,30,55745.71
500171,4,34,20915.00
500171,4,39,23618.53
500171,4,42,18389.47
500171,4,62,5415.18
500171,4,65,17319.57
500171,4,66,6384.48
500171,4,69,53304.66
500171,4,74,38697.22
500171,4,80,25035.54
500171,4,88,15671.33
500171,4,92,46281.10
500171,4,96,1965.38
500171,4,97,17045.00
500171,4,99,27465.20
500171,5,-1,412.55
500171,5,2,1246.32
500171,5,5,1236.41
500171,5,6,1482.05
500171,5,11,896.41
500171,5,12,996.61
500171,5,15,1425.11
500171,5,18,693.57
500171,5,19,2332.66
500171,5,20,1313.80
500171,5,21,625.81
500171,5,23,1413.21
500171,5,30,2295.25
500171,5,34,1209.59
500171,5,39,1291.74
500171,5,42,1133.44
500171,5,46,525.46
500171,5,56,379.43
500171,5,62,753.66
500171,5,65,1101.37
500171,5,66,781.06
500171,5,69,2218.02
500171,5,74,1758.03
500171,5,80,1335.02
500171,5,85,414.49
500171,5,88,1052.18
500171,5,92,1995.91
500171,5,96,656.35
500171,5,97,1093.18
500171,5,99,1409.53
500171,6,-1,0.00
500171,45,-1,6181.15
500171,45,9,29153.06
500171,45,20,23680.32
500171,45,36,42410.13
500171,45,42,52265.35
500171,45,46,11442.55
500171,45,63,47916.24
500171,45,64,20301.98
