item_id,coverage_id,areaperil_id,vulnerability_id,group_id
1,1,400001,1300007,1
2,2,400001,1000011,1
3,3,400001,6,1
4,4,700001,1900009,2
5,5,700001,1000012,2
6,6,700001,2100007,2
7,7,600001,1900010,3
8,8,600001,1900010,4
9,9,600001,1900010,5
10,10,600001,1900010,6
11,11,600001,1900010,7
12,12,600001,1900010,8
13,13,600001,10,3
14,14,600001,10,4
15,15,600001,10,5
16,16,600001,10,6
17,17,600001,10,7
18,18,600001,10,8
19,19,600001,1900010,9
20,20,600001,1900010,10
21,21,600001,10,9
22,22,600001,10,10
23,23,600001,1900010,11
24,24,600001,1900010,12
25,25,600001,10,11
26,26,600001,10,12
27,27,100001,500009,13
28,28,100001,1700014,13
29,29,100001,500009,14
30,30,100001,500009,15
31,31,100001,1700014,14
32,32,100001,1700014,15
33,33,100001,500009,16
34,34,100001,1700014,16
35,35,300001,1700012,17
36,36,300001,1700012,18
37,37,300001,1900006,17
38,38,300001,1900006,18
39,39,300001,1700012,19
40,40,300001,1700012,20
41,41,300001,1900006,19
42,42,300001,1900006,20
43,43,300001,1700012,21
44,44,300001,1900006,21
45,45,400002,9,22
46,46,400002,9,23
47,47,400002,9,24
48,48,400002,600009,22
49,49,400002,600009,23
50,50,400002,600009,24
51,51,400002,9,25
52,52,400002,9,26
53,53,400002,9,27
54,54,400002,600009,25
55,55,400002,600009,26
56,56,400002,600009,27
57,57,200001,900008,28
58,58,200001,900008,29
59,59,200001,1900007,28
60,60,200001,1900007,29
61,61,200001,500010,28
62,62,200001,500010,29
63,63,200001,1800005,30
64,64,200001,1800005,31
65,65,200001,1800005,32
66,66,200001,300007,30
67,67,200001,300007,31
68,68,200001,300007,32
69,69,1,900007,33
70,70,1,900007,34
71,71,1,1800004,33
72,72,1,1800004,34
73,73,1,900007,35
74,74,1,900007,36
75,75,1,1800004,35
76,76,1,1800004,36
77,77,500001,2000011,37
78,78,500001,2000011,38
79,79,500001,2000011,39
80,80,500001,2000011,40
81,81,500001,8,37
82,82,500001,8,38
83,83,500001,8,39
84,84,500001,8,40
85,85,2,1900011,41
86,86,2,1100005,41
87,87,2,500011,42
88,88,2,100009,42
89,89,2,2100008,42
90,1,400001,1,1
91,2,400001,2,1
92,3,400001,3,1
93,4,700001,4,2
94,5,700001,5,2
95,6,700001,6,2
96,7,600001,7,3
97,8,600001,8,4
98,9,600001,9,5
99,10,600001,10,6
100,11,600001,100001,7
101,12,600001,100002,8
102,13,600001,100003,3
103,14,600001,100004,4
104,15,600001,100005,5
105,16,600001,100006,6
106,17,600001,100007,7
107,18,600001,100008,8
108,19,600001,100009,9
109,20,600001,200001,10
110,21,600001,200002,9
111,22,600001,200003,10
112,23,600001,200004,11
113,24,600001,200005,12
114,25,600001,200006,11
115,26,600001,200007,12
116,27,100001,200008,13
117,28,100001,200009,13
118,29,100001,300001,14
119,30,100001,300002,15
120,31,100001,300003,14
121,32,100001,300004,15
122,33,100001,300005,16
123,34,100001,300006,16
124,35,300001,300007,17
125,36,300001,400001,18
126,37,300001,400002,17
127,38,300001,400003,18
128,39,300001,400004,19
129,40,300001,400005,20
130,41,300001,400006,19
131,42,300001,400007,20
132,43,300001,400008,21
133,44,300001,500001,21
134,45,400002,500002,22
135,46,400002,500003,23
136,47,400002,500004,24
137,48,400002,500005,22
138,49,400002,500006,23
139,50,400002,500007,24
140,51,400002,500008,25
141,52,400002,500009,26
142,53,400002,500010,27
143,54,400002,500011,25
144,55,400002,600001,26
145,56,400002,600002,27
146,57,200001,600003,28
147,58,200001,600004,29
148,59,200001,600005,28
149,60,200001,600006,29
150,61,200001,600007,28
151,62,200001,600008,29
152,63,200001,600009,30
153,64,200001,700001,31
154,65,200001,700002,32
155,66,200001,700003,30
156,67,200001,700004,31
157,68,200001,700005,32
158,69,1,800001,33
159,70,1,800002,34
160,71,1,800003,33
161,72,1,800004,34
162,73,1,800005,35
163,74,1,800006,36
164,75,1,800007,35
165,76,1,900001,36
166,77,500001,900002,37
167,78,500001,900003,38
168,79,500001,900004,39
169,80,500001,900005,40
170,81,500001,900006,37
171,82,500001,900007,38
172,83,500001,900008,39
173,84,500001,900009,40
174,85,2,900010,41
175,86,2,1,41
176,87,2,2,42
177,88,2,3,42
178,89,2,4,42
