"bin_index","bin_from","bin_to","interpolation"
2,0.001000,0.001000,0.001000
3,0.001000,0.010000,0.005000
4,0.010000,0.020000,0.015000
5,0.020000,0.030000,0.025000
6,0.030000,0.040000,0.035000
7,0.040000,0.050000,0.055000
8,0.050000,0.060000,0.055000
9,0.060000,0.070000,0.065000
10,0.070000,0.080000,0.075000
11,0.080000,0.090000,0.085000
12,0.090000,0.100000,0.095000
13,0.100000,0.110000,0.105000
14,0.110000,0.120000,0.115000
15,0.120000,0.130000,0.125000
16,0.130000,0.140000,0.135000
17,0.140000,0.150000,0.145000
18,0.150000,0.160000,0.155000
19,0.160000,0.170000,0.165000
20,0.170000,0.180000,0.175000
22,0.190000,0.200000,0.195000
21,0.180000,0.190000,0.185000
23,0.200000,0.210000,0.205000
24,0.210000,0.220000,0.215000
25,0.220000,0.230000,0.225000
26,0.230000,0.240000,0.235000
27,0.240000,0.250000,0.245000
28,0.250000,0.260000,0.255000
29,0.260000,0.270000,0.265000
30,0.270000,0.280000,0.275000
31,0.280000,0.290000,0.285000
32,0.290000,0.300000,0.295000
33,0.300000,0.310000,0.305000
34,0.310000,0.320000,0.315000
35,0.320000,0.330000,0.325000
36,0.330000,0.340000,0.335000
37,0.340000,0.350000,0.345000
38,0.350000,0.360000,0.355000
39,0.360000,0.370000,0.365000
40,0.370000,0.380000,0.375000
41,0.380000,0.390000,0.385000
42,0.390000,0.400000,0.395000
43,0.400000,0.410000,0.405000
44,0.410000,0.420000,0.415000
45,0.420000,0.430000,0.425000
46,0.430000,0.440000,0.435000
47,0.440000,0.450000,0.445000
48,0.450000,0.460000,0.455000
49,0.460000,0.470000,0.465000
50,0.470000,0.480000,0.475000
51,0.480000,0.490000,0.485000
52,0.490000,0.500000,0.495000
53,0.500000,0.510000,0.505000
54,0.510000,0.520000,0.515000
55,,0.530000,0.525000
56,0.530000,0.540000,0.535000
57,0.540000,0.550000,0.545000
58,0.550000,0.560000,0.555000
59,0.560000,0.570000,0.565000
60,0.570000,,0.575000
61,0.580000,0.590000,0.585000
62,0.590000,0.600000,0.595000
64,0.610000,0.620000,0.615000
63,0.600000,0.610000,0.605000
65,0.620000,0.630000,0.625000
66,0.630000,0.640000,0.635000
67,0.640000,0.650000,0.645000
68,0.650000,0.660000,0.655000
69,0.660000,0.670000,0.665000
70,0.670000,0.680000,0.675000
71,0.680000,0.690000,0.685000
72,0.690000,0.700000,0.695000
73,0.700000,0.710000,0.705000
74,0.710000,0.720000,0.715000
75,0.720000,0.730000,0.725000
76,0.730000,0.740000,0.735000
77,0.740000,0.750000,0.745000
78,0.750000,0.760000,0.755000
79,0.760000,0.770000,0.765000
80,0.770000,0.780000,0.775000
81,0.780000,0.790000,0.795000
82,0.790000,0.800000,0.795000
83,0.800000,0.810000,0.805000
84,0.810000,0.820000,0.815000
85,0.820000,0.830000,0.825000
86,0.830000,0.840000,0.835000
87,0.840000,0.850000,0.845000
88,0.850000,0.860000,0.855000
89,0.860000,0.870000,0.865000
90,0.870000,0.880000,0.875000
91,0.880000,0.890000,0.885000
92,0.890000,0.900000,0.895000
93,0.900000,0.910000,0.905000
94,0.910000,0.920000,0.915000
95,0.920000,0.930000,0.925000
96,0.930000,0.940000,0.935000
97,0.940000,0.950000,0.955000
98,0.950000,0.960000,0.955000
99,0.960000,0.970000,0.965000
100,0.970000,0.980000,0.975000
101,0.980000,0.990000,0.985000
102,0.990000,0.999000,0.995000
103,0.999000,0.999000,0.999000
