"bin_index","bin_from","bin_to","interpolation"
1,0.000000,0.000000,0.000000
2,0.000000,0.010000,0.005000
3,0.010000,0.020000,0.015000
4,0.020000,0.030000,0.025000
5,0.030000,0.040000,0.035000
6,0.040000,0.050000,0.045000
7,0.050000,0.060000,0.055000
8,0.060000,0.070000,0.065000
9,0.070000,0.080000,0.075000
10,0.080000,0.090000,0.085000
11,0.090000,0.100000,0.095000
12,0.100000,0.110000,0.105000
13,0.110000,0.120000,0.115000
14,0.120000,0.130000,0.125000
15,0.130000,0.140000,0.135000
16,0.140000,0.150000,0.145000
17,0.150000,0.160000,0.155000
18,0.160000,0.170000,0.165000
19,0.170000,0.180000,0.175000
20,0.180000,0.190000,0.185000
21,0.190000,0.200000,0.195000
22,0.200000,0.210000,0.205000
23,0.210000,0.220000,0.215000
24,0.220000,0.230000,0.225000
25,0.230000,0.240000,0.235000
26,0.240000,0.250000,0.245000
27,0.250000,0.260000,0.255000
28,0.260000,0.270000,0.265000
29,0.270000,0.280000,0.275000
30,0.280000,0.290000,0.285000
31,0.290000,0.300000,0.295000
32,0.300000,0.310000,0.305000
33,0.310000,0.320000,0.315000
34,0.320000,0.330000,0.325000
35,0.330000,0.340000,0.335000
36,0.340000,0.350000,0.345000
37,0.350000,0.360000,0.355000
38,0.360000,0.370000,0.365000
39,0.370000,0.380000,0.375000
40,0.380000,0.390000,0.385000
41,0.390000,0.400000,0.395000
42,0.400000,0.410000,0.405000
43,0.410000,0.420000,0.415000
44,0.420000,0.430000,0.425000
45,0.430000,0.440000,0.435000
46,0.440000,0.450000,0.445000
47,0.450000,0.460000,0.455000
48,0.460000,0.470000,0.465000
49,0.470000,0.480000,0.475000
50,0.480000,0.490000,0.485000
51,0.490000,0.500000,0.495000
52,0.500000,0.510000,0.505000
53,0.510000,0.520000,0.515000
54,0.520000,0.530000,0.525000
55,0.530000,0.540000,0.535000
56,0.540000,0.550000,0.545000
57,0.550000,0.560000,0.555000
58,0.560000,0.570000,0.565000
59,0.570000,0.580000,0.575000
60,0.580000,0.590000,0.585000
61,0.590000,0.600000,0.595000
62,0.600000,0.610000,0.605000
63,0.610000,0.620000,0.615000
64,0.620000,0.630000,0.625000
65,0.630000,0.640000,0.635000
66,0.640000,0.650000,0.645000
67,0.650000,0.660000,0.655000
68,0.660000,0.670000,0.665000
69,0.670000,0.680000,0.675000
70,0.680000,0.690000,0.685000
71,0.690000,0.700000,0.695000
72,0.700000,0.710000,0.705000
73,0.710000,0.720000,0.715000
74,0.720000,0.730000,0.725000
75,0.730000,0.740000,0.735000
76,0.740000,0.750000,0.745000
77,0.750000,0.760000,0.755000
78,0.760000,0.770000,0.765000
79,0.770000,0.780000,0.775000
80,0.780000,0.790000,0.785000
81,0.790000,0.800000,0.795000
82,0.800000,0.810000,0.805000
83,0.810000,0.820000,0.815000
84,0.820000,0.830000,0.825000
85,0.830000,0.840000,0.835000
86,0.840000,0.850000,0.845000
87,0.850000,0.860000,0.855000
88,0.860000,0.870000,0.865000
89,0.870000,0.880000,0.875000
90,0.880000,0.890000,0.885000
91,0.890000,0.900000,0.895000
92,0.900000,0.910000,0.905000
93,0.910000,0.920000,0.915000
94,0.920000,0.930000,0.925000
95,0.930000,0.940000,0.935000
96,0.940000,0.950000,0.945000
97,0.950000,0.960000,0.955000
98,0.960000,0.970000,0.965000
99,0.970000,0.980000,0.975000
100,0.980000,0.990000,0.985000
101,0.990000,1.000000,0.995000
102,1.000000,1.000000,1.000000
