summary_id,type,return_period,loss
1,1,5,7380.35
2,1,5,4841.22
3,1,5,29215.32
4,1,5,9704.37
5,1,5,15127.99
6,1,5,2598.93
7,1,5,5757.28
8,1,5,3471.92
12,1,5,15600.01
13,1,5,7496.89
14,1,5,2885.19
15,1,5,7474.91
16,1,5,9133.46
17,1,5,4498.93
18,1,5,20397.71
19,1,5,404.25
20,1,5,17350.77
1,2,500,37384.07
1,2,250,36260.91
1,2,166.6666667,32607.68
1,2,125,26312.03
1,2,100,26006.69
1,2,83.33333333,24913.94
1,2,71.42857143,24728.33
1,2,62.5,23832.34
1,2,55.55555556,22980.55
1,2,50,22394.57
1,2,45.45454545,22017.17
1,2,41.66666667,21333.04
1,2,38.46153846,20413.21
1,2,35.71428571,19248.39
1,2,33.33333333,18302.54
1,2,31.25,18029.47
1,2,29.41176471,17343.58
1,2,27.77777778,16896.32
1,2,26.31578947,15341.85
1,2,25,14666.35
1,2,23.80952381,14541.22
1,2,22.72727273,14433.08
1,2,21.73913043,13482.46
1,2,20.83333333,13395.23
1,2,20,11456.34
1,2,19.23076923,11353.55
1,2,18.51851852,10898.2
1,2,17.85714286,10443.37
1,2,17.24137931,9826.61
1,2,16.66666667,9646.73
1,2,16.12903226,9468.65
1,2,15.625,9317.97
1,2,15.15151515,9297.8
1,2,14.70588235,8936.85
1,2,14.28571429,7204.44
1,2,13.88888889,7002.01
1,2,13.51351351,6907.79
1,2,13.15789474,6306.78
1,2,12.82051282,5024.54
1,2,12.5,2048.98
1,2,12.19512195,1581.53
1,2,11.9047619,788.48
1,2,11.62790698,166.8
2,2,500,34452.8
2,2,250,32185.21
2,2,166.6666667,32176.11
2,2,125,28729.45
2,2,100,26931.37
2,2,83.33333333,25915.93
2,2,71.42857143,24787.59
2,2,62.5,23548.72
2,2,55.55555556,21811.51
2,2,50,20328.84
2,2,45.45454545,17406.72
2,2,41.66666667,16432.22
2,2,38.46153846,14846.54
2,2,35.71428571,13666.23
2,2,33.33333333,13319.89
2,2,31.25,12810.98
2,2,29.41176471,12719.77
2,2,27.77777778,11052.61
2,2,26.31578947,10650.88
2,2,25,7968.97
2,2,23.80952381,7373
2,2,22.72727273,6830.36
2,2,21.73913043,6314.62
2,2,20.83333333,5449.05
2,2,20,4814.55
2,2,19.23076923,4301.57
2,2,18.51851852,3567.75
2,2,17.85714286,3179.69
2,2,17.24137931,2132.83
2,2,16.66666667,194.06
2,2,16.12903226,23.94
2,2,15.625,14.77
3,2,500,90385.79
3,2,250,76111.89
3,2,166.6666667,70377.72
3,2,125,68937.44
3,2,100,64007.81
3,2,83.33333333,60806.54
3,2,71.42857143,57320.9
3,2,62.5,56582.89
3,2,55.55555556,53502.7
3,2,50,51522.75
3,2,45.45454545,51335.91
3,2,41.66666667,49814.18
3,2,38.46153846,49112.87
3,2,35.71428571,48658.44
3,2,33.33333333,46632.76
3,2,31.25,46376.55
3,2,29.41176471,45236.92
3,2,27.77777778,44984.82
3,2,26.31578947,44907.66
3,2,25,44653.05
3,2,23.80952381,44374.64
3,2,22.72727273,43645.57
3,2,21.73913043,43332.49
3,2,20.83333333,42441.38
3,2,20,40747.46
3,2,19.23076923,40503.26
3,2,18.51851852,40476.05
3,2,17.85714286,39770.36
3,2,17.24137931,38428.87
3,2,16.66666667,38345.46
3,2,16.12903226,37814.45
3,2,15.625,37452.3
3,2,15.15151515,37207.93
3,2,14.70588235,35995.55
3,2,14.28571429,35649.7
3,2,13.88888889,33369.8
3,2,13.51351351,32473.78
3,2,13.15789474,31389.16
3,2,12.82051282,30571.75
3,2,12.5,30346.74
3,2,12.19512195,29466.99
3,2,11.9047619,28861.83
3,2,11.62790698,28447.88
3,2,11.36363636,28413.73
3,2,11.11111111,28194.42
3,2,10.86956522,28007.84
3,2,10.63829787,27883.96
3,2,10.41666667,27306.38
3,2,10.20408163,26236.61
3,2,10,26163.77
3,2,9.803921569,25449.84
3,2,9.615384615,25302.29
3,2,9.433962264,24566.78
3,2,9.259259259,24524.81
3,2,9.090909091,20624.51
3,2,8.928571429,20513.29
3,2,8.771929825,20297.43
3,2,8.620689655,19816.59
3,2,8.474576271,19800.67
3,2,8.333333333,18763.42
3,2,8.196721311,18622.04
