summary_id,type,return_period,loss
1,1,5.000000,7380.353516
2,1,5.000000,4841.219727
3,1,5.000000,29215.324219
4,1,5.000000,9704.369141
5,1,5.000000,15127.986328
6,1,5.000000,2598.926025
7,1,5.000000,5757.282715
8,1,5.000000,3471.925293
12,1,5.000000,15600.006836
13,1,5.000000,7496.892578
14,1,5.000000,2885.185303
15,1,5.000000,7474.912109
16,1,5.000000,9133.458984
17,1,5.000000,4498.929688
18,1,5.000000,20397.705078
19,1,5.000000,404.251556
20,1,5.000000,17350.773438
1,2,5.000000,6545.424805
2,2,5.000000,4459.385254
3,2,5.000000,27733.341797
4,2,5.000000,10723.111328
5,2,5.000000,14083.090820
6,2,5.000000,3366.125977
7,2,5.000000,6454.392578
8,2,5.000000,4002.526855
12,2,5.000000,17896.773438
13,2,5.000000,8292.901367
14,2,5.000000,2917.020752
15,2,5.000000,6322.956055
16,2,5.000000,8708.138672
17,2,5.000000,3847.482666
18,2,5.000000,18917.974609
19,2,5.000000,216.721664
20,2,5.000000,15032.364258
