summary_id,type,return_period,loss
1,1,5,5044.61
2,1,5,3826.56
3,1,5,18492
4,1,5,6142.34
5,1,5,9571.77
6,1,5,1711.25
7,1,5,3817.21
8,1,5,2286.07
12,1,5,12118.15
13,1,5,5821.13
14,1,5,2507.58
15,1,5,6417.75
16,1,5,7885.31
17,1,5,3884.37
18,1,5,20397.71
19,1,5,248.08
20,1,5,10948.4
1,2,5,5876.8694
2,2,5,4367.4128
3,2,5,21814.3498
4,2,5,10155.1756
5,2,5,12638.3066
6,2,5,3001.7309
7,2,5,5936.4134
8,2,5,3691.6028
12,2,5,16227.0348
13,2,5,7532.6557
14,2,5,2917.0211
15,2,5,5870.2321
16,2,5,8473.1004
17,2,5,3779.2617
18,2,5,18917.9717
19,2,5,193.3577
20,2,5,15032.3643
