summary_id,type,return_period,loss
1,1,10.000000,7380.353516
1,1,5.000000,4967.478516
2,1,10.000000,8344.380859
2,1,5.000000,4841.219727
3,1,10.000000,34734.246094
3,1,5.000000,29215.324219
4,1,10.000000,11537.544922
4,1,5.000000,9704.369141
5,1,10.000000,17984.769531
5,1,5.000000,15127.986328
6,1,10.000000,2598.926025
6,1,5.000000,1689.180664
7,1,10.000000,5757.282715
7,1,5.000000,3764.767822
8,1,10.000000,3471.925293
8,1,5.000000,2256.589600
12,1,10.000000,26537.394531
12,1,5.000000,15600.006836
13,1,10.000000,12743.829102
13,1,5.000000,7496.892578
14,1,10.000000,6576.661133
14,1,5.000000,2885.185303
15,1,10.000000,16765.675781
15,1,5.000000,7474.912109
16,1,10.000000,18354.998047
16,1,5.000000,9133.458984
17,1,10.000000,9042.087891
17,1,5.000000,4498.929688
18,1,10.000000,51678.683594
18,1,5.000000,20397.705078
19,1,10.000000,404.251556
19,1,5.000000,247.058990
20,1,10.000000,17350.773438
20,1,5.000000,10882.459961
1,2,10.000000,12453.866211
1,2,5.000000,1693.973877
2,2,10.000000,11948.286133
2,2,5.000000,1060.923828
3,2,10.000000,44282.941406
3,2,5.000000,19668.375000
4,2,10.000000,19169.402344
4,2,5.000000,5536.446289
5,2,10.000000,27040.460938
5,2,5.000000,6253.988281
6,2,10.000000,4648.314453
6,2,5.000000,718.542480
7,2,10.000000,8615.682617
7,2,5.000000,1942.693481
8,2,10.000000,5684.337891
8,2,5.000000,742.288574
9,2,10.000000,0.000000
10,2,10.000000,0.000000
11,2,10.000000,0.000000
12,2,10.000000,35853.789062
12,2,5.000000,10170.951172
13,2,10.000000,16480.996094
13,2,5.000000,4909.501953
14,2,10.000000,9223.139648
14,2,5.000000,644.856689
15,2,10.000000,21302.894531
15,2,5.000000,2441.536133
16,2,10.000000,25768.285156
16,2,5.000000,1927.858765
17,2,10.000000,10506.233398
17,2,5.000000,2003.078857
18,2,10.000000,60675.699219
18,2,5.000000,12720.603516
19,2,10.000000,575.130676
20,2,10.000000,24467.046875
