summary_id,type,return_period,loss
1,1,5.000000,7380.353516
1,1,5.000000,4967.478516
1,2,5.000000,6545.424805
2,1,5.000000,4841.219727
2,2,5.000000,4459.385254
3,1,5.000000,29215.324219
3,2,5.000000,27733.341797
4,1,5.000000,9704.369141
4,2,5.000000,10723.111328
5,1,5.000000,15127.986328
5,2,5.000000,14083.090820
6,1,5.000000,2598.926025
6,1,5.000000,1689.180664
6,2,5.000000,3366.125977
6,2,5.000000,2000.730835
7,1,5.000000,5757.282715
7,1,5.000000,3764.767822
7,2,5.000000,6454.392578
7,2,5.000000,4103.983398
8,1,5.000000,3471.925293
8,1,5.000000,2256.589600
8,2,5.000000,4002.526855
8,2,5.000000,2424.100830
12,1,5.000000,15600.006836
12,2,5.000000,17896.773438
13,1,5.000000,7496.892578
13,2,5.000000,8292.901367
14,1,5.000000,2885.185303
14,2,5.000000,2917.020752
15,1,5.000000,7474.912109
15,2,5.000000,6322.956055
16,1,5.000000,9133.458984
16,2,5.000000,8708.138672
17,1,5.000000,4498.929688
17,2,5.000000,3847.482666
18,1,5.000000,20397.705078
18,2,5.000000,18917.974609
19,1,5.000000,404.251556
19,1,5.000000,247.058990
19,2,5.000000,216.721664
20,1,5.000000,17350.773438
20,1,5.000000,10882.459961
20,2,5.000000,15032.364258
20,2,5.000000,9434.683594
5.000000,10882.459961
20,2,5.000000,15032.364258
20,2,5.000000,9434.683594
