summary_id,type,mean,standard_deviation,exposure_value
1,1,1476.070676,4667.745324,62000.000000
2,1,968.243984,3061.856321,66020.000000
3,1,5843.065126,18477.394315,415543.937500
4,1,1940.873906,6137.582194,138156.718750
5,1,3025.597213,9567.778476,219837.000000
6,1,519.785201,1643.705128,26947.970703
7,1,1151.456560,3641.225357,87186.000000
8,1,694.385069,2195.838391,36000.000000
12,1,3120.001365,9866.310616,349701.968750
13,1,1499.378562,4741.451332,159591.421875
14,1,577.037051,1824.751375,236585.000000
15,1,1494.982493,4727.549740,476871.031250
16,1,1826.691824,5776.506747,352756.000000
17,1,899.785975,2845.373089,174428.609375
18,1,4079.541076,12900.641610,929730.000000
19,1,80.850312,255.671137,7500.000000
20,1,3470.154739,10973.592809,575000.000000
1,2,1309.084951,7212.484919,62000.000000
2,2,891.877097,6122.519158,66020.000000
3,2,5546.667624,20572.210495,415543.937500
4,2,2144.622222,10226.898943,138156.718750
5,2,2816.618589,14040.459131,219837.000000
6,2,673.225247,3616.497426,26947.970703
7,2,1290.878464,5742.565069,87186.000000
8,2,800.505303,4065.453560,36000.000000
12,2,3579.355092,16330.417605,349701.968750
13,2,1658.580421,7401.938334,159591.421875
14,2,583.404235,6433.327603,236585.000000
15,2,1264.591185,11922.141675,476871.031250
16,2,1741.627991,11706.519383,352756.000000
17,2,769.496594,5008.210932,174428.609375
18,2,3783.594385,19983.340717,929730.000000
19,2,43.344337,488.507741,7500.000000
20,2,3006.472904,29259.084920,575000.000000
